gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000104116	ENSSSAT00000156952,ENSSSAT00000165766,ENSSSAT00000170286,ENSSSAT00000236016	5.84	5.83	8.24	3.27	3.44	6.24	21.07	4.82	5.34	4.87	5.93	5.15
ENSSSAG00000104117	ENSSSAT00000124932,ENSSSAT00000202383,ENSSSAT00000229866	17.51	16.49	14.48	2.10	21.02	10.52	0.42	1.50	1.82	1.46	29.72	1.23
ENSSSAG00000104118	ENSSSAT00000176561,ENSSSAT00000183450,ENSSSAT00000223186,ENSSSAT00000240392	8.59	13.35	2.18	0.39	26.93	1.56	0.21	0.37	0.47	0.29	4.18	0.27
ENSSSAG00000104119	ENSSSAT00000215853	1.95	6.45	0.97	0.18	5.69	0.72	0.12	0.21	0.22	0.00	2.95	0.16
ENSSSAG00000104120	ENSSSAT00000194613	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104121	ENSSSAT00000239820,ENSSSAT00000254879	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00
ENSSSAG00000104122	ENSSSAT00000160903,ENSSSAT00000211570,ENSSSAT00000223280,ENSSSAT00000225611,ENSSSAT00000241317,ENSSSAT00000244891	0.00	0.00	2.50	1.66	0.00	0.00	0.82	0.00	0.00	0.00	0.00	4.29
ENSSSAG00000104123	ENSSSAT00000181431,ENSSSAT00000184361,ENSSSAT00000217094,ENSSSAT00000221792,ENSSSAT00000229307,ENSSSAT00000253929	0.00	0.09	0.13	0.88	0.22	0.20	2.22	0.00	0.00	0.18	0.49	0.12
ENSSSAG00000104124	ENSSSAT00000165272	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104125	ENSSSAT00000180500,ENSSSAT00000231929	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104126	ENSSSAT00000204610,ENSSSAT00000218211	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
