gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000055313	ENSSSAT00000088884	2.92	2.82	2.75	0.17	1.78	1.81	5.73	0.45	2.00	0.55	6.01	3.81
ENSSSAG00000055314	ENSSSAT00000089200	0.87	0.18	0.00	0.02	0.41	0.05	0.00	0.00	0.00	0.00	0.02	0.00
ENSSSAG00000055315	ENSSSAT00000135802,ENSSSAT00000135811,ENSSSAT00000235492	21.16	19.97	28.05	13.84	22.72	23.11	3.63	12.08	22.98	23.32	17.10	26.70
ENSSSAG00000055316	ENSSSAT00000089092,ENSSSAT00000089099,ENSSSAT00000186807	0.00	0.00	0.37	0.38	0.00	0.31	0.29	1.12	0.74	0.14	0.00	0.20
ENSSSAG00000055318	ENSSSAT00000088897,ENSSSAT00000188885,ENSSSAT00000211043,ENSSSAT00000230209	6.24	6.29	9.47	7.82	9.12	7.79	14.00	6.93	6.78	8.86	6.84	8.81
ENSSSAG00000055319	ENSSSAT00000088995,ENSSSAT00000089052,ENSSSAT00000089055,ENSSSAT00000089061,ENSSSAT00000089076,ENSSSAT00000089095,ENSSSAT00000089114,ENSSSAT00000089121	9.22	6.86	9.05	11.69	9.00	11.46	13.42	13.88	12.39	13.84	6.11	10.72
ENSSSAG00000055320	ENSSSAT00000088899,ENSSSAT00000088905,ENSSSAT00000203320	9.89	5.32	9.98	6.52	6.67	11.26	4.97	8.35	7.18	6.46	8.73	7.97
ENSSSAG00000055321	ENSSSAT00000088902,ENSSSAT00000088908,ENSSSAT00000089087,ENSSSAT00000089094,ENSSSAT00000089101,ENSSSAT00000089254,ENSSSAT00000089263,ENSSSAT00000089276,ENSSSAT00000197382	4.75	4.68	5.79	3.01	3.28	3.38	2.91	0.84	1.55	2.82	11.06	2.46
ENSSSAG00000055322	ENSSSAT00000088937,ENSSSAT00000088939,ENSSSAT00000246124	11.87	12.95	10.06	19.99	16.11	13.22	10.09	14.57	14.31	11.84	12.46	14.83
ENSSSAG00000055323	ENSSSAT00000089011	0.05	0.08	0.03	0.02	0.00	0.06	0.17	0.00	0.00	0.00	0.06	0.00
ENSSSAG00000055327	ENSSSAT00000088918,ENSSSAT00000088923,ENSSSAT00000216771,ENSSSAT00000253887	0.00	0.04	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.04	0.00	0.00
ENSSSAG00000055328	ENSSSAT00000088931,ENSSSAT00000088940	1.26	4.08	2.24	17.80	7.78	1.65	22.28	0.74	2.00	1.35	1.58	1.76
ENSSSAG00000055329	ENSSSAT00000088941,ENSSSAT00000088943,ENSSSAT00000095455,ENSSSAT00000109065,ENSSSAT00000165474,ENSSSAT00000173129,ENSSSAT00000192223,ENSSSAT00000204519,ENSSSAT00000220582,ENSSSAT00000229426	43.63	46.71	33.13	12.22	74.83	29.30	1.87	26.91	20.80	9.90	27.95	19.94
ENSSSAG00000055330	ENSSSAT00000088914,ENSSSAT00000174362,ENSSSAT00000202209,ENSSSAT00000212270,ENSSSAT00000229533,ENSSSAT00000235718	10.21	7.24	14.54	10.08	7.40	12.45	6.87	16.36	14.91	15.22	10.05	14.01
ENSSSAG00000055331	ENSSSAT00000088924	0.21	0.00	2.60	2.70	0.00	0.74	0.00	1.65	3.78	8.97	0.74	5.53
ENSSSAG00000055332	ENSSSAT00000088926,ENSSSAT00000088936,ENSSSAT00000088938	13.96	14.31	10.01	6.74	12.86	12.51	5.96	6.77	6.76	8.54	12.57	10.27
ENSSSAG00000055333	ENSSSAT00000088927	1.51	1.80	1.83	1.35	1.41	2.19	0.09	2.10	1.57	2.38	2.02	6.20
ENSSSAG00000055336	ENSSSAT00000088932	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055338	ENSSSAT00000090812,ENSSSAT00000090895,ENSSSAT00000090905,ENSSSAT00000090940,ENSSSAT00000090969,ENSSSAT00000110118,ENSSSAT00000159171,ENSSSAT00000163988,ENSSSAT00000194909,ENSSSAT00000209370	1.33	1.81	0.86	8.84	3.15	0.53	4.64	0.14	0.26	0.43	0.81	0.61
ENSSSAG00000055340	ENSSSAT00000088964	0.92	3.81	1.68	31.34	3.65	1.96	10.58	0.43	0.75	0.40	1.52	0.00
ENSSSAG00000055342	ENSSSAT00000088974,ENSSSAT00000166978,ENSSSAT00000233292	22.82	21.52	18.08	17.49	18.36	20.08	16.06	19.71	19.36	20.46	20.62	21.94
ENSSSAG00000055343	ENSSSAT00000088953,ENSSSAT00000088958	2.41	2.49	4.13	3.48	1.90	4.85	13.06	1.75	4.67	6.42	1.06	7.40
ENSSSAG00000055344	ENSSSAT00000088956	0.73	0.87	1.48	1.25	1.25	0.70	2.83	0.74	0.54	0.49	0.88	1.09
ENSSSAG00000055345	ENSSSAT00000089028,ENSSSAT00000089035	0.00	0.00	0.00	0.08	0.09	0.00	0.32	0.00	0.00	0.27	0.20	0.12
ENSSSAG00000055348	ENSSSAT00000089525,ENSSSAT00000089541,ENSSSAT00000089563,ENSSSAT00000224280,ENSSSAT00000234291	4.38	2.98	5.60	2.94	5.27	3.40	2.72	5.36	4.56	3.40	3.11	5.65
ENSSSAG00000055349	ENSSSAT00000088973	15.05	15.33	23.14	18.54	14.10	18.34	12.65	25.88	25.70	22.78	16.73	18.29
ENSSSAG00000055351	ENSSSAT00000088994	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055352	ENSSSAT00000088976,ENSSSAT00000170444,ENSSSAT00000254250	6.12	1.12	4.22	1.77	1.08	6.00	3.49	0.59	2.24	1.80	0.27	1.91
ENSSSAG00000055353	ENSSSAT00000088981,ENSSSAT00000251211	5.93	7.09	6.92	6.09	9.13	9.84	5.04	12.59	13.25	12.62	8.30	13.54
ENSSSAG00000055355	ENSSSAT00000088987,ENSSSAT00000167532,ENSSSAT00000225122,ENSSSAT00000238167	9.74	9.79	13.61	9.49	10.79	14.42	6.59	10.70	10.01	13.65	12.27	12.92
ENSSSAG00000055356	ENSSSAT00000088990,ENSSSAT00000089002,ENSSSAT00000089009,ENSSSAT00000089024,ENSSSAT00000167052,ENSSSAT00000204895,ENSSSAT00000229679	5.04	11.97	5.39	5.16	14.85	5.00	4.98	4.42	5.47	4.06	9.42	4.93
ENSSSAG00000055358	ENSSSAT00000088997	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055360	ENSSSAT00000222275	0.13	0.27	0.10	0.08	1.39	0.05	0.00	0.00	0.00	0.18	0.19	0.00
ENSSSAG00000055361	ENSSSAT00000113574,ENSSSAT00000210331	11.35	18.78	13.71	9.24	14.29	14.08	23.06	8.55	9.74	9.81	10.88	10.63
ENSSSAG00000055362	ENSSSAT00000088999,ENSSSAT00000213208,ENSSSAT00000242128	5.63	3.08	3.69	0.55	3.67	1.69	1.54	0.74	0.47	2.80	4.94	1.37
ENSSSAG00000055364	ENSSSAT00000089018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055365	ENSSSAT00000089013,ENSSSAT00000159016,ENSSSAT00000170698,ENSSSAT00000190959	7.85	8.07	6.50	7.46	9.99	9.02	11.15	7.12	9.06	9.72	10.75	8.01
ENSSSAG00000055366	ENSSSAT00000090863,ENSSSAT00000090946,ENSSSAT00000090951,ENSSSAT00000090953,ENSSSAT00000091010,ENSSSAT00000091012,ENSSSAT00000091022	82.52	84.57	95.94	48.30	81.88	75.35	27.15	69.49	74.77	71.96	73.92	80.34
ENSSSAG00000055369	ENSSSAT00000089103,ENSSSAT00000089131,ENSSSAT00000089148,ENSSSAT00000089162,ENSSSAT00000089166,ENSSSAT00000209723,ENSSSAT00000224916	16.90	18.33	18.27	14.22	21.54	18.95	10.85	20.16	21.47	18.98	15.89	24.86
ENSSSAG00000055370	ENSSSAT00000089033,ENSSSAT00000089045,ENSSSAT00000177356	2.02	1.11	2.27	1.33	1.54	1.53	1.45	0.61	1.00	1.61	1.25	1.82
ENSSSAG00000055371	ENSSSAT00000089023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055373	ENSSSAT00000089219,ENSSSAT00000089245,ENSSSAT00000181527,ENSSSAT00000241656	5.25	4.87	6.05	5.76	5.04	5.87	4.48	8.48	6.72	7.33	4.44	7.50
ENSSSAG00000055375	ENSSSAT00000089026	1.29	0.00	1.30	3.89	1.91	2.13	4.98	1.72	0.56	0.28	2.16	0.36
ENSSSAG00000055376	ENSSSAT00000089081,ENSSSAT00000089098,ENSSSAT00000089104,ENSSSAT00000089108,ENSSSAT00000089119,ENSSSAT00000089124,ENSSSAT00000169324,ENSSSAT00000188785	3.42	2.67	4.44	4.88	4.79	5.64	3.23	5.11	4.21	6.20	3.27	4.25
ENSSSAG00000055377	ENSSSAT00000089156,ENSSSAT00000089190,ENSSSAT00000089201,ENSSSAT00000089243,ENSSSAT00000131509	3.41	32.85	1.59	241.83	54.23	1.50	245.25	1.88	0.54	0.88	1.91	0.89
ENSSSAG00000055378	ENSSSAT00000094288,ENSSSAT00000097820,ENSSSAT00000098007,ENSSSAT00000098022,ENSSSAT00000098077,ENSSSAT00000098142,ENSSSAT00000100525,ENSSSAT00000100817	5.01	5.36	3.87	12.86	3.76	2.93	10.87	1.84	1.31	1.55	4.19	1.52
ENSSSAG00000055379	ENSSSAT00000089037,ENSSSAT00000173302	9.62	8.89	13.55	12.62	10.36	13.76	7.69	17.58	15.55	15.05	13.77	12.74
ENSSSAG00000055384	ENSSSAT00000089189,ENSSSAT00000089280,ENSSSAT00000089295	25.96	22.95	24.55	21.52	25.63	26.67	15.43	25.80	26.51	24.02	25.39	22.42
ENSSSAG00000055386	ENSSSAT00000089053,ENSSSAT00000166723	21.12	20.69	27.56	14.94	20.68	23.35	4.12	30.53	25.01	25.31	28.28	29.40
ENSSSAG00000055388	ENSSSAT00000089054,ENSSSAT00000200398	3.31	4.24	3.15	2.30	4.36	2.83	1.25	2.77	2.15	1.28	4.13	2.20
ENSSSAG00000055389	ENSSSAT00000089062,ENSSSAT00000182486	34.86	41.83	32.58	31.42	44.69	38.92	11.84	37.66	29.29	34.12	35.08	32.23
ENSSSAG00000055391	ENSSSAT00000090747	0.00	0.00	0.15	0.00	0.26	0.00	0.06	0.00	0.00	0.00	0.05	0.00
ENSSSAG00000055392	ENSSSAT00000089106,ENSSSAT00000089122,ENSSSAT00000168789,ENSSSAT00000170184,ENSSSAT00000227634,ENSSSAT00000241055	5.02	4.15	5.39	4.05	2.56	5.28	2.76	7.94	5.50	4.94	2.28	4.45
ENSSSAG00000055393	ENSSSAT00000110145,ENSSSAT00000110352,ENSSSAT00000110599,ENSSSAT00000110603,ENSSSAT00000110744,ENSSSAT00000111128,ENSSSAT00000111708,ENSSSAT00000129573,ENSSSAT00000129953,ENSSSAT00000129968	6.22	5.49	7.29	6.33	6.77	5.89	4.99	9.70	8.27	9.35	5.64	9.54
ENSSSAG00000055395	ENSSSAT00000089071,ENSSSAT00000210421	31.21	64.47	4.11	0.55	174.49	3.80	0.33	0.36	0.15	0.00	10.90	0.23
ENSSSAG00000055397	ENSSSAT00000089080,ENSSSAT00000212160	10.56	5.31	10.66	11.87	7.34	16.45	2.24	29.86	26.53	18.55	11.99	26.89
ENSSSAG00000055399	ENSSSAT00000018531,ENSSSAT00000089086,ENSSSAT00000089102,ENSSSAT00000222882	8.29	7.97	8.42	8.41	8.01	8.54	10.73	6.60	7.70	9.95	8.81	9.63
ENSSSAG00000055400	ENSSSAT00000089105,ENSSSAT00000089113	1.36	1.13	4.53	0.26	0.18	0.39	0.00	0.00	0.00	0.00	7.75	0.00
ENSSSAG00000055401	ENSSSAT00000090487,ENSSSAT00000090677,ENSSSAT00000090875,ENSSSAT00000092166,ENSSSAT00000092190,ENSSSAT00000092485,ENSSSAT00000092767,ENSSSAT00000185184,ENSSSAT00000207552,ENSSSAT00000210413	9.94	7.60	11.24	7.96	9.89	12.66	3.81	9.75	7.32	11.81	10.07	13.30
ENSSSAG00000055404	ENSSSAT00000089110,ENSSSAT00000089118,ENSSSAT00000238503	32.55	36.35	40.14	27.87	36.02	34.56	19.71	36.88	31.66	26.22	36.82	33.52
ENSSSAG00000055407	ENSSSAT00000089116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055408	ENSSSAT00000089126	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055411	ENSSSAT00000089127	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055413	ENSSSAT00000089136,ENSSSAT00000186710,ENSSSAT00000226741	1.09	0.00	0.26	3.90	1.19	0.00	9.27	0.00	0.00	0.00	0.12	0.00
ENSSSAG00000055414	ENSSSAT00000108789,ENSSSAT00000109448,ENSSSAT00000110297,ENSSSAT00000110598,ENSSSAT00000110733,ENSSSAT00000212940,ENSSSAT00000230999,ENSSSAT00000233902	12.10	10.00	18.02	11.51	13.69	16.03	4.81	22.57	16.95	19.39	12.13	22.85
ENSSSAG00000055415	ENSSSAT00000089133	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055416	ENSSSAT00000089134	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055417	ENSSSAT00000011830	35.12	29.56	27.55	14.73	20.20	23.26	19.93	22.22	22.92	16.71	24.15	18.04
ENSSSAG00000055418	ENSSSAT00000089138	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055420	ENSSSAT00000089143,ENSSSAT00000089155	0.84	0.47	0.31	0.79	1.26	0.15	1.12	0.03	0.09	0.11	0.95	0.03
ENSSSAG00000055421	ENSSSAT00000089220,ENSSSAT00000089341,ENSSSAT00000089353,ENSSSAT00000089377,ENSSSAT00000089386,ENSSSAT00000089394,ENSSSAT00000089401,ENSSSAT00000089407,ENSSSAT00000089416,ENSSSAT00000208985	34.98	24.47	25.16	23.55	29.99	35.28	16.54	33.91	25.11	24.08	26.45	24.67
ENSSSAG00000055422	ENSSSAT00000089142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055423	ENSSSAT00000089146	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055425	ENSSSAT00000089149,ENSSSAT00000157237,ENSSSAT00000243738	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055427	ENSSSAT00000089183,ENSSSAT00000089198,ENSSSAT00000089211,ENSSSAT00000089221	7.17	4.85	17.93	16.87	7.15	18.24	9.53	38.29	35.41	19.87	2.16	28.18
ENSSSAG00000055428	ENSSSAT00000089161	25.08	26.47	24.26	18.42	18.97	25.42	8.90	38.51	28.44	30.38	18.15	41.16
ENSSSAG00000055430	ENSSSAT00000089177	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055435	ENSSSAT00000089168,ENSSSAT00000160762	5.36	3.79	6.21	4.16	4.62	7.57	2.01	7.67	5.35	7.03	4.75	9.01
ENSSSAG00000055437	ENSSSAT00000089170,ENSSSAT00000220220,ENSSSAT00000247219	0.69	0.81	1.34	0.74	1.95	0.79	0.73	1.57	0.53	0.78	1.48	1.10
ENSSSAG00000055439	ENSSSAT00000089178	0.00	0.12	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.36	0.13	0.00
ENSSSAG00000055440	ENSSSAT00000089169	4.43	2.94	5.02	3.53	2.97	2.91	1.04	5.77	4.83	6.89	7.85	5.78
ENSSSAG00000055441	ENSSSAT00000089173,ENSSSAT00000089179	20.17	20.74	19.28	8.28	23.98	17.15	0.62	16.83	16.00	12.23	24.90	16.76
ENSSSAG00000055442	ENSSSAT00000089185,ENSSSAT00000163815	10.53	10.92	11.65	8.75	11.54	8.84	6.02	13.72	10.99	11.68	10.91	13.78
ENSSSAG00000055444	ENSSSAT00000089192	213.97	280.87	257.10	328.95	217.75	307.80	313.38	365.73	338.81	362.48	261.93	342.19
ENSSSAG00000055445	ENSSSAT00000089478,ENSSSAT00000089494,ENSSSAT00000089501,ENSSSAT00000089514,ENSSSAT00000089535	21.81	20.28	21.71	21.27	15.84	26.42	14.09	31.42	29.03	25.53	23.73	25.41
ENSSSAG00000055446	ENSSSAT00000014566,ENSSSAT00000090222,ENSSSAT00000090225,ENSSSAT00000090266	6.54	7.18	7.10	9.82	14.89	9.48	0.36	14.03	9.97	15.58	3.08	14.44
ENSSSAG00000055449	ENSSSAT00000089232,ENSSSAT00000089246,ENSSSAT00000089253,ENSSSAT00000089259,ENSSSAT00000089262,ENSSSAT00000089305,ENSSSAT00000194302	3.86	3.44	3.28	3.98	4.15	5.40	11.33	0.51	2.27	4.24	2.20	3.09
ENSSSAG00000055451	ENSSSAT00000105496,ENSSSAT00000105555,ENSSSAT00000105873,ENSSSAT00000106104,ENSSSAT00000106155,ENSSSAT00000106314,ENSSSAT00000106498,ENSSSAT00000179792	14.24	12.68	20.75	17.36	16.50	17.78	10.30	28.75	25.16	23.36	17.66	23.33
ENSSSAG00000055452	ENSSSAT00000063014,ENSSSAT00000063043,ENSSSAT00000063066,ENSSSAT00000063257,ENSSSAT00000089206,ENSSSAT00000089218,ENSSSAT00000089428,ENSSSAT00000169807,ENSSSAT00000179077,ENSSSAT00000191867	22.77	21.55	25.66	16.71	24.93	21.71	36.75	19.01	11.85	16.99	38.59	16.10
ENSSSAG00000055453	ENSSSAT00000058437,ENSSSAT00000095953,ENSSSAT00000096753,ENSSSAT00000096980,ENSSSAT00000096996,ENSSSAT00000197148,ENSSSAT00000203422,ENSSSAT00000239795	21.53	14.79	23.96	10.90	21.28	22.42	8.68	18.97	16.35	20.90	17.37	20.52
ENSSSAG00000055455	ENSSSAT00000089261,ENSSSAT00000161963,ENSSSAT00000168450	2.82	2.34	3.85	3.97	2.98	3.60	3.02	3.74	3.54	4.95	4.13	2.89
ENSSSAG00000055457	ENSSSAT00000097121,ENSSSAT00000097170,ENSSSAT00000099487,ENSSSAT00000100114,ENSSSAT00000101839,ENSSSAT00000154909,ENSSSAT00000154923,ENSSSAT00000154932,ENSSSAT00000154949	43.52	39.48	60.16	43.13	30.53	54.46	8.39	80.62	82.94	74.65	58.99	72.16
ENSSSAG00000055458	ENSSSAT00000089424,ENSSSAT00000089442	5.07	4.96	0.73	2.47	4.15	1.35	3.67	3.20	4.57	5.23	2.66	2.78
ENSSSAG00000055460	ENSSSAT00000089373,ENSSSAT00000090326,ENSSSAT00000090337,ENSSSAT00000090342,ENSSSAT00000090419,ENSSSAT00000090423,ENSSSAT00000090709,ENSSSAT00000090995,ENSSSAT00000091020,ENSSSAT00000158432	7.14	6.18	6.65	5.71	6.14	5.60	6.41	7.95	5.86	6.13	9.50	5.62
ENSSSAG00000055469	ENSSSAT00000089304,ENSSSAT00000089313,ENSSSAT00000196487	24.77	25.06	24.81	16.52	26.81	23.49	11.07	13.71	10.44	19.27	26.33	15.66
ENSSSAG00000055471	ENSSSAT00000089828,ENSSSAT00000094317	1.99	2.83	1.81	0.42	4.33	1.44	0.22	0.71	0.66	0.57	1.62	0.53
ENSSSAG00000055474	ENSSSAT00000091133,ENSSSAT00000091137,ENSSSAT00000091147,ENSSSAT00000091158,ENSSSAT00000134862,ENSSSAT00000161420,ENSSSAT00000173752,ENSSSAT00000239906	0.45	1.06	0.85	5.25	0.99	0.31	5.17	5.70	6.01	12.56	1.68	6.78
ENSSSAG00000055476	ENSSSAT00000089283,ENSSSAT00000166700,ENSSSAT00000237685	10.86	11.69	8.63	17.20	11.97	10.49	18.51	7.07	7.16	8.44	10.78	9.45
ENSSSAG00000055478	ENSSSAT00000089290	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055480	ENSSSAT00000089310,ENSSSAT00000089315,ENSSSAT00000121265	6.78	3.17	29.67	24.40	4.48	36.73	16.52	9.01	39.43	25.81	4.01	36.42
ENSSSAG00000055482	ENSSSAT00000089303,ENSSSAT00000118200,ENSSSAT00000220543	100.26	132.33	104.09	88.07	165.86	85.76	90.08	93.25	95.18	100.27	97.88	92.51
ENSSSAG00000055483	ENSSSAT00000091007,ENSSSAT00000091037,ENSSSAT00000091188,ENSSSAT00000091202,ENSSSAT00000091246,ENSSSAT00000130654,ENSSSAT00000214841,ENSSSAT00000237846,ENSSSAT00000246004,ENSSSAT00000249273	190.63	236.59	145.47	81.60	264.53	146.74	117.69	106.30	111.07	149.84	148.28	125.77
ENSSSAG00000055485	ENSSSAT00000089312	10.78	9.32	15.17	12.32	7.91	9.78	9.45	20.44	12.20	11.51	12.18	9.53
ENSSSAG00000055488	ENSSSAT00000094909,ENSSSAT00000098263,ENSSSAT00000098474,ENSSSAT00000098552	8.72	8.29	12.22	10.21	8.76	11.48	7.33	13.58	12.43	12.55	8.49	12.81
ENSSSAG00000055490	ENSSSAT00000089319	5.72	6.91	4.75	9.43	5.07	4.76	13.69	3.04	1.38	3.66	7.85	1.51
ENSSSAG00000055493	ENSSSAT00000089370,ENSSSAT00000121160,ENSSSAT00000238717	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
ENSSSAG00000055494	ENSSSAT00000089497,ENSSSAT00000158479,ENSSSAT00000189326,ENSSSAT00000242736	9.48	35.55	2.57	1.85	78.88	3.21	2.93	2.81	3.43	3.36	1.91	2.85
ENSSSAG00000055497	ENSSSAT00000089333,ENSSSAT00000089338,ENSSSAT00000185156,ENSSSAT00000194549,ENSSSAT00000232974	5.66	5.00	7.55	6.28	6.53	6.47	3.78	10.05	9.72	8.99	6.65	10.48
ENSSSAG00000055498	ENSSSAT00000089432,ENSSSAT00000089446,ENSSSAT00000089455,ENSSSAT00000089532	5.31	2.42	6.19	8.32	4.75	4.34	3.14	14.29	8.89	16.73	3.38	17.96
ENSSSAG00000055499	ENSSSAT00000089334	0.07	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.34	0.00
ENSSSAG00000055500	ENSSSAT00000089797,ENSSSAT00000089877,ENSSSAT00000089898,ENSSSAT00000089917,ENSSSAT00000168512,ENSSSAT00000185340,ENSSSAT00000206873,ENSSSAT00000244859,ENSSSAT00000249465	0.26	1.26	0.31	7.66	1.52	0.60	6.90	0.44	0.99	1.04	0.29	1.02
ENSSSAG00000055502	ENSSSAT00000091387,ENSSSAT00000092340,ENSSSAT00000092482,ENSSSAT00000092581,ENSSSAT00000092618,ENSSSAT00000129709	0.35	0.42	0.41	0.39	0.64	0.17	0.85	0.11	0.44	0.45	0.52	0.16
ENSSSAG00000055506	ENSSSAT00000089359,ENSSSAT00000089364	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000055507	ENSSSAT00000096440,ENSSSAT00000098485,ENSSSAT00000098543,ENSSSAT00000098557,ENSSSAT00000098568,ENSSSAT00000099261,ENSSSAT00000099844,ENSSSAT00000099884,ENSSSAT00000099905,ENSSSAT00000100205	1.75	1.02	1.77	1.34	0.93	1.80	0.83	1.56	1.63	0.52	2.09	1.58
ENSSSAG00000055508	ENSSSAT00000089815,ENSSSAT00000089916,ENSSSAT00000090024,ENSSSAT00000090052,ENSSSAT00000090094,ENSSSAT00000090107	9.95	10.74	15.04	5.16	13.80	15.25	1.65	11.69	5.55	12.50	11.60	15.66
ENSSSAG00000055509	ENSSSAT00000106741,ENSSSAT00000106755,ENSSSAT00000106760,ENSSSAT00000106766,ENSSSAT00000106776,ENSSSAT00000106786,ENSSSAT00000106792,ENSSSAT00000106800,ENSSSAT00000106811,ENSSSAT00000106987	6.06	8.20	8.63	12.97	11.56	6.87	12.33	3.34	8.24	10.20	3.78	8.77
ENSSSAG00000055510	ENSSSAT00000096534,ENSSSAT00000096598,ENSSSAT00000096847,ENSSSAT00000097019,ENSSSAT00000097116,ENSSSAT00000097305,ENSSSAT00000097343,ENSSSAT00000109183	13.07	10.34	15.63	12.66	9.15	16.12	6.25	20.42	18.50	17.16	23.57	18.24
ENSSSAG00000055511	ENSSSAT00000018868,ENSSSAT00000075734,ENSSSAT00000089480,ENSSSAT00000089508,ENSSSAT00000121920,ENSSSAT00000121964,ENSSSAT00000121986	33.05	14.79	63.42	55.89	14.44	68.31	1.17	135.81	123.85	103.06	15.50	104.09
ENSSSAG00000055512	ENSSSAT00000089390,ENSSSAT00000089420	35.30	35.72	28.66	25.56	21.74	31.42	22.22	25.32	27.69	30.92	33.79	33.50
ENSSSAG00000055514	ENSSSAT00000092959,ENSSSAT00000092971,ENSSSAT00000093192,ENSSSAT00000093231,ENSSSAT00000093274,ENSSSAT00000093368	37.10	35.32	50.23	30.80	42.02	46.48	9.78	29.82	47.42	44.67	33.43	60.78
ENSSSAG00000055516	ENSSSAT00000094526,ENSSSAT00000095026,ENSSSAT00000095227,ENSSSAT00000095238,ENSSSAT00000095246,ENSSSAT00000095339,ENSSSAT00000177138,ENSSSAT00000202135,ENSSSAT00000248542	12.42	9.45	13.09	9.26	12.42	13.37	10.17	12.94	11.19	8.52	11.37	13.32
ENSSSAG00000055518	ENSSSAT00000089418,ENSSSAT00000168427,ENSSSAT00000201357,ENSSSAT00000226682,ENSSSAT00000230258,ENSSSAT00000241140,ENSSSAT00000251389,ENSSSAT00000252010	9.20	8.15	14.28	14.14	8.61	13.00	12.56	19.00	17.73	15.83	8.58	17.54
ENSSSAG00000055522	ENSSSAT00000090823	1.37	1.21	2.06	0.75	1.13	0.57	1.96	0.47	0.41	0.58	2.23	0.55
ENSSSAG00000055524	ENSSSAT00000089430,ENSSSAT00000167905	2.23	3.16	1.20	3.14	4.34	1.60	5.23	0.81	1.40	1.11	2.31	0.42
ENSSSAG00000055525	ENSSSAT00000089482,ENSSSAT00000089511,ENSSSAT00000089529,ENSSSAT00000089546,ENSSSAT00000089565,ENSSSAT00000170914	17.96	6.55	26.48	10.61	7.15	22.13	0.91	30.50	28.89	23.20	5.36	21.26
ENSSSAG00000055526	ENSSSAT00000089528,ENSSSAT00000168567,ENSSSAT00000189031,ENSSSAT00000233183,ENSSSAT00000251204	29.93	20.38	30.58	28.65	18.16	29.61	12.34	67.66	49.47	47.13	30.88	38.41
ENSSSAG00000055527	ENSSSAT00000089530,ENSSSAT00000089555	10.69	7.53	10.90	6.49	5.41	7.27	12.59	0.81	1.39	1.28	17.80	1.36
ENSSSAG00000055530	ENSSSAT00000089489	17.75	52.44	43.36	74.94	91.81	27.65	1.41	202.51	171.05	263.14	29.31	272.12
ENSSSAG00000055531	ENSSSAT00000089658,ENSSSAT00000089678	0.94	1.22	2.34	2.37	2.64	1.36	4.43	0.23	0.37	0.98	1.95	0.52
