gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000002491	ENSSSAT00000005679,ENSSSAT00000005781,ENSSSAT00000005849,ENSSSAT00000005897,ENSSSAT00000005908,ENSSSAT00000005914	0.00	0.03	0.00	0.03	0.00	0.18	0.04	0.00	0.04	0.06	0.02	0.00
ENSSSAG00000002495	ENSSSAT00000005759,ENSSSAT00000005776,ENSSSAT00000005780,ENSSSAT00000005844	15.67	11.43	14.73	9.18	8.98	4.88	9.03	7.96	9.06	12.30	10.33	9.26
ENSSSAG00000002498	ENSSSAT00000005912,ENSSSAT00000005951,ENSSSAT00000222741	0.00	0.03	0.00	0.00	0.05	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002499	ENSSSAT00000005318	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002500	ENSSSAT00000005319	0.00	0.11	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002501	ENSSSAT00000005324,ENSSSAT00000208649,ENSSSAT00000208748,ENSSSAT00000229916,ENSSSAT00000239033	4.80	4.51	3.45	4.36	4.85	3.98	4.04	4.01	4.50	5.23	2.90	4.24
ENSSSAG00000002504	ENSSSAT00000005329,ENSSSAT00000069958,ENSSSAT00000214871,ENSSSAT00000233546	27.40	34.20	18.14	19.62	39.59	25.13	31.48	32.85	43.43	31.56	15.11	29.42
ENSSSAG00000002505	ENSSSAT00000005326	0.58	0.31	0.00	0.22	0.19	0.00	0.24	0.00	0.54	0.00	0.00	0.00
ENSSSAG00000002508	ENSSSAT00000005340	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.12	0.00	0.00	0.11
ENSSSAG00000002509	ENSSSAT00000005337	10.62	6.26	8.50	5.64	13.15	7.37	7.63	10.17	10.08	14.88	5.98	14.73
ENSSSAG00000002513	ENSSSAT00000005824,ENSSSAT00000005834,ENSSSAT00000005856,ENSSSAT00000005859,ENSSSAT00000005866,ENSSSAT00000005874,ENSSSAT00000135341,ENSSSAT00000135355,ENSSSAT00000135361	13.66	13.84	12.67	8.95	12.81	14.19	13.67	12.18	13.81	12.10	8.72	10.41
ENSSSAG00000002514	ENSSSAT00000005354	2.54	2.10	2.47	2.15	2.69	1.94	2.34	1.57	2.62	3.45	1.72	2.16
ENSSSAG00000002515	ENSSSAT00000005347	6.85	7.56	10.90	6.77	8.43	8.22	12.09	9.58	13.62	9.08	7.15	9.47
ENSSSAG00000002516	ENSSSAT00000012894	13.90	14.94	9.61	9.80	21.14	14.60	17.80	15.36	28.63	27.56	11.70	21.33
ENSSSAG00000002519	ENSSSAT00000005551,ENSSSAT00000167092,ENSSSAT00000239841	7.38	6.56	7.07	4.72	7.69	8.20	5.94	8.25	7.67	9.23	4.97	7.26
ENSSSAG00000002521	ENSSSAT00000005961,ENSSSAT00000006166,ENSSSAT00000006175,ENSSSAT00000160066,ENSSSAT00000173986,ENSSSAT00000231689	0.19	0.11	0.15	0.08	0.34	0.19	0.14	0.14	0.23	0.26	0.04	0.28
ENSSSAG00000002522	ENSSSAT00000005376,ENSSSAT00000157075,ENSSSAT00000224739,ENSSSAT00000230697,ENSSSAT00000235879,ENSSSAT00000243399,ENSSSAT00000245772	14.47	13.40	11.20	8.74	12.32	10.64	11.03	9.77	11.07	11.89	9.76	13.23
ENSSSAG00000002523	ENSSSAT00000005366,ENSSSAT00000005379,ENSSSAT00000005397	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002524	ENSSSAT00000005360	3.87	2.25	2.43	3.43	5.09	4.46	3.00	2.44	3.71	2.24	1.32	2.71
ENSSSAG00000002525	ENSSSAT00000005395,ENSSSAT00000005403,ENSSSAT00000005406,ENSSSAT00000005426	31.79	30.06	22.41	21.94	31.82	23.00	27.98	29.58	37.32	33.82	19.42	32.89
ENSSSAG00000002526	ENSSSAT00000005377,ENSSSAT00000215389	6.57	10.46	10.77	12.38	11.06	12.77	24.46	9.79	20.12	14.29	17.18	10.76
ENSSSAG00000002527	ENSSSAT00000005362	0.05	0.11	0.00	0.00	0.00	0.00	0.02	0.00	0.06	0.00	0.06	0.00
ENSSSAG00000002528	ENSSSAT00000005413,ENSSSAT00000005421,ENSSSAT00000005486	2.36	4.09	3.00	1.72	4.43	4.02	5.05	5.51	6.76	5.39	1.98	7.12
ENSSSAG00000002530	ENSSSAT00000007848,ENSSSAT00000007961,ENSSSAT00000007982,ENSSSAT00000007993,ENSSSAT00000008006,ENSSSAT00000008019,ENSSSAT00000008031	0.34	0.62	1.04	0.28	0.65	0.56	2.03	1.55	1.33	0.95	0.64	0.95
ENSSSAG00000002532	ENSSSAT00000005375,ENSSSAT00000005393,ENSSSAT00000005408,ENSSSAT00000005420,ENSSSAT00000170197,ENSSSAT00000207010,ENSSSAT00000229452	0.72	0.91	0.28	0.33	1.07	0.45	0.52	0.65	0.85	1.19	0.19	1.54
ENSSSAG00000002535	ENSSSAT00000005778,ENSSSAT00000005792,ENSSSAT00000005811,ENSSSAT00000005853,ENSSSAT00000005870	0.05	0.00	0.05	0.01	0.02	0.01	0.01	0.00	0.02	0.00	0.00	0.00
ENSSSAG00000002536	ENSSSAT00000000630,ENSSSAT00000005400,ENSSSAT00000225157,ENSSSAT00000225822,ENSSSAT00000227251	0.00	0.07	0.01	0.11	0.39	0.00	0.08	0.00	0.13	0.00	0.01	0.11
ENSSSAG00000002537	ENSSSAT00000005382	2.55	3.61	1.91	1.58	3.95	2.48	2.64	3.71	3.08	3.64	2.03	3.32
ENSSSAG00000002539	ENSSSAT00000005390,ENSSSAT00000005415,ENSSSAT00000005458,ENSSSAT00000005480,ENSSSAT00000005513,ENSSSAT00000005520	17.66	14.63	12.25	11.76	18.35	14.96	15.38	16.47	18.61	23.12	10.77	19.48
ENSSSAG00000002540	ENSSSAT00000005391,ENSSSAT00000158167,ENSSSAT00000222010	32.92	37.86	40.98	39.09	40.44	29.93	41.21	39.71	46.35	48.62	33.56	40.72
ENSSSAG00000002542	ENSSSAT00000005710	0.03	0.06	0.00	0.00	0.09	0.00	0.02	0.00	0.00	0.07	0.00	0.00
ENSSSAG00000002543	ENSSSAT00000006715,ENSSSAT00000006719,ENSSSAT00000006723,ENSSSAT00000006727,ENSSSAT00000006765,ENSSSAT00000006771,ENSSSAT00000006776,ENSSSAT00000006813,ENSSSAT00000213954,ENSSSAT00000253674	6.08	5.18	4.90	3.87	4.28	3.92	4.47	4.73	4.86	5.29	3.75	4.18
ENSSSAG00000002545	ENSSSAT00000010831,ENSSSAT00000010851,ENSSSAT00000010867,ENSSSAT00000010891,ENSSSAT00000010977,ENSSSAT00000011081,ENSSSAT00000012551,ENSSSAT00000013387,ENSSSAT00000013426,ENSSSAT00000013548	0.58	0.39	0.31	0.28	0.65	0.48	0.66	0.63	0.58	0.71	0.29	1.03
ENSSSAG00000002546	ENSSSAT00000005427,ENSSSAT00000019303	0.10	0.31	0.03	0.08	0.11	0.10	0.13	0.36	0.15	0.33	0.05	0.19
ENSSSAG00000002549	ENSSSAT00000005414,ENSSSAT00000251403	2.62	1.72	5.64	4.84	1.97	5.17	3.40	0.97	0.35	3.17	6.21	1.96
ENSSSAG00000002550	ENSSSAT00000005692,ENSSSAT00000020786,ENSSSAT00000020859,ENSSSAT00000020866,ENSSSAT00000020881,ENSSSAT00000020928,ENSSSAT00000164035,ENSSSAT00000224169	2.30	1.56	1.46	1.43	2.42	2.01	2.11	1.70	1.94	2.49	1.45	1.93
ENSSSAG00000002551	ENSSSAT00000006655,ENSSSAT00000006703,ENSSSAT00000006711,ENSSSAT00000006735,ENSSSAT00000006802,ENSSSAT00000006823,ENSSSAT00000006964,ENSSSAT00000007066	8.26	6.80	5.78	4.85	6.88	4.88	5.75	5.57	7.52	7.47	4.97	7.48
ENSSSAG00000002552	ENSSSAT00000005447,ENSSSAT00000005455,ENSSSAT00000210718	103.35	98.91	72.18	62.86	108.90	73.27	83.11	79.71	100.32	102.46	62.08	87.81
ENSSSAG00000002554	ENSSSAT00000005423	1.73	1.65	2.24	1.57	1.87	2.28	1.71	2.73	2.30	2.11	1.13	1.98
ENSSSAG00000002555	ENSSSAT00000005489	7.77	6.33	7.35	6.65	7.97	6.18	6.50	5.24	7.19	6.67	4.42	6.75
ENSSSAG00000002556	ENSSSAT00000007674,ENSSSAT00000007824,ENSSSAT00000007946,ENSSSAT00000008012,ENSSSAT00000231654	28.88	26.98	12.25	9.31	30.98	16.74	15.90	13.76	27.15	26.29	8.84	30.82
ENSSSAG00000002557	ENSSSAT00000005432	0.00	0.00	0.08	0.03	0.16	0.09	0.02	0.00	0.00	0.10	0.00	0.07
ENSSSAG00000002558	ENSSSAT00000005474,ENSSSAT00000005523,ENSSSAT00000021593,ENSSSAT00000021608,ENSSSAT00000253119	0.08	0.11	0.04	0.06	0.00	0.00	0.11	0.17	0.03	0.23	0.07	0.03
ENSSSAG00000002560	ENSSSAT00000008959,ENSSSAT00000009401,ENSSSAT00000009477,ENSSSAT00000009571,ENSSSAT00000009580	18.61	26.06	8.44	8.79	20.58	13.09	13.22	14.01	18.96	18.27	6.93	15.17
ENSSSAG00000002562	ENSSSAT00000005444,ENSSSAT00000188681,ENSSSAT00000219365,ENSSSAT00000221689,ENSSSAT00000239150	7.87	9.14	8.05	5.87	9.66	7.62	8.40	10.90	9.19	9.76	6.16	9.40
ENSSSAG00000002565	ENSSSAT00000005460	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002566	ENSSSAT00000005457,ENSSSAT00000161184,ENSSSAT00000183657	8.12	11.29	5.38	5.89	8.86	8.27	7.12	9.24	9.34	9.83	4.99	9.05
ENSSSAG00000002567	ENSSSAT00000005461	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002568	ENSSSAT00000005466	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00
ENSSSAG00000002569	ENSSSAT00000005469,ENSSSAT00000005475,ENSSSAT00000224598	25.79	27.19	20.31	24.99	24.78	17.44	22.50	21.71	30.79	27.59	17.09	26.92
ENSSSAG00000002570	ENSSSAT00000005478	0.00	0.00	0.00	0.02	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002578	ENSSSAT00000005482	0.20	0.39	0.08	0.44	0.61	0.19	0.15	0.24	0.16	0.37	0.00	0.27
ENSSSAG00000002580	ENSSSAT00000005528,ENSSSAT00000005543	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002585	ENSSSAT00000005510,ENSSSAT00000005519,ENSSSAT00000161144,ENSSSAT00000224989,ENSSSAT00000225589,ENSSSAT00000242507,ENSSSAT00000246334	1.19	0.13	0.22	0.00	3.18	0.00	0.00	0.37	0.04	5.51	0.00	1.07
ENSSSAG00000002586	ENSSSAT00000007533,ENSSSAT00000007633,ENSSSAT00000007657,ENSSSAT00000007795,ENSSSAT00000159328,ENSSSAT00000188129,ENSSSAT00000214606,ENSSSAT00000238892,ENSSSAT00000252883	0.07	0.00	0.11	0.15	0.13	0.23	0.10	0.00	0.04	0.03	0.01	0.00
ENSSSAG00000002587	ENSSSAT00000005534,ENSSSAT00000005545,ENSSSAT00000005555,ENSSSAT00000005573	7.91	7.60	8.89	9.13	10.97	8.71	8.92	11.07	11.74	9.19	6.27	8.25
ENSSSAG00000002588	ENSSSAT00000005499	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002589	ENSSSAT00000005508	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002590	ENSSSAT00000005501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002591	ENSSSAT00000005522,ENSSSAT00000005560	5.68	6.34	5.69	6.44	5.60	5.80	8.68	3.79	7.25	6.01	5.04	4.18
ENSSSAG00000002598	ENSSSAT00000005525	0.00	0.15	0.00	0.02	0.06	0.00	0.05	0.03	0.10	0.00	0.06	0.11
ENSSSAG00000002600	ENSSSAT00000005532,ENSSSAT00000252254	0.81	0.28	0.24	0.26	1.05	0.25	0.57	0.16	0.08	0.35	0.24	0.35
ENSSSAG00000002602	ENSSSAT00000005531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002603	ENSSSAT00000005602,ENSSSAT00000005793,ENSSSAT00000005936,ENSSSAT00000005939,ENSSSAT00000006152,ENSSSAT00000006193,ENSSSAT00000006201,ENSSSAT00000006408	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSSSAG00000002605	ENSSSAT00000114893	3.88	3.76	3.96	3.36	4.05	3.82	3.83	3.14	2.97	3.94	3.26	2.55
ENSSSAG00000002608	ENSSSAT00000005606	0.12	0.12	0.00	0.12	0.18	0.23	0.07	0.09	0.30	0.10	0.06	0.27
ENSSSAG00000002609	ENSSSAT00000005548	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47
ENSSSAG00000002610	ENSSSAT00000005763,ENSSSAT00000005769,ENSSSAT00000005788,ENSSSAT00000005794,ENSSSAT00000005813	2.48	3.18	1.91	1.14	2.95	2.60	3.53	3.20	3.94	3.73	1.72	3.95
ENSSSAG00000002612	ENSSSAT00000005549	0.11	0.00	0.04	0.02	0.00	0.02	0.02	0.02	0.05	0.02	0.10	0.15
ENSSSAG00000002614	ENSSSAT00000005554,ENSSSAT00000005565	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002615	ENSSSAT00000005553	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
ENSSSAG00000002617	ENSSSAT00000005575	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002618	ENSSSAT00000012326,ENSSSAT00000012709,ENSSSAT00000012883,ENSSSAT00000012891,ENSSSAT00000013024,ENSSSAT00000013059,ENSSSAT00000013065	5.12	3.79	1.75	1.44	3.95	3.14	2.83	2.59	4.08	3.53	1.65	3.74
ENSSSAG00000002619	ENSSSAT00000005572	2.15	2.25	1.26	1.53	2.37	2.61	5.57	3.80	4.49	3.58	2.02	4.20
ENSSSAG00000002621	ENSSSAT00000005858,ENSSSAT00000005892,ENSSSAT00000006217,ENSSSAT00000006236,ENSSSAT00000124701	6.39	5.01	2.76	2.64	6.00	4.67	3.92	4.20	5.39	6.06	2.79	5.32
ENSSSAG00000002622	ENSSSAT00000005574	0.23	0.05	0.08	0.04	0.28	0.04	0.30	0.04	0.10	0.34	0.16	0.00
ENSSSAG00000002623	ENSSSAT00000005887,ENSSSAT00000006046,ENSSSAT00000006273,ENSSSAT00000006472,ENSSSAT00000006480,ENSSSAT00000099101,ENSSSAT00000100333,ENSSSAT00000100651	0.21	0.22	0.11	0.06	0.09	0.12	0.07	0.08	0.15	0.18	0.09	0.17
ENSSSAG00000002624	ENSSSAT00000005579	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002627	ENSSSAT00000005591,ENSSSAT00000171122,ENSSSAT00000195912,ENSSSAT00000243324	55.79	67.45	28.66	29.64	49.74	37.40	39.25	35.63	64.46	43.84	22.22	50.16
ENSSSAG00000002628	ENSSSAT00000005584,ENSSSAT00000245562	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.02	0.00	0.00	0.02
ENSSSAG00000002630	ENSSSAT00000005583	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002631	ENSSSAT00000005590	0.03	0.03	0.03	0.02	0.00	0.06	0.15	0.00	0.10	0.10	0.00	0.38
ENSSSAG00000002632	ENSSSAT00000005595,ENSSSAT00000169345	0.00	0.18	0.13	0.19	0.22	0.18	0.67	0.15	0.08	0.13	0.04	0.13
ENSSSAG00000002633	ENSSSAT00000005596	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002634	ENSSSAT00000005638,ENSSSAT00000072189,ENSSSAT00000072214,ENSSSAT00000072267,ENSSSAT00000072314,ENSSSAT00000159641,ENSSSAT00000183412,ENSSSAT00000209166,ENSSSAT00000216089	0.14	0.29	0.08	0.06	0.27	0.00	0.26	0.09	0.12	0.19	0.13	0.05
ENSSSAG00000002635	ENSSSAT00000005598	0.20	0.26	0.28	0.00	0.27	0.00	0.34	0.19	0.43	0.28	0.14	0.00
ENSSSAG00000002636	ENSSSAT00000005611	0.00	0.00	0.06	0.00	0.00	0.00	0.03	0.00	0.00	0.14	0.02	0.00
ENSSSAG00000002637	ENSSSAT00000005005,ENSSSAT00000005047,ENSSSAT00000005108,ENSSSAT00000005721,ENSSSAT00000005743,ENSSSAT00000205550	3.48	3.45	1.99	3.50	3.71	2.99	3.26	3.70	4.55	4.63	2.46	3.20
ENSSSAG00000002639	ENSSSAT00000005646	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002641	ENSSSAT00000005623,ENSSSAT00000005707,ENSSSAT00000005715,ENSSSAT00000005735	0.48	1.64	0.34	0.37	0.46	0.43	0.46	0.43	0.74	0.77	0.13	0.39
ENSSSAG00000002642	ENSSSAT00000005617,ENSSSAT00000182640	3.40	3.24	2.83	2.38	2.95	2.93	2.54	2.54	2.66	3.14	2.08	2.49
ENSSSAG00000002644	ENSSSAT00000005766,ENSSSAT00000005787,ENSSSAT00000005801,ENSSSAT00000168273,ENSSSAT00000235711,ENSSSAT00000253559	7.44	10.23	4.18	4.67	6.85	5.58	6.29	5.46	8.39	6.83	3.80	8.08
ENSSSAG00000002645	ENSSSAT00000004617,ENSSSAT00000005669,ENSSSAT00000170284,ENSSSAT00000182099,ENSSSAT00000193538,ENSSSAT00000225346,ENSSSAT00000240063	0.31	0.16	0.06	0.00	0.97	0.45	0.33	0.00	0.17	0.22	0.11	0.15
ENSSSAG00000002646	ENSSSAT00000005624,ENSSSAT00000005632,ENSSSAT00000005716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.07
ENSSSAG00000002648	ENSSSAT00000005641,ENSSSAT00000005645,ENSSSAT00000204034,ENSSSAT00000212274,ENSSSAT00000214222,ENSSSAT00000217398	9.47	9.90	8.40	10.92	10.72	10.30	10.80	12.18	11.46	12.15	7.09	11.86
ENSSSAG00000002650	ENSSSAT00000005877,ENSSSAT00000006011,ENSSSAT00000006028,ENSSSAT00000006066,ENSSSAT00000006091,ENSSSAT00000006098,ENSSSAT00000194678	0.39	0.52	0.11	0.00	0.00	0.37	0.40	0.34	0.26	0.00	0.10	0.00
ENSSSAG00000002652	ENSSSAT00000005644	3.33	0.05	0.13	0.06	0.16	0.17	3.75	2.78	12.18	3.63	0.05	0.10
ENSSSAG00000002653	ENSSSAT00000008970,ENSSSAT00000009071,ENSSSAT00000009285,ENSSSAT00000009600,ENSSSAT00000009648,ENSSSAT00000009751,ENSSSAT00000060474	8.76	9.51	4.23	3.62	8.70	7.21	7.33	7.42	10.43	8.39	4.08	8.10
ENSSSAG00000002655	ENSSSAT00000005652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002657	ENSSSAT00000005653	0.12	0.10	0.03	0.13	0.52	0.11	0.17	0.44	0.09	0.97	0.16	0.43
ENSSSAG00000002658	ENSSSAT00000005661	12.79	12.81	7.64	9.39	12.50	8.04	13.17	9.13	17.14	13.76	5.65	13.40
ENSSSAG00000002660	ENSSSAT00000005654	0.14	0.05	0.08	0.00	0.54	0.36	0.89	1.32	3.47	0.31	0.00	1.47
ENSSSAG00000002664	ENSSSAT00000005665	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002665	ENSSSAT00000005671	5.13	7.96	3.60	4.70	7.27	7.56	6.44	5.02	7.53	5.81	3.28	6.33
ENSSSAG00000002666	ENSSSAT00000222015	0.00	0.00	0.00	0.02	0.09	0.00	0.00	0.00	0.00	0.06	0.02	0.03
ENSSSAG00000002667	ENSSSAT00000005686,ENSSSAT00000005693,ENSSSAT00000005700	87.40	99.85	56.85	56.48	82.69	64.83	68.32	64.25	92.38	79.71	56.12	66.93
ENSSSAG00000002668	ENSSSAT00000005668	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002669	ENSSSAT00000005670	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002670	ENSSSAT00000005673	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002671	ENSSSAT00000005675	2.25	0.86	0.12	0.11	3.51	0.18	0.10	0.29	0.09	7.01	0.31	1.73
ENSSSAG00000002673	ENSSSAT00000005683	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002674	ENSSSAT00000005690	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.04
ENSSSAG00000002676	ENSSSAT00000005688	7.55	4.73	2.90	2.76	6.93	5.60	5.30	4.55	5.06	7.52	2.99	5.94
ENSSSAG00000002677	ENSSSAT00000005691,ENSSSAT00000157970,ENSSSAT00000183430,ENSSSAT00000209985,ENSSSAT00000243286	1.39	1.38	1.00	1.07	1.59	1.38	0.92	1.28	1.35	2.12	0.38	2.39
ENSSSAG00000002678	ENSSSAT00000005694,ENSSSAT00000232915	35.20	152.50	55.82	107.52	35.82	90.47	62.74	8.76	29.01	36.26	28.60	17.81
ENSSSAG00000002679	ENSSSAT00000005744,ENSSSAT00000192015	17.27	19.35	17.15	18.12	18.47	17.27	16.52	14.58	17.99	18.29	13.45	15.54
ENSSSAG00000002682	ENSSSAT00000006680,ENSSSAT00000006757,ENSSSAT00000006865,ENSSSAT00000006875,ENSSSAT00000187597	1.64	1.10	0.93	0.98	1.55	0.85	1.89	1.71	1.98	1.77	0.74	1.61
ENSSSAG00000002683	ENSSSAT00000005720,ENSSSAT00000238753	9.30	10.57	7.15	7.78	10.55	7.69	8.85	9.13	10.85	11.76	7.52	11.95
ENSSSAG00000002684	ENSSSAT00000005704	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002685	ENSSSAT00000005702,ENSSSAT00000165840,ENSSSAT00000189449	1.69	1.48	1.06	1.56	2.03	1.40	3.55	2.58	3.53	2.92	1.25	2.24
ENSSSAG00000002687	ENSSSAT00000005944	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002688	ENSSSAT00000005717	11.68	10.27	3.93	1.87	8.05	9.66	2.53	4.00	4.99	3.46	2.92	11.96
ENSSSAG00000002694	ENSSSAT00000005754,ENSSSAT00000099659,ENSSSAT00000178045,ENSSSAT00000188214,ENSSSAT00000194690,ENSSSAT00000197361,ENSSSAT00000218047,ENSSSAT00000241169	29.12	37.93	16.31	15.83	28.45	22.62	24.81	27.46	33.78	24.89	16.45	29.13
ENSSSAG00000002696	ENSSSAT00000005725,ENSSSAT00000005728,ENSSSAT00000005731,ENSSSAT00000228113	13.57	7.71	9.39	7.77	13.60	11.42	10.37	11.71	12.17	15.15	7.40	13.64
ENSSSAG00000002698	ENSSSAT00000005732,ENSSSAT00000005760,ENSSSAT00000005852,ENSSSAT00000005862,ENSSSAT00000005876,ENSSSAT00000005883,ENSSSAT00000005889,ENSSSAT00000195450,ENSSSAT00000213199	68.07	77.12	57.32	47.03	71.24	60.35	68.64	64.57	78.09	75.56	60.39	68.31
ENSSSAG00000002699	ENSSSAT00000005768,ENSSSAT00000005773,ENSSSAT00000005784,ENSSSAT00000005797,ENSSSAT00000005803,ENSSSAT00000197252,ENSSSAT00000197378	825.23	1035.35	458.20	430.90	859.37	684.41	619.52	629.30	835.74	712.50	384.58	586.96
ENSSSAG00000002706	ENSSSAT00000002837	0.24	0.13	0.07	0.25	0.40	0.16	0.03	0.04	0.24	0.51	0.06	0.33
ENSSSAG00000002708	ENSSSAT00000005741	1.15	2.09	1.54	1.05	1.44	0.89	1.51	0.72	1.65	0.35	0.53	1.28
ENSSSAG00000002709	ENSSSAT00000005746	6.30	6.99	3.36	2.57	7.36	4.80	3.43	4.51	7.20	7.92	2.44	8.30
ENSSSAG00000002710	ENSSSAT00000005749,ENSSSAT00000186758,ENSSSAT00000227618	9.16	10.29	5.78	3.69	8.91	7.21	6.93	7.29	10.40	9.64	5.23	7.50
ENSSSAG00000002712	ENSSSAT00000005820,ENSSSAT00000005830,ENSSSAT00000005833,ENSSSAT00000005840,ENSSSAT00000005867,ENSSSAT00000005869,ENSSSAT00000005872,ENSSSAT00000159062	37.54	42.70	43.40	45.03	46.79	37.85	38.44	43.32	36.02	46.41	44.89	42.55
ENSSSAG00000002713	ENSSSAT00000005886,ENSSSAT00000005902,ENSSSAT00000005982,ENSSSAT00000006042,ENSSSAT00000006093,ENSSSAT00000006096,ENSSSAT00000006155,ENSSSAT00000006162,ENSSSAT00000169898	0.00	0.10	0.08	0.08	0.31	0.09	0.11	0.42	0.38	0.00	0.00	0.20
ENSSSAG00000002716	ENSSSAT00000005758	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002720	ENSSSAT00000005799,ENSSSAT00000173714,ENSSSAT00000176897,ENSSSAT00000188528,ENSSSAT00000200358,ENSSSAT00000227763,ENSSSAT00000248145	0.09	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002721	ENSSSAT00000005775,ENSSSAT00000005782,ENSSSAT00000005785,ENSSSAT00000005790,ENSSSAT00000005795	70.24	66.00	77.60	57.77	60.81	36.88	54.28	54.68	59.03	65.54	49.79	69.97
ENSSSAG00000002723	ENSSSAT00000005772,ENSSSAT00000191153,ENSSSAT00000208792,ENSSSAT00000216131	1.21	0.76	0.21	1.33	1.02	0.32	1.50	1.27	1.61	1.78	0.59	0.90
ENSSSAG00000002724	ENSSSAT00000007160,ENSSSAT00000007234,ENSSSAT00000007259,ENSSSAT00000007296,ENSSSAT00000007369,ENSSSAT00000021397	0.12	0.26	0.13	0.16	0.17	0.48	0.48	0.11	0.42	0.35	0.17	0.47
