gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000107955	ENSSSAT00000197343,ENSSSAT00000246896	21.18	23.68	17.20	20.32	27.97	20.46	30.55	29.46	27.53	28.96	16.81	22.47
ENSSSAG00000107956	ENSSSAT00000235875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107957	ENSSSAT00000219536	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107958	ENSSSAT00000115813,ENSSSAT00000115820,ENSSSAT00000115824,ENSSSAT00000121001,ENSSSAT00000199954	1824.53	1730.58	1727.31	1730.22	1888.81	1502.01	1836.30	1786.74	1607.12	1607.12	1368.50	1585.70
ENSSSAG00000107959	ENSSSAT00000163622	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107960	ENSSSAT00000161011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107961	ENSSSAT00000246085	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107962	ENSSSAT00000095349,ENSSSAT00000173783,ENSSSAT00000225859,ENSSSAT00000248837	0.47	0.75	0.34	0.22	1.22	0.96	1.05	1.18	1.90	1.90	0.34	1.19
ENSSSAG00000107963	ENSSSAT00000006070,ENSSSAT00000168308,ENSSSAT00000204468,ENSSSAT00000220572,ENSSSAT00000254185	0.86	0.73	0.18	0.90	0.58	0.39	1.01	0.72	0.44	0.42	0.51	0.77
ENSSSAG00000107964	ENSSSAT00000252086	0.16	0.00	0.00	0.00	0.00	0.00	0.28	0.38	0.00	0.00	0.17	0.00
ENSSSAG00000107965	ENSSSAT00000206492,ENSSSAT00000220875,ENSSSAT00000238316	0.24	0.00	0.00	0.05	0.38	0.42	0.07	0.00	0.52	0.38	0.13	0.55
ENSSSAG00000107966	ENSSSAT00000245274	0.32	0.09	0.13	0.13	0.23	0.03	0.23	0.03	0.03	0.07	0.07	0.00
ENSSSAG00000107967	ENSSSAT00000229822	0.00	0.00	0.00	0.00	0.00	0.07	0.05	0.14	0.00	0.00	0.00	0.00
ENSSSAG00000107968	ENSSSAT00000158189,ENSSSAT00000181372,ENSSSAT00000207087,ENSSSAT00000220050	4.17	5.10	4.74	2.99	4.51	0.00	1.05	4.05	6.10	4.17	3.17	2.86
ENSSSAG00000107969	ENSSSAT00000247850	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107970	ENSSSAT00000192025	0.00	0.02	0.02	0.00	0.00	0.00	0.03	0.00	0.02	0.04	0.01	0.00
ENSSSAG00000107971	ENSSSAT00000248161	0.90	2.54	3.26	1.33	2.65	1.93	2.88	0.00	0.86	0.14	4.64	1.77
ENSSSAG00000107972	ENSSSAT00000165357,ENSSSAT00000238884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
ENSSSAG00000107973	ENSSSAT00000163650	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107974	ENSSSAT00000225060	0.09	0.09	0.19	0.04	0.14	0.04	0.07	0.04	0.10	0.00	0.12	0.15
ENSSSAG00000107975	ENSSSAT00000183589	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107976	ENSSSAT00000229649	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107977	ENSSSAT00000184527	6.14	7.56	3.17	5.78	2.71	5.31	8.20	10.79	4.61	7.29	3.20	4.40
ENSSSAG00000107978	ENSSSAT00000189120,ENSSSAT00000232602	1.77	2.13	1.17	1.80	2.04	0.49	6.36	2.58	1.28	1.45	1.02	4.58
ENSSSAG00000107979	ENSSSAT00000183106	131.39	79.47	46.97	31.08	70.23	53.16	31.95	24.63	39.30	59.99	35.99	44.78
ENSSSAG00000107980	ENSSSAT00000198281	2.12	2.11	2.28	2.10	2.28	2.58	3.25	2.32	3.38	2.22	1.18	4.02
ENSSSAG00000107981	ENSSSAT00000198866	0.37	0.18	0.13	0.02	0.31	0.00	0.07	0.00	0.10	0.36	0.06	0.13
ENSSSAG00000107982	ENSSSAT00000168164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107983	ENSSSAT00000174867	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107984	ENSSSAT00000205341	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107985	ENSSSAT00000171422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107986	ENSSSAT00000206728	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
ENSSSAG00000107987	ENSSSAT00000176383	2.82	2.98	1.83	2.21	1.57	2.09	1.31	0.39	2.42	1.37	2.15	1.05
ENSSSAG00000107988	ENSSSAT00000175028	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
