gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000002391	ENSSSAT00000005086	135.14	148.01	161.17	123.80	143.62	137.39	145.08	163.86	155.96	167.14	159.47	225.13
ENSSSAG00000002392	ENSSSAT00000005090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.82	0.00
ENSSSAG00000002394	ENSSSAT00000005091,ENSSSAT00000005096,ENSSSAT00000005107,ENSSSAT00000005123,ENSSSAT00000161095	1.40	1.78	1.65	1.63	2.14	1.36	1.89	2.55	2.39	1.53	2.04	1.18
ENSSSAG00000002396	ENSSSAT00000006454,ENSSSAT00000006746,ENSSSAT00000006798,ENSSSAT00000006805,ENSSSAT00000006858,ENSSSAT00000201200	23.34	26.25	25.78	22.84	25.09	25.88	24.79	26.53	24.97	25.00	24.09	32.19
ENSSSAG00000002397	ENSSSAT00000005109	0.22	0.30	0.33	0.12	0.29	0.05	0.17	0.11	0.06	0.22	0.06	0.00
ENSSSAG00000002398	ENSSSAT00000005099,ENSSSAT00000005106,ENSSSAT00000172944,ENSSSAT00000198523,ENSSSAT00000200879,ENSSSAT00000210851,ENSSSAT00000214524	9.58	19.93	16.36	18.02	20.82	11.09	15.46	19.51	18.58	11.71	16.66	15.31
ENSSSAG00000002399	ENSSSAT00000005115	0.10	0.07	0.03	0.11	0.29	0.10	0.07	0.03	0.04	0.03	0.24	0.04
ENSSSAG00000002400	ENSSSAT00000005105,ENSSSAT00000157339	4.21	2.73	3.21	1.92	2.02	3.37	1.71	1.65	3.22	2.59	2.64	3.06
ENSSSAG00000002402	ENSSSAT00000005110,ENSSSAT00000193063,ENSSSAT00000194328,ENSSSAT00000252953	5.27	3.44	6.59	4.06	2.97	4.51	4.72	4.59	5.07	3.29	3.02	4.64
ENSSSAG00000002403	ENSSSAT00000005120,ENSSSAT00000005594,ENSSSAT00000005666,ENSSSAT00000005770,ENSSSAT00000005828,ENSSSAT00000005932,ENSSSAT00000006000,ENSSSAT00000006170,ENSSSAT00000006270	1.51	1.16	1.36	0.77	1.02	1.49	1.02	1.17	1.32	0.94	0.63	1.52
ENSSSAG00000002404	ENSSSAT00000005138,ENSSSAT00000005146	7.28	5.99	7.15	5.50	5.67	5.01	6.22	4.76	5.36	7.12	6.96	3.37
ENSSSAG00000002405	ENSSSAT00000005112	2.05	1.09	4.30	0.79	0.82	3.87	0.82	1.11	1.15	0.80	0.60	3.05
ENSSSAG00000002406	ENSSSAT00000005129	0.92	0.41	0.31	1.18	0.32	0.48	1.08	0.08	1.59	0.77	0.07	0.03
ENSSSAG00000002407	ENSSSAT00000005114	3.49	2.14	6.06	2.61	2.62	4.07	3.43	2.75	2.37	2.09	2.65	2.54
ENSSSAG00000002412	ENSSSAT00000005133,ENSSSAT00000005187,ENSSSAT00000202615,ENSSSAT00000252657	10.69	8.77	7.82	7.81	6.17	9.01	6.85	9.03	6.35	7.92	8.44	6.78
ENSSSAG00000002414	ENSSSAT00000005134,ENSSSAT00000005141,ENSSSAT00000005149	6.64	4.65	8.38	3.33	3.32	8.66	3.62	3.01	4.23	3.14	3.84	5.69
ENSSSAG00000002415	ENSSSAT00000005144	7.61	7.84	7.29	6.38	7.09	6.74	8.22	9.03	8.05	8.49	7.30	6.67
ENSSSAG00000002416	ENSSSAT00000005205,ENSSSAT00000005221,ENSSSAT00000005235,ENSSSAT00000005253	6.51	6.77	7.56	8.96	8.44	7.64	9.24	10.66	8.95	10.33	7.29	6.29
ENSSSAG00000002418	ENSSSAT00000005201,ENSSSAT00000005282,ENSSSAT00000005348,ENSSSAT00000166824,ENSSSAT00000234567	326.96	377.02	385.49	416.13	397.43	407.83	534.25	565.05	423.04	540.44	543.65	636.36
ENSSSAG00000002421	ENSSSAT00000005139	15.92	15.98	12.10	13.33	14.11	15.30	11.20	16.65	11.43	12.23	13.01	19.78
ENSSSAG00000002422	ENSSSAT00000005142,ENSSSAT00000005150,ENSSSAT00000197074	3.90	6.81	7.42	4.77	6.76	2.90	10.54	9.42	10.47	5.51	7.81	7.63
ENSSSAG00000002424	ENSSSAT00000005151	0.49	0.12	0.89	0.47	0.23	0.06	0.17	0.00	0.31	0.06	0.00	0.18
