gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000005278	ENSOMYT00000011636,ENSOMYT00000122227,ENSOMYT00000143788	0.03	0.03	0.07	0.06	0.12	0.20	0.04	0.11	0.08	0.00	0.00	0.00	0.03	0.10	0.09	0.34	0.22	0.37
ENSOMYG00000005283	ENSOMYT00000011684,ENSOMYT00000011725,ENSOMYT00000011750,ENSOMYT00000011757,ENSOMYT00000011769,ENSOMYT00000147110,ENSOMYT00000164748	24.37	24.46	32.33	58.94	70.28	58.97	38.86	66.65	72.15	28.35	23.91	26.14	55.05	62.71	43.95	59.51	33.44	62.09
ENSOMYG00000005284	ENSOMYT00000011647,ENSOMYT00000011661,ENSOMYT00000130797	0.16	0.22	0.12	0.30	0.30	0.27	0.02	0.04	0.07	0.00	0.06	0.61	4.46	6.72	4.50	2.91	8.94	5.33
ENSOMYG00000005285	ENSOMYT00000011614	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005286	ENSOMYT00000011787,ENSOMYT00000011805	0.56	1.22	0.71	1.12	0.36	0.48	1.13	0.67	0.51	0.38	0.35	0.31	0.09	0.16	0.26	0.21	0.12	0.07
ENSOMYG00000005287	ENSOMYT00000011703	55.48	58.91	55.14	4.04	4.33	5.11	5.86	2.32	2.53	37.20	37.74	33.25	3.86	8.75	8.06	4.29	5.49	4.21
ENSOMYG00000005289	ENSOMYT00000011628	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005290	ENSOMYT00000011631	82.43	60.72	67.46	30.90	23.66	24.28	25.31	20.73	18.35	67.57	71.50	84.13	14.74	12.94	10.72	15.65	10.45	11.51
ENSOMYG00000005291	ENSOMYT00000011626	0.11	0.21	0.00	2.62	1.15	1.47	1.36	0.74	1.33	1.20	0.99	2.72	0.11	0.21	0.22	0.10	0.00	0.00
ENSOMYG00000005293	ENSOMYT00000011655	25.92	28.94	24.65	6.82	10.83	11.14	7.06	6.50	6.19	24.94	19.81	25.32	5.52	4.80	7.91	7.53	5.33	5.78
ENSOMYG00000005295	ENSOMYT00000011635	0.00	0.00	0.00	0.09	0.18	0.25	0.00	0.00	0.48	0.00	0.00	0.00	0.09	0.00	0.00	0.08	0.16	0.08
ENSOMYG00000005297	ENSOMYT00000011657	1.49	2.96	9.32	7.26	6.26	8.97	9.92	6.99	7.42	2.83	3.37	5.96	6.50	6.45	7.32	7.89	4.98	9.25
ENSOMYG00000005301	ENSOMYT00000011667	20.66	27.34	23.89	35.42	30.70	35.91	42.77	35.15	32.40	42.08	39.23	57.58	10.25	13.33	12.09	20.84	6.42	16.24
ENSOMYG00000005304	ENSOMYT00000011658	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005307	ENSOMYT00000011671	20.76	6.82	14.43	13.43	9.18	8.23	12.84	5.44	6.82	27.32	14.11	17.74	3.07	1.63	2.08	2.46	0.86	2.65
ENSOMYG00000005308	ENSOMYT00000011680	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62
ENSOMYG00000005309	ENSOMYT00000011669	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005310	ENSOMYT00000011670	0.00	6.24	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.99	7.16	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005311	ENSOMYT00000053405	19.22	14.77	17.80	15.54	17.22	12.36	32.80	15.62	14.99	31.02	26.02	30.44	15.22	20.11	19.26	7.71	8.35	16.98
