gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000032018	ENSOMYT00000075169,ENSOMYT00000075179	20.62	18.32	20.19	9.40	12.65	12.14	10.23	6.56	5.92	35.82	28.12	31.88	8.85	8.22	5.76	5.98	5.14	10.69
ENSOMYG00000032019	ENSOMYT00000075187	0.04	0.00	0.00	0.52	0.08	0.38	0.69	0.42	0.22	0.38	0.03	0.36	0.16	0.00	0.04	0.11	0.04	0.00
ENSOMYG00000032020	ENSOMYT00000075162	0.00	0.00	0.17	1.55	1.85	0.95	11.69	2.45	2.21	0.18	0.13	0.28	0.00	0.86	0.35	0.16	0.47	0.75
ENSOMYG00000032021	ENSOMYT00000075208,ENSOMYT00000075313,ENSOMYT00000075401,ENSOMYT00000075510	5.49	8.10	2.48	0.99	0.96	1.03	0.89	0.92	0.54	0.95	1.43	0.87	1.39	0.43	0.51	0.79	0.20	0.48
ENSOMYG00000032022	ENSOMYT00000075164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032023	ENSOMYT00000075196,ENSOMYT00000075202,ENSOMYT00000075215	15.80	18.56	18.99	19.39	30.94	26.36	25.24	29.96	25.76	11.00	9.16	13.71	18.78	22.52	14.00	16.42	14.20	20.95
ENSOMYG00000032024	ENSOMYT00000075170	194.58	198.39	194.77	32.39	42.48	38.80	40.05	33.15	32.47	106.41	92.94	80.82	9.75	16.31	14.93	15.96	9.09	14.19
ENSOMYG00000032025	ENSOMYT00000075277,ENSOMYT00000075281,ENSOMYT00000075284,ENSOMYT00000075306	0.00	0.04	0.04	0.69	0.91	0.54	0.82	0.74	0.57	0.00	0.00	0.00	0.41	0.54	0.50	0.38	0.11	0.45
ENSOMYG00000032026	ENSOMYT00000075806,ENSOMYT00000075991,ENSOMYT00000076007,ENSOMYT00000076017,ENSOMYT00000076032,ENSOMYT00000076087	0.34	0.12	0.23	4.55	6.37	6.20	8.22	6.57	5.44	0.31	0.15	0.24	1.97	1.96	1.90	1.80	1.20	1.49
ENSOMYG00000032027	ENSOMYT00000075188,ENSOMYT00000137004	0.00	0.28	0.47	0.80	0.85	0.29	2.33	0.38	0.28	0.26	0.30	0.10	0.12	0.25	0.13	0.00	0.06	0.26
ENSOMYG00000032028	ENSOMYT00000075184,ENSOMYT00000075189	36.87	38.04	25.25	16.11	15.99	20.22	17.73	17.30	16.48	20.88	14.60	11.42	9.18	8.74	7.76	7.48	1.84	4.42
ENSOMYG00000032029	ENSOMYT00000075197,ENSOMYT00000075209,ENSOMYT00000075219	0.00	0.00	0.00	2.24	2.03	0.84	5.97	0.94	0.94	0.00	0.06	0.12	0.90	3.27	1.09	1.56	1.55	1.40
ENSOMYG00000032030	ENSOMYT00000075203,ENSOMYT00000138222,ENSOMYT00000153710,ENSOMYT00000163580	27.09	29.02	22.65	4.26	4.76	3.79	7.47	4.82	4.08	15.76	14.81	18.04	1.17	1.96	1.66	2.42	0.77	3.41
ENSOMYG00000032031	ENSOMYT00000075238,ENSOMYT00000122840,ENSOMYT00000130999,ENSOMYT00000131330,ENSOMYT00000155392	0.04	0.00	0.07	0.45	0.97	1.04	0.73	0.30	0.46	0.04	0.04	0.04	0.12	0.15	0.33	0.04	0.04	0.15
ENSOMYG00000032032	ENSOMYT00000075799,ENSOMYT00000079474,ENSOMYT00000080298,ENSOMYT00000080304,ENSOMYT00000080496,ENSOMYT00000080523	39.89	45.42	44.26	37.09	31.00	23.33	16.85	25.15	30.99	39.39	36.43	45.14	23.09	28.11	27.96	25.36	14.02	27.49
ENSOMYG00000032033	ENSOMYT00000078601,ENSOMYT00000078620,ENSOMYT00000078639,ENSOMYT00000078646,ENSOMYT00000078658,ENSOMYT00000078679,ENSOMYT00000078705,ENSOMYT00000078731,ENSOMYT00000078798	0.22	0.41	0.21	0.40	0.89	0.34	1.20	0.14	0.20	0.43	0.53	0.21	0.43	0.33	0.17	0.18	0.19	0.35
ENSOMYG00000032034	ENSOMYT00000075201	0.16	0.06	0.09	1.44	1.43	1.70	0.79	1.04	0.63	0.29	0.16	0.91	0.03	0.41	0.16	0.09	0.17	0.09
ENSOMYG00000032035	ENSOMYT00000075237,ENSOMYT00000075245,ENSOMYT00000127850,ENSOMYT00000132119,ENSOMYT00000138027,ENSOMYT00000163418	25.35	25.81	10.58	2.67	3.71	3.02	1.49	3.76	2.65	4.08	2.64	1.84	21.87	21.33	21.54	10.05	25.26	14.05
ENSOMYG00000032037	ENSOMYT00000075247	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032038	ENSOMYT00000076503,ENSOMYT00000076515,ENSOMYT00000076525,ENSOMYT00000076540,ENSOMYT00000076544,ENSOMYT00000076549,ENSOMYT00000076552,ENSOMYT00000076559,ENSOMYT00000076563,ENSOMYT00000076569	7.18	7.68	5.58	26.15	31.14	29.77	15.63	21.73	20.02	3.75	4.64	2.83	37.71	31.72	34.91	37.37	35.25	33.29
ENSOMYG00000032039	ENSOMYT00000075282,ENSOMYT00000075309,ENSOMYT00000075315,ENSOMYT00000075324,ENSOMYT00000075329,ENSOMYT00000075371	1.08	0.80	0.67	3.39	3.63	3.06	0.34	0.55	1.01	0.87	1.75	0.71	5.25	6.14	5.20	4.91	4.89	5.82
ENSOMYG00000032040	ENSOMYT00000085285,ENSOMYT00000085303,ENSOMYT00000085344,ENSOMYT00000085545,ENSOMYT00000085559,ENSOMYT00000085717,ENSOMYT00000085763,ENSOMYT00000085774,ENSOMYT00000085794,ENSOMYT00000085801	1.68	1.77	3.88	7.69	5.58	5.09	6.27	4.16	5.49	2.44	2.88	2.74	1.03	1.19	1.20	2.21	0.81	1.50
ENSOMYG00000032042	ENSOMYT00000075288,ENSOMYT00000075297,ENSOMYT00000075300,ENSOMYT00000075303,ENSOMYT00000075312	0.38	0.17	0.00	0.20	0.17	0.16	1.59	0.29	0.60	0.00	0.05	0.00	0.84	0.17	0.82	0.79	2.09	0.29
ENSOMYG00000032043	ENSOMYT00000075214	0.00	0.29	0.00	0.14	0.00	0.66	1.71	0.13	0.00	0.30	0.45	0.00	0.14	0.00	0.00	0.00	0.13	0.00
ENSOMYG00000032044	ENSOMYT00000075242,ENSOMYT00000075248,ENSOMYT00000075255,ENSOMYT00000075258,ENSOMYT00000124049,ENSOMYT00000126836,ENSOMYT00000134954,ENSOMYT00000146535,ENSOMYT00000164213,ENSOMYT00000164731	7.94	12.35	4.46	0.22	0.16	0.07	0.70	0.23	0.49	294.52	342.12	603.74	0.00	0.00	0.00	0.00	0.07	0.00
ENSOMYG00000032045	ENSOMYT00000075229,ENSOMYT00000126981,ENSOMYT00000127387,ENSOMYT00000160637	14.96	33.31	22.49	16.03	4.18	12.05	11.18	17.98	10.21	2.61	2.13	2.01	4.94	11.29	8.23	11.92	6.78	7.11
ENSOMYG00000032048	ENSOMYT00000075244	0.35	0.11	0.31	1.91	3.71	2.96	5.96	2.05	1.44	0.44	1.09	0.34	3.94	4.63	5.22	2.41	8.56	4.01
ENSOMYG00000032049	ENSOMYT00000075885,ENSOMYT00000076460,ENSOMYT00000076476,ENSOMYT00000076494,ENSOMYT00000076618,ENSOMYT00000076667,ENSOMYT00000076683,ENSOMYT00000076690,ENSOMYT00000076717,ENSOMYT00000076736	2.60	1.72	2.42	5.90	8.59	8.53	2.69	2.93	3.55	1.37	1.87	0.98	9.14	26.45	13.83	15.54	30.95	8.74
ENSOMYG00000032051	ENSOMYT00000075273,ENSOMYT00000075376,ENSOMYT00000075379,ENSOMYT00000075382	5.43	1.86	2.37	7.61	6.37	6.56	8.33	5.32	4.20	3.78	2.28	2.42	1.53	2.43	2.53	4.41	0.65	3.21
ENSOMYG00000032052	ENSOMYT00000076247,ENSOMYT00000076372,ENSOMYT00000076405,ENSOMYT00000076426,ENSOMYT00000133063,ENSOMYT00000133533,ENSOMYT00000138891,ENSOMYT00000147606,ENSOMYT00000159911	243.85	259.95	187.83	10.56	9.17	4.60	10.10	8.76	7.61	63.44	69.58	45.60	2.26	3.90	5.30	3.41	1.11	1.67
ENSOMYG00000032054	ENSOMYT00000075253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032055	ENSOMYT00000075254	0.00	0.00	0.00	0.30	0.08	0.14	0.72	0.07	0.13	0.00	0.00	0.00	0.00	0.08	0.00	0.20	0.00	0.00
ENSOMYG00000032056	ENSOMYT00000075257	0.00	0.00	0.00	3.58	4.13	2.59	2.52	1.99	2.62	0.00	0.00	0.06	0.63	0.57	0.57	0.63	0.50	0.47
ENSOMYG00000032059	ENSOMYT00000075265	12.83	15.89	31.96	2.21	5.58	3.58	7.71	3.39	4.56	28.22	15.38	28.99	0.59	0.83	1.08	1.70	0.11	0.10
ENSOMYG00000032060	ENSOMYT00000075264	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032061	ENSOMYT00000075323,ENSOMYT00000075336,ENSOMYT00000075340,ENSOMYT00000075344,ENSOMYT00000075347,ENSOMYT00000075351	44.15	36.37	32.28	13.39	18.51	12.84	14.14	13.30	13.01	24.05	26.62	23.78	17.38	15.04	15.19	10.60	10.24	8.74
ENSOMYG00000032062	ENSOMYT00000075268	2.43	2.49	0.77	0.36	0.16	0.51	0.28	0.36	0.27	3.77	2.80	5.87	0.00	0.06	0.00	0.22	0.00	0.00
ENSOMYG00000032063	ENSOMYT00000075285	0.05	0.04	0.00	0.34	0.18	0.24	0.60	0.04	0.19	0.05	0.00	0.07	2.90	5.89	3.21	2.11	7.85	7.19
ENSOMYG00000032064	ENSOMYT00000075275	78.60	70.44	61.95	26.62	25.83	29.14	30.74	29.54	17.91	35.31	38.96	20.32	34.79	31.30	25.97	34.91	31.34	16.22
ENSOMYG00000032065	ENSOMYT00000075809,ENSOMYT00000075861,ENSOMYT00000075946	75.90	71.33	54.22	6.63	11.46	9.45	8.05	10.22	8.84	30.96	22.71	24.25	13.43	11.26	11.16	7.60	8.44	8.43
ENSOMYG00000032066	ENSOMYT00000075276	3.57	3.70	3.19	9.86	11.48	10.48	9.59	11.23	10.10	1.69	2.71	1.62	8.57	10.32	8.23	8.23	8.78	8.18
ENSOMYG00000032067	ENSOMYT00000075624,ENSOMYT00000075652,ENSOMYT00000075655,ENSOMYT00000076186,ENSOMYT00000076205,ENSOMYT00000076217,ENSOMYT00000076231	0.51	0.99	0.59	0.38	1.26	0.87	0.11	0.28	0.22	0.33	0.83	0.41	0.57	0.18	0.39	0.27	0.23	0.40
ENSOMYG00000032068	ENSOMYT00000075274	0.07	0.13	0.00	0.06	0.26	0.12	0.14	0.06	0.00	0.00	0.00	0.05	0.07	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032069	ENSOMYT00000075327,ENSOMYT00000075334,ENSOMYT00000164059	0.00	0.00	0.00	0.84	0.75	0.37	0.48	0.00	0.00	0.00	1.27	0.00	0.00	0.80	0.00	0.00	0.00	0.00
ENSOMYG00000032070	ENSOMYT00000075631,ENSOMYT00000075659,ENSOMYT00000075883,ENSOMYT00000075888,ENSOMYT00000075889,ENSOMYT00000075894,ENSOMYT00000075898,ENSOMYT00000075909,ENSOMYT00000076075,ENSOMYT00000076132	20.83	16.14	19.41	12.15	14.71	13.55	12.91	7.01	7.60	14.18	12.61	14.57	3.05	3.13	3.81	3.40	1.94	2.85
ENSOMYG00000032071	ENSOMYT00000075346	72.98	75.22	60.48	74.54	133.89	84.93	80.67	93.26	98.91	62.19	82.82	58.62	137.03	123.92	139.63	167.96	123.00	129.53
ENSOMYG00000032072	ENSOMYT00000075289	0.99	2.33	0.49	2.96	2.41	1.54	0.80	1.23	0.74	1.03	0.91	1.74	1.08	0.67	0.34	0.82	0.52	0.63
ENSOMYG00000032073	ENSOMYT00000075283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032074	ENSOMYT00000071677,ENSOMYT00000075319,ENSOMYT00000075328,ENSOMYT00000075331,ENSOMYT00000146827	13.66	10.88	19.91	18.09	23.13	16.26	17.98	15.85	14.87	14.06	15.10	16.31	15.08	9.54	16.69	13.60	5.57	8.72
ENSOMYG00000032075	ENSOMYT00000075298,ENSOMYT00000075302	0.06	0.05	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.05	0.16	0.11	0.05	0.00	0.00
ENSOMYG00000032077	ENSOMYT00000075317,ENSOMYT00000075322,ENSOMYT00000075332,ENSOMYT00000075342	2.41	4.59	6.44	36.80	28.62	27.73	25.29	21.24	15.37	10.59	5.87	14.85	7.32	7.25	8.75	13.28	10.20	13.36
ENSOMYG00000032078	ENSOMYT00000066116,ENSOMYT00000066253,ENSOMYT00000075326,ENSOMYT00000135796,ENSOMYT00000141267,ENSOMYT00000141735,ENSOMYT00000143818,ENSOMYT00000146182,ENSOMYT00000166876,ENSOMYT00000167533	0.18	0.33	0.39	8.91	11.82	11.90	17.56	8.45	7.41	3.01	1.06	1.77	1.39	2.11	1.91	1.19	0.50	1.15
ENSOMYG00000032080	ENSOMYT00000075360,ENSOMYT00000075369,ENSOMYT00000075373,ENSOMYT00000075378	15.53	21.64	12.69	12.07	13.56	11.14	3.39	8.38	8.47	3.55	4.21	2.39	15.77	27.16	23.88	18.86	36.28	31.69
ENSOMYG00000032081	ENSOMYT00000075308	0.00	0.17	0.00	0.85	3.99	2.82	3.16	0.60	1.09	0.35	0.13	0.96	1.20	1.02	1.03	0.31	0.46	1.18
ENSOMYG00000032082	ENSOMYT00000075338,ENSOMYT00000138735	76.57	74.35	63.57	110.41	87.55	69.09	102.14	74.51	78.06	76.58	79.59	86.98	44.47	46.90	38.52	52.93	31.66	46.24
ENSOMYG00000032083	ENSOMYT00000075325	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.25	0.00	0.00
ENSOMYG00000032084	ENSOMYT00000075321	0.00	0.24	0.41	0.94	0.54	0.33	1.58	1.18	1.17	0.31	0.09	0.53	1.24	1.45	2.50	1.55	0.59	0.85
ENSOMYG00000032085	ENSOMYT00000075330	1.56	1.52	3.20	0.08	0.23	0.07	0.00	0.00	0.20	5.34	13.63	7.79	0.23	0.08	0.16	0.00	0.21	0.00
ENSOMYG00000032086	ENSOMYT00000075449,ENSOMYT00000075540,ENSOMYT00000075543,ENSOMYT00000075554,ENSOMYT00000075568	12.84	14.35	7.49	8.84	9.68	8.84	11.53	6.89	8.34	8.21	10.54	8.30	5.55	7.07	7.66	4.82	8.38	6.22
ENSOMYG00000032087	ENSOMYT00000054638,ENSOMYT00000075425,ENSOMYT00000075443,ENSOMYT00000075457,ENSOMYT00000075466,ENSOMYT00000075482,ENSOMYT00000150921	8.78	9.98	8.46	12.40	18.79	16.87	6.94	14.73	12.53	6.54	5.07	4.07	10.84	9.85	13.42	13.82	7.90	12.31
ENSOMYG00000032088	ENSOMYT00000075666,ENSOMYT00000075670	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	1.09	0.00
ENSOMYG00000032089	ENSOMYT00000075370,ENSOMYT00000075381,ENSOMYT00000075397,ENSOMYT00000075400,ENSOMYT00000075464,ENSOMYT00000075503	63.80	66.06	54.76	30.14	29.11	29.89	20.68	29.86	34.64	35.19	32.85	42.70	60.17	52.41	47.14	44.55	38.49	45.57
ENSOMYG00000032090	ENSOMYT00000076933	2.42	3.08	2.26	9.19	7.87	7.16	6.47	5.27	4.06	1.88	2.09	3.50	1.39	1.99	1.79	3.53	1.57	2.01
ENSOMYG00000032091	ENSOMYT00000075337	1.34	1.87	1.78	2.80	0.29	0.28	0.00	1.41	0.29	0.95	0.95	1.22	0.00	0.00	0.31	0.86	0.00	0.00
ENSOMYG00000032093	ENSOMYT00000075343,ENSOMYT00000125939,ENSOMYT00000130384,ENSOMYT00000139659	2.57	3.82	2.65	3.30	3.90	4.24	6.47	2.14	2.04	2.04	1.58	2.76	0.65	0.46	0.53	0.61	0.07	0.49
ENSOMYG00000032094	ENSOMYT00000075345	75.06	78.98	47.42	12.87	16.26	13.54	4.85	15.53	12.21	30.80	35.92	33.11	11.52	11.18	9.14	15.63	16.17	16.17
ENSOMYG00000032097	ENSOMYT00000075356	7.48	6.10	6.66	5.83	7.39	7.26	9.41	8.28	6.60	2.98	4.86	4.40	4.95	6.56	5.47	6.53	6.88	7.12
ENSOMYG00000032098	ENSOMYT00000075359	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032099	ENSOMYT00000075403,ENSOMYT00000075437,ENSOMYT00000075514,ENSOMYT00000075679,ENSOMYT00000075685,ENSOMYT00000075692,ENSOMYT00000075712,ENSOMYT00000145339	18.79	21.51	19.58	11.92	13.19	12.00	7.57	9.83	9.49	5.22	5.27	5.04	12.99	12.83	14.40	15.41	13.42	13.70
ENSOMYG00000032100	ENSOMYT00000075364,ENSOMYT00000075377	2.71	2.19	3.64	7.91	7.36	8.98	6.53	7.07	5.70	3.68	2.53	4.04	2.29	4.18	3.03	3.36	2.45	2.25
ENSOMYG00000032101	ENSOMYT00000075367	5.36	5.16	10.09	1.18	0.47	1.22	1.88	1.89	0.56	5.02	6.87	5.86	3.17	2.19	2.25	2.02	2.91	1.84
ENSOMYG00000032102	ENSOMYT00000075372	83.83	84.11	90.36	30.06	29.34	33.09	29.53	20.39	16.25	51.26	73.60	48.87	6.31	8.91	6.89	16.06	5.35	2.34
ENSOMYG00000032104	ENSOMYT00000075380	3.48	2.31	23.88	29.45	17.04	19.43	29.61	16.65	15.14	34.10	27.86	28.23	3.18	3.69	3.08	4.03	1.42	2.93
ENSOMYG00000032105	ENSOMYT00000075398	5.85	5.16	4.03	1.05	2.02	1.17	1.25	1.01	0.38	0.37	0.23	0.55	0.33	0.99	0.55	0.06	0.13	0.39
ENSOMYG00000032106	ENSOMYT00000075375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.84	0.00	0.00	0.00	0.00
ENSOMYG00000032107	ENSOMYT00000081861,ENSOMYT00000082008,ENSOMYT00000082175,ENSOMYT00000082241,ENSOMYT00000082326,ENSOMYT00000082331,ENSOMYT00000082409,ENSOMYT00000082413,ENSOMYT00000127870,ENSOMYT00000150087	3.05	4.08	5.29	4.83	2.95	5.00	11.14	4.00	3.02	8.44	5.67	10.95	0.30	0.67	0.88	0.79	0.27	0.38
ENSOMYG00000032108	ENSOMYT00000075388,ENSOMYT00000075405	54.62	48.55	45.75	7.37	10.03	6.77	4.01	6.04	7.14	21.91	21.61	18.82	28.63	28.78	30.57	21.18	33.79	22.28
ENSOMYG00000032109	ENSOMYT00000075429	58.64	56.54	56.02	36.62	9.04	7.87	35.93	27.42	25.77	17.01	36.36	14.09	11.32	2.82	13.32	21.40	6.59	9.98
ENSOMYG00000032110	ENSOMYT00000075387	22.17	26.40	26.28	4.50	6.27	5.79	3.09	5.21	6.12	10.10	8.13	8.10	5.77	5.75	4.73	6.41	4.68	7.91
ENSOMYG00000032112	ENSOMYT00000075396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032113	ENSOMYT00000075389	0.00	0.11	0.00	1.81	2.37	1.26	0.49	1.69	1.34	0.00	0.00	0.09	0.68	1.26	1.04	1.03	0.72	1.36
ENSOMYG00000032114	ENSOMYT00000075452,ENSOMYT00000075481	85.35	114.50	81.16	89.37	105.80	96.65	130.28	100.57	89.46	72.59	69.12	75.51	72.64	71.42	56.56	62.16	33.08	50.53
ENSOMYG00000032115	ENSOMYT00000075423,ENSOMYT00000075432,ENSOMYT00000075438	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.09	0.19	4.53	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032116	ENSOMYT00000075418,ENSOMYT00000075446,ENSOMYT00000075478,ENSOMYT00000075520	59.54	46.49	32.97	5.68	7.39	9.47	9.35	7.32	6.22	19.68	21.79	16.65	6.00	13.28	9.78	7.51	11.46	6.88
ENSOMYG00000032117	ENSOMYT00000075872,ENSOMYT00000076078,ENSOMYT00000076137,ENSOMYT00000076164,ENSOMYT00000076172,ENSOMYT00000076189,ENSOMYT00000076210,ENSOMYT00000076334,ENSOMYT00000076345	89.05	84.43	77.59	60.60	52.78	43.76	21.04	32.91	35.46	57.37	57.02	56.60	30.97	39.86	36.76	40.29	37.06	42.78
ENSOMYG00000032118	ENSOMYT00000075395	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032119	ENSOMYT00000075412	16.57	11.35	15.58	4.60	6.82	4.33	2.11	4.88	5.48	7.25	8.55	6.82	2.23	2.71	2.61	3.13	4.35	4.34
ENSOMYG00000032120	ENSOMYT00000075408	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032121	ENSOMYT00000075406,ENSOMYT00000075409,ENSOMYT00000075419	111.58	112.20	114.13	45.08	53.58	46.42	39.81	53.19	60.78	61.36	69.07	50.07	45.55	58.94	51.75	63.47	41.72	63.76
ENSOMYG00000032122	ENSOMYT00000075417	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032125	ENSOMYT00000075439	37.75	36.65	27.32	11.16	7.36	9.92	8.10	9.29	16.08	22.09	24.92	19.21	12.49	13.51	16.40	18.43	31.18	15.69
ENSOMYG00000032126	ENSOMYT00000075442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032127	ENSOMYT00000075479,ENSOMYT00000075527,ENSOMYT00000075536	16.35	17.86	17.42	11.12	19.47	15.05	26.17	20.75	18.10	16.07	18.13	17.46	15.69	18.95	20.80	21.42	24.54	23.96
ENSOMYG00000032128	ENSOMYT00000075454,ENSOMYT00000075472	0.58	0.37	5.26	1.88	2.13	1.02	1.37	1.87	1.23	3.13	1.65	1.11	0.44	0.33	0.12	0.69	0.50	0.60
ENSOMYG00000032129	ENSOMYT00000075441	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000032131	ENSOMYT00000075430	0.80	0.11	4.86	2.52	1.37	0.29	5.11	1.57	2.96	0.55	2.99	3.32	4.33	4.81	4.31	2.30	3.24	4.33
ENSOMYG00000032133	ENSOMYT00000075783,ENSOMYT00000075787,ENSOMYT00000075794,ENSOMYT00000075814,ENSOMYT00000075820,ENSOMYT00000075840,ENSOMYT00000075842,ENSOMYT00000075846	0.05	0.11	0.00	3.78	2.35	6.56	2.63	4.06	3.15	0.00	0.04	0.04	0.55	2.12	0.69	2.94	0.51	1.14
ENSOMYG00000032134	ENSOMYT00000075445	0.35	0.00	0.10	1.93	3.55	3.59	1.54	1.77	1.51	0.04	0.08	0.06	0.50	1.38	0.59	0.89	0.10	0.69
ENSOMYG00000032135	ENSOMYT00000075533,ENSOMYT00000075559,ENSOMYT00000075584,ENSOMYT00000075759,ENSOMYT00000075852,ENSOMYT00000076019,ENSOMYT00000076090,ENSOMYT00000076133,ENSOMYT00000076181	2.46	4.42	3.93	2.83	3.90	5.73	2.58	2.41	1.76	2.97	2.98	3.01	3.72	2.08	2.50	2.39	2.17	2.96
ENSOMYG00000032136	ENSOMYT00000079697,ENSOMYT00000079724,ENSOMYT00000079732,ENSOMYT00000080000,ENSOMYT00000080008,ENSOMYT00000080047,ENSOMYT00000080092,ENSOMYT00000080172,ENSOMYT00000080187,ENSOMYT00000080225	9.88	12.09	10.66	14.13	18.05	12.13	9.73	9.07	9.39	8.63	7.70	6.75	7.22	5.51	6.27	9.12	6.01	6.97
ENSOMYG00000032137	ENSOMYT00000075477,ENSOMYT00000075483,ENSOMYT00000075487,ENSOMYT00000086763,ENSOMYT00000086790,ENSOMYT00000086863,ENSOMYT00000153449,ENSOMYT00000163255	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.09	0.15	0.10	0.05	0.08	0.07
ENSOMYG00000032138	ENSOMYT00000075451	5.60	5.03	4.64	8.12	4.09	6.74	9.29	2.18	2.98	3.98	6.46	4.42	7.38	7.28	7.56	5.93	6.12	4.19
ENSOMYG00000032139	ENSOMYT00000075453	69.50	80.90	65.64	0.12	0.82	0.54	0.12	0.00	0.05	41.80	45.43	39.02	0.00	0.00	0.18	0.00	0.00	0.05
ENSOMYG00000032140	ENSOMYT00000075455,ENSOMYT00000133996	5.54	8.64	3.94	5.05	6.11	6.69	1.74	2.88	2.90	0.78	0.71	0.61	0.93	2.11	1.45	1.61	0.60	1.82
ENSOMYG00000032141	ENSOMYT00000075461,ENSOMYT00000075467,ENSOMYT00000120456	55.17	51.09	74.59	8.73	12.40	9.99	10.97	13.01	12.75	36.98	32.83	27.95	8.50	9.94	9.52	7.36	8.94	7.61
ENSOMYG00000032143	ENSOMYT00000075468	62.23	46.83	51.27	15.48	17.81	16.88	20.53	12.75	15.08	45.82	56.44	36.48	13.40	8.92	11.85	12.55	10.74	12.21
ENSOMYG00000032144	ENSOMYT00000075470	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00
ENSOMYG00000032145	ENSOMYT00000076397,ENSOMYT00000076436,ENSOMYT00000076484,ENSOMYT00000076498,ENSOMYT00000076507	247.06	249.15	232.07	4.93	5.57	5.91	7.11	3.20	2.52	119.48	137.00	115.18	0.84	1.71	1.53	2.13	1.77	1.64
ENSOMYG00000032146	ENSOMYT00000075493,ENSOMYT00000139785	0.23	0.10	0.10	1.86	1.94	1.37	2.70	1.03	0.30	0.14	0.17	0.13	0.26	1.07	0.37	0.33	0.17	0.18
ENSOMYG00000032147	ENSOMYT00000075488	62.02	87.19	181.06	50.69	49.16	97.64	77.61	65.70	55.41	261.19	324.93	579.10	28.86	15.31	35.95	22.29	15.15	12.00
