gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000026682	ENSOMYT00000065202,ENSOMYT00000065269,ENSOMYT00000065303,ENSOMYT00000065319,ENSOMYT00000065334	24.60	32.87	27.92	34.17	28.20	21.00	24.06	23.50	24.87	28.13	30.04	19.31
ENSOMYG00000026686	ENSOMYT00000062954	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026687	ENSOMYT00000062938,ENSOMYT00000062952,ENSOMYT00000062963	6.61	8.04	6.67	10.69	7.49	7.69	6.07	4.22	5.79	6.01	8.38	5.00
ENSOMYG00000026690	ENSOMYT00000065107,ENSOMYT00000065146,ENSOMYT00000065254,ENSOMYT00000065411,ENSOMYT00000065445,ENSOMYT00000065580,ENSOMYT00000065731,ENSOMYT00000065741,ENSOMYT00000065799,ENSOMYT00000065813	0.18	0.48	0.68	0.52	0.29	0.36	0.48	0.55	0.37	0.33	0.46	0.96
ENSOMYG00000026691	ENSOMYT00000062933	392.13	293.91	459.74	336.53	289.34	313.05	282.08	308.35	266.69	199.13	323.09	213.66
ENSOMYG00000026692	ENSOMYT00000062934,ENSOMYT00000116470	13.00	10.92	11.00	8.51	8.98	6.95	13.52	10.93	7.76	9.50	9.54	8.32
ENSOMYG00000026694	ENSOMYT00000062937	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27
ENSOMYG00000026696	ENSOMYT00000063111,ENSOMYT00000063118,ENSOMYT00000140457,ENSOMYT00000150337	4.90	2.87	3.66	4.36	2.96	2.89	0.03	0.06	0.00	0.00	0.00	4.48
ENSOMYG00000026697	ENSOMYT00000063052	0.00	0.00	0.00	0.21	0.00	0.00	0.14	0.00	0.32	0.00	0.00	0.00
ENSOMYG00000026698	ENSOMYT00000062958	2.14	2.24	3.22	2.89	1.67	2.68	1.33	1.70	0.98	0.87	3.92	3.70
ENSOMYG00000026699	ENSOMYT00000063190,ENSOMYT00000063201,ENSOMYT00000063230,ENSOMYT00000063253,ENSOMYT00000063260	1869.06	1133.07	1241.07	1293.53	1621.33	1846.36	1532.33	1726.04	1342.78	1575.23	1899.73	1598.86
ENSOMYG00000026700	ENSOMYT00000075098,ENSOMYT00000075126,ENSOMYT00000075156,ENSOMYT00000075183,ENSOMYT00000075633,ENSOMYT00000075638,ENSOMYT00000075661,ENSOMYT00000075696,ENSOMYT00000100854	40.37	36.51	34.17	31.03	36.24	33.21	34.01	30.35	32.24	36.03	36.03	33.78
ENSOMYG00000026701	ENSOMYT00000062970,ENSOMYT00000062984,ENSOMYT00000063001	2.45	2.72	1.66	2.06	2.21	2.64	1.78	2.66	2.54	1.11	1.17	2.51
ENSOMYG00000026702	ENSOMYT00000062978	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026703	ENSOMYT00000062969,ENSOMYT00000062983	75.29	65.15	32.25	116.62	192.47	218.98	7.75	72.41	13.54	3.98	4.43	9.82
ENSOMYG00000026704	ENSOMYT00000062962	0.72	0.00	1.72	0.42	0.47	0.69	0.25	0.48	0.32	0.00	0.28	0.42
ENSOMYG00000026705	ENSOMYT00000062965	0.88	2.68	2.70	0.56	0.89	2.51	1.46	1.46	3.17	1.44	0.89	3.03
ENSOMYG00000026706	ENSOMYT00000062972	20.69	24.37	20.34	22.74	21.26	16.91	23.91	24.49	24.64	19.62	19.79	16.51
ENSOMYG00000026707	ENSOMYT00000062968	2.86	1.27	1.87	1.28	0.94	1.16	2.00	0.76	1.70	1.38	1.20	0.69
ENSOMYG00000026709	ENSOMYT00000062971,ENSOMYT00000062998,ENSOMYT00000063019,ENSOMYT00000063044,ENSOMYT00000063126,ENSOMYT00000063143,ENSOMYT00000063163	4.55	6.20	4.73	6.11	4.78	2.92	10.00	8.80	10.81	4.19	6.28	12.09
ENSOMYG00000026712	ENSOMYT00000063073,ENSOMYT00000063087,ENSOMYT00000136107,ENSOMYT00000139260,ENSOMYT00000143176	19.43	41.18	24.66	35.74	38.97	32.20	17.39	19.31	18.92	18.75	12.62	22.49
ENSOMYG00000026715	ENSOMYT00000063081,ENSOMYT00000063100,ENSOMYT00000063106,ENSOMYT00000063139,ENSOMYT00000063160,ENSOMYT00000127729	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026716	ENSOMYT00000062985	6.90	4.06	5.23	6.21	4.44	4.32	4.38	4.75	6.86	3.30	2.53	5.93
ENSOMYG00000026717	ENSOMYT00000063024,ENSOMYT00000063048	7.64	6.78	7.33	5.90	7.82	7.20	7.20	8.73	8.30	5.35	8.95	7.66
ENSOMYG00000026718	ENSOMYT00000062991	5.36	6.30	6.49	5.86	4.42	3.56	5.52	4.74	3.93	5.38	4.94	4.24
ENSOMYG00000026719	ENSOMYT00000063000,ENSOMYT00000063015,ENSOMYT00000063035,ENSOMYT00000063056	0.94	0.14	0.72	0.22	0.35	0.26	0.71	0.55	0.23	1.81	0.31	0.80
