gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000041883	ENSOMYT00000099075	2.00	2.67	2.78	3.60	2.57	3.22	5.06	5.94	4.42	4.06	1.87	4.11
ENSOMYG00000041884	ENSOMYT00000099068,ENSOMYT00000099080,ENSOMYT00000099086,ENSOMYT00000136996	2.29	3.70	4.79	3.48	3.05	3.40	3.86	3.26	4.78	3.26	2.01	5.05
ENSOMYG00000041885	ENSOMYT00000025046,ENSOMYT00000099126,ENSOMYT00000099129,ENSOMYT00000099140,ENSOMYT00000121533,ENSOMYT00000138340	95.87	95.47	77.03	101.03	102.30	120.96	88.99	113.06	101.21	112.99	103.32	106.30
ENSOMYG00000041886	ENSOMYT00000099095,ENSOMYT00000099101,ENSOMYT00000099105,ENSOMYT00000099109	16.77	12.76	13.74	12.25	13.50	12.23	9.82	10.27	10.22	12.48	8.71	12.27
ENSOMYG00000041887	ENSOMYT00000099083	6.02	5.49	5.80	7.13	6.63	6.61	11.06	7.85	9.62	10.19	13.85	6.60
ENSOMYG00000041888	ENSOMYT00000099467,ENSOMYT00000099552,ENSOMYT00000099565	11.69	21.63	13.36	16.64	17.53	15.97	8.22	12.75	10.37	7.16	9.79	11.64
ENSOMYG00000041889	ENSOMYT00000099164	0.63	0.63	0.99	0.23	0.69	0.58	0.69	0.10	0.04	0.21	0.06	0.06
ENSOMYG00000041890	ENSOMYT00000099104	320.10	273.49	313.75	293.62	247.64	248.37	254.60	273.35	248.61	274.10	340.59	279.96
ENSOMYG00000041891	ENSOMYT00000099128,ENSOMYT00000121283	11.28	11.70	4.46	7.74	8.53	8.48	2.51	8.50	7.60	5.28	5.99	6.87
ENSOMYG00000041892	ENSOMYT00000099116	175.92	80.42	117.01	53.49	59.85	47.99	41.85	42.54	61.91	74.44	89.78	71.60
ENSOMYG00000041893	ENSOMYT00000099132	0.00	0.13	0.00	0.65	0.00	0.00	0.00	0.11	0.00	0.00	0.13	0.00
ENSOMYG00000041894	ENSOMYT00000099120,ENSOMYT00000099134	4.94	5.49	20.30	5.21	5.82	15.84	33.56	6.71	34.25	28.26	5.39	29.11
ENSOMYG00000041895	ENSOMYT00000102909,ENSOMYT00000102990,ENSOMYT00000103310,ENSOMYT00000103485,ENSOMYT00000103513,ENSOMYT00000103517,ENSOMYT00000103538,ENSOMYT00000103603	13.37	11.58	12.21	10.87	12.50	9.63	9.03	10.56	11.24	10.00	8.75	9.45
ENSOMYG00000041897	ENSOMYT00000099135	9.46	8.12	9.17	8.82	7.57	8.78	8.22	9.01	7.83	7.10	8.58	8.01
ENSOMYG00000041898	ENSOMYT00000099139,ENSOMYT00000099149	31.67	24.18	39.39	32.39	32.81	33.66	36.87	32.29	28.87	28.55	33.28	29.27
ENSOMYG00000041899	ENSOMYT00000099213,ENSOMYT00000099312,ENSOMYT00000099800,ENSOMYT00000099819,ENSOMYT00000099896,ENSOMYT00000099913,ENSOMYT00000099957,ENSOMYT00000136661,ENSOMYT00000167577	16.48	18.12	16.84	14.30	17.75	17.01	13.68	15.72	13.30	12.82	15.67	14.78
ENSOMYG00000041900	ENSOMYT00000099147,ENSOMYT00000099154	5.69	3.45	3.16	3.23	2.12	2.84	0.19	1.81	1.53	0.10	0.79	2.33
ENSOMYG00000041901	ENSOMYT00000099143,ENSOMYT00000099151	1.03	1.11	0.68	1.34	1.61	2.27	0.54	1.64	2.42	1.05	1.53	1.51
ENSOMYG00000041902	ENSOMYT00000099162,ENSOMYT00000099177,ENSOMYT00000099186,ENSOMYT00000099227,ENSOMYT00000099243,ENSOMYT00000099319	0.00	0.00	0.31	0.00	0.10	0.31	0.14	0.55	0.00	0.66	0.00	0.31
ENSOMYG00000041903	ENSOMYT00000099142	1.41	2.27	1.69	1.05	2.26	2.89	1.60	0.46	1.43	1.15	1.37	2.42
ENSOMYG00000041904	ENSOMYT00000099150	16.34	10.04	19.20	11.07	13.70	19.08	22.57	21.33	18.53	18.78	25.22	18.94
ENSOMYG00000041906	ENSOMYT00000099158	5.55	10.92	7.83	7.64	8.17	6.20	0.83	3.85	6.51	0.61	1.00	6.86
ENSOMYG00000041907	ENSOMYT00000099161	17.23	15.40	28.51	17.32	20.44	18.80	21.94	21.46	26.77	24.33	40.03	30.00
ENSOMYG00000041908	ENSOMYT00000099163	3.38	2.19	4.33	2.26	1.17	0.93	11.67	7.06	9.13	5.35	4.82	9.48
ENSOMYG00000041909	ENSOMYT00000099170,ENSOMYT00000099176,ENSOMYT00000099183,ENSOMYT00000132725	30.19	18.49	41.27	10.42	20.78	10.34	41.06	9.84	23.06	35.11	32.66	37.03
ENSOMYG00000041910	ENSOMYT00000036919,ENSOMYT00000036961,ENSOMYT00000037035,ENSOMYT00000099187,ENSOMYT00000099191,ENSOMYT00000099194	0.65	3.14	1.82	0.67	1.68	1.71	9.80	5.96	4.32	3.74	2.21	3.85
ENSOMYG00000041911	ENSOMYT00000099169	0.15	0.00	0.00	0.00	0.15	0.00	0.00	0.00	1.49	0.00	0.00	0.42
ENSOMYG00000041912	ENSOMYT00000099171	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041914	ENSOMYT00000099203,ENSOMYT00000099240	0.10	0.16	0.09	0.57	0.47	0.26	0.57	0.73	0.66	1.41	0.56	0.49
ENSOMYG00000041916	ENSOMYT00000099196	6.73	3.78	6.01	3.99	2.21	4.63	1.61	3.19	2.09	2.69	1.74	2.52
ENSOMYG00000041918	ENSOMYT00000099189	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041919	ENSOMYT00000078931,ENSOMYT00000099199,ENSOMYT00000099206,ENSOMYT00000099211,ENSOMYT00000099218,ENSOMYT00000140317	28.75	29.88	29.51	26.93	28.23	28.11	18.78	21.67	22.98	17.72	28.10	19.97
ENSOMYG00000041920	ENSOMYT00000099193,ENSOMYT00000117224,ENSOMYT00000124933,ENSOMYT00000126155,ENSOMYT00000132184,ENSOMYT00000152293,ENSOMYT00000165204	10.14	8.99	9.34	8.72	10.14	13.46	9.60	11.22	9.25	9.55	12.30	8.29
ENSOMYG00000041921	ENSOMYT00000099192	0.54	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.49
ENSOMYG00000041922	ENSOMYT00000099195,ENSOMYT00000158251	8.99	12.13	14.51	6.14	10.60	5.61	14.38	10.13	7.07	9.01	6.02	8.87
ENSOMYG00000041923	ENSOMYT00000099205,ENSOMYT00000099209,ENSOMYT00000099217	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.15	0.00	0.00	0.00
ENSOMYG00000041925	ENSOMYT00000099201	1.34	1.24	2.10	1.70	1.87	1.61	1.35	1.27	1.44	0.77	1.32	1.23
ENSOMYG00000041927	ENSOMYT00000099204	0.26	0.38	0.00	0.15	0.25	0.35	0.40	0.41	0.39	0.93	0.24	0.00
ENSOMYG00000041928	ENSOMYT00000099214,ENSOMYT00000118545,ENSOMYT00000128617,ENSOMYT00000145502,ENSOMYT00000145882,ENSOMYT00000154417	36.74	41.66	23.69	28.57	29.97	36.01	30.72	48.12	37.13	36.28	30.20	20.62
ENSOMYG00000041930	ENSOMYT00000099233	34.68	26.41	35.37	21.29	25.93	21.12	20.08	21.04	21.86	25.17	26.97	21.24
ENSOMYG00000041931	ENSOMYT00000099237,ENSOMYT00000099246,ENSOMYT00000099255,ENSOMYT00000119265,ENSOMYT00000121596,ENSOMYT00000133383,ENSOMYT00000151771,ENSOMYT00000158663,ENSOMYT00000162824,ENSOMYT00000166363	12.76	16.90	15.17	13.25	13.80	16.72	12.54	13.16	11.29	10.18	10.33	15.91
ENSOMYG00000041932	ENSOMYT00000099222	0.14	0.00	0.12	0.00	0.00	0.25	0.07	0.00	0.06	0.00	0.09	0.00
ENSOMYG00000041934	ENSOMYT00000099242,ENSOMYT00000099251	14.87	8.46	11.31	11.64	5.35	8.92	7.20	5.07	5.99	2.91	2.72	9.68
ENSOMYG00000041935	ENSOMYT00000099248	28.17	29.16	20.80	23.98	24.26	26.47	23.13	27.54	30.74	27.60	21.91	27.10
ENSOMYG00000041936	ENSOMYT00000099250	37.82	29.01	52.78	71.62	34.85	28.78	56.15	22.61	48.26	50.05	55.52	52.90
ENSOMYG00000041937	ENSOMYT00000099256,ENSOMYT00000099265,ENSOMYT00000099274,ENSOMYT00000099280	3.70	2.78	3.59	3.84	3.35	5.20	1.09	1.39	1.79	0.60	0.52	4.44
ENSOMYG00000041939	ENSOMYT00000099259	4.92	10.06	6.48	9.54	12.66	5.57	6.64	7.15	6.55	8.51	5.86	6.26
ENSOMYG00000041940	ENSOMYT00000099260	10.26	9.99	8.99	8.19	9.89	6.30	7.98	7.50	7.42	12.52	10.55	8.42
ENSOMYG00000041941	ENSOMYT00000099263	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041942	ENSOMYT00000099442,ENSOMYT00000141754	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
ENSOMYG00000041943	ENSOMYT00000099455,ENSOMYT00000099546,ENSOMYT00000099587,ENSOMYT00000117542	1.90	1.58	1.21	1.21	1.75	2.16	1.71	1.74	1.44	1.97	1.14	1.21
ENSOMYG00000041944	ENSOMYT00000099334,ENSOMYT00000099338,ENSOMYT00000099366,ENSOMYT00000099394,ENSOMYT00000099401,ENSOMYT00000099407,ENSOMYT00000099411	3.67	1.33	4.86	2.59	2.99	3.12	1.24	0.87	1.87	2.23	2.32	2.40
ENSOMYG00000041946	ENSOMYT00000099277	3.01	2.33	2.95	2.56	1.98	2.45	2.99	2.23	4.67	1.54	1.36	2.17
ENSOMYG00000041947	ENSOMYT00000099323,ENSOMYT00000099339,ENSOMYT00000099351,ENSOMYT00000099371,ENSOMYT00000099412,ENSOMYT00000099416,ENSOMYT00000099444	0.18	0.53	0.98	0.00	0.55	0.22	0.25	0.49	1.05	0.33	0.50	0.45
ENSOMYG00000041948	ENSOMYT00000099336,ENSOMYT00000099345	15.08	13.91	8.07	11.06	9.18	11.08	9.41	12.04	11.02	14.08	13.91	10.39
ENSOMYG00000041949	ENSOMYT00000101250,ENSOMYT00000101507,ENSOMYT00000101514,ENSOMYT00000101613,ENSOMYT00000101616,ENSOMYT00000101624,ENSOMYT00000101627,ENSOMYT00000101635,ENSOMYT00000101640,ENSOMYT00000101651	7.47	8.57	12.38	10.94	9.55	8.84	4.92	9.74	7.56	3.70	3.26	11.69
ENSOMYG00000041951	ENSOMYT00000099286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041953	ENSOMYT00000099288	4.65	6.63	6.15	5.66	4.35	5.88	5.35	4.89	5.91	2.56	6.58	4.70
ENSOMYG00000041954	ENSOMYT00000099289,ENSOMYT00000099290	0.00	0.00	1.15	2.89	0.57	0.00	0.00	0.47	2.24	0.46	0.00	1.67
ENSOMYG00000041955	ENSOMYT00000160723	0.00	1.28	0.00	2.46	0.00	1.21	1.60	0.53	1.27	0.51	3.93	0.00
ENSOMYG00000041957	ENSOMYT00000099400,ENSOMYT00000099443	0.57	0.00	0.53	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.51
ENSOMYG00000041958	ENSOMYT00000099388,ENSOMYT00000099409,ENSOMYT00000099417,ENSOMYT00000099420	8.13	5.23	6.67	7.17	7.55	7.22	18.44	10.21	8.10	8.17	7.74	11.01
ENSOMYG00000041959	ENSOMYT00000099296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041960	ENSOMYT00000099298,ENSOMYT00000150443	28.56	29.76	26.83	24.60	22.46	25.37	26.10	28.48	30.18	30.46	29.86	19.70
ENSOMYG00000041961	ENSOMYT00000044834,ENSOMYT00000045248,ENSOMYT00000099399,ENSOMYT00000099419,ENSOMYT00000099428,ENSOMYT00000099432,ENSOMYT00000099440,ENSOMYT00000120579,ENSOMYT00000124480,ENSOMYT00000144623	20.40	21.77	18.64	19.07	17.09	17.33	21.56	20.59	22.76	19.65	26.05	12.10
ENSOMYG00000041962	ENSOMYT00000099303	37.28	27.23	41.55	26.04	35.02	24.76	37.92	32.34	34.38	33.97	34.88	26.92
ENSOMYG00000041963	ENSOMYT00000099308	35.39	37.94	24.84	33.88	28.30	32.48	30.02	31.37	35.35	36.09	31.44	28.25
ENSOMYG00000041964	ENSOMYT00000099446,ENSOMYT00000099486,ENSOMYT00000099492,ENSOMYT00000099504	52.23	54.98	49.01	50.68	53.88	49.46	44.65	44.00	43.99	54.92	66.45	47.44
ENSOMYG00000041965	ENSOMYT00000099317	23.11	25.44	15.53	18.27	14.97	13.16	13.25	16.64	16.06	14.87	13.97	17.03
ENSOMYG00000041966	ENSOMYT00000099316	2.17	2.99	1.08	5.02	5.68	0.00	0.00	5.29	1.72	3.09	0.79	4.90
ENSOMYG00000041967	ENSOMYT00000099335,ENSOMYT00000099337,ENSOMYT00000124275	5.75	6.74	5.92	7.20	5.83	6.98	5.21	6.16	4.25	5.89	4.24	4.02
ENSOMYG00000041968	ENSOMYT00000099333,ENSOMYT00000099341	7.45	8.69	10.76	2.22	7.17	8.08	8.94	9.25	11.21	5.08	9.04	7.14
ENSOMYG00000041969	ENSOMYT00000099756,ENSOMYT00000099795,ENSOMYT00000099825,ENSOMYT00000100009,ENSOMYT00000100065,ENSOMYT00000100083,ENSOMYT00000100094,ENSOMYT00000100107,ENSOMYT00000100124,ENSOMYT00000100135	13.74	19.28	18.65	17.74	18.61	17.53	13.60	18.03	13.41	11.80	18.04	13.84
ENSOMYG00000041970	ENSOMYT00000099499,ENSOMYT00000099505,ENSOMYT00000099512,ENSOMYT00000099542,ENSOMYT00000099557,ENSOMYT00000099589	9.26	5.67	5.99	8.88	5.55	3.82	0.99	5.78	4.41	1.15	1.21	4.45
ENSOMYG00000041971	ENSOMYT00000099348,ENSOMYT00000099353,ENSOMYT00000099358,ENSOMYT00000099367,ENSOMYT00000099372,ENSOMYT00000099382,ENSOMYT00000099386,ENSOMYT00000099391	30.81	32.52	21.18	27.84	29.36	24.48	16.40	16.86	20.23	17.36	15.75	24.90
ENSOMYG00000041972	ENSOMYT00000099364	0.00	0.27	0.40	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041973	ENSOMYT00000099427,ENSOMYT00000099435,ENSOMYT00000099438,ENSOMYT00000099441	17.23	8.36	12.30	15.83	9.77	8.62	1.93	3.05	2.98	1.33	1.40	12.60
ENSOMYG00000041974	ENSOMYT00000100871,ENSOMYT00000100996,ENSOMYT00000101437,ENSOMYT00000101440,ENSOMYT00000101445,ENSOMYT00000101449,ENSOMYT00000101454,ENSOMYT00000101460,ENSOMYT00000101465,ENSOMYT00000101469	26.78	13.85	14.35	14.24	19.40	41.14	17.38	22.30	18.52	23.54	20.02	17.44
ENSOMYG00000041975	ENSOMYT00000099350	32.88	23.12	40.45	23.70	29.18	37.92	43.93	31.10	47.84	30.81	54.32	37.07
ENSOMYG00000041976	ENSOMYT00000039890,ENSOMYT00000100916,ENSOMYT00000100938,ENSOMYT00000100954,ENSOMYT00000100961,ENSOMYT00000100967,ENSOMYT00000100982,ENSOMYT00000101023,ENSOMYT00000161956	49.80	55.12	45.92	54.42	51.68	51.27	44.78	58.28	43.30	38.75	42.81	44.69
ENSOMYG00000041977	ENSOMYT00000099356	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00
ENSOMYG00000041980	ENSOMYT00000099369	1.62	4.58	2.29	1.62	1.30	3.35	1.06	2.45	2.29	1.85	3.51	0.63
ENSOMYG00000041982	ENSOMYT00000099518,ENSOMYT00000099525,ENSOMYT00000099530	9.08	14.64	7.07	20.00	14.57	13.79	7.12	11.20	8.56	5.49	7.40	8.53
ENSOMYG00000041983	ENSOMYT00000099381	3.52	3.83	3.76	3.84	2.34	4.34	3.09	4.63	3.46	4.81	1.84	6.43
ENSOMYG00000041984	ENSOMYT00000099396,ENSOMYT00000099405	76.59	83.05	67.43	80.87	82.84	91.82	73.22	88.02	67.92	60.26	69.87	84.32
ENSOMYG00000041985	ENSOMYT00000099387	10.69	12.83	9.47	6.85	10.87	15.30	9.33	11.75	8.02	18.66	11.86	9.62
ENSOMYG00000041986	ENSOMYT00000099389	19.57	18.01	22.48	23.92	21.97	21.15	24.83	21.94	21.65	22.44	26.79	15.09
ENSOMYG00000041987	ENSOMYT00000099398	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041989	ENSOMYT00000099402	8.47	8.30	7.56	7.19	8.23	9.85	6.22	5.91	9.03	8.44	11.69	6.72
ENSOMYG00000041990	ENSOMYT00000099410	127.02	142.93	105.77	138.15	121.37	97.18	66.30	67.64	76.26	90.25	101.70	86.40
ENSOMYG00000041991	ENSOMYT00000099424,ENSOMYT00000099429	19.36	15.62	18.07	14.57	17.40	21.03	18.27	20.16	19.48	19.40	18.99	15.64
ENSOMYG00000041992	ENSOMYT00000109825,ENSOMYT00000109915,ENSOMYT00000109921,ENSOMYT00000110020,ENSOMYT00000110066,ENSOMYT00000110162,ENSOMYT00000110170,ENSOMYT00000110225,ENSOMYT00000110229	20.04	20.50	19.48	18.90	17.77	19.84	18.23	17.28	17.84	15.43	13.66	15.33
ENSOMYG00000041993	ENSOMYT00000099404	5.68	8.79	4.99	4.79	5.14	7.04	5.09	5.62	5.87	5.11	3.21	5.37
ENSOMYG00000041994	ENSOMYT00000099431,ENSOMYT00000099447,ENSOMYT00000099450	13.41	15.91	13.73	17.12	15.90	12.28	12.07	14.73	11.27	15.72	13.73	11.77
ENSOMYG00000041995	ENSOMYT00000099425	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041996	ENSOMYT00000099433	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000041997	ENSOMYT00000099611,ENSOMYT00000099625,ENSOMYT00000099704,ENSOMYT00000099763,ENSOMYT00000099951,ENSOMYT00000099974,ENSOMYT00000100005,ENSOMYT00000100034,ENSOMYT00000100060,ENSOMYT00000100073	7.37	8.79	9.47	6.06	7.78	8.21	5.40	8.76	7.22	3.18	3.87	7.26
ENSOMYG00000041998	ENSOMYT00000099465,ENSOMYT00000099469	14.28	16.61	14.23	15.44	15.28	16.17	10.46	12.35	14.42	14.80	14.91	9.53
ENSOMYG00000041999	ENSOMYT00000099430	0.87	1.19	0.21	0.65	1.07	0.20	0.09	0.69	1.00	0.00	0.00	0.50
ENSOMYG00000042000	ENSOMYT00000099434,ENSOMYT00000152566	4.26	12.62	6.75	9.70	10.75	8.60	4.51	6.64	10.04	9.61	9.35	7.44
ENSOMYG00000042001	ENSOMYT00000099439	0.00	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.74	0.00	0.00	0.56
ENSOMYG00000042002	ENSOMYT00000099445,ENSOMYT00000125189,ENSOMYT00000136003,ENSOMYT00000141712,ENSOMYT00000151645,ENSOMYT00000157112,ENSOMYT00000159340	0.56	0.36	0.27	0.44	0.36	0.17	0.00	0.94	0.33	0.08	0.09	0.00
ENSOMYG00000042003	ENSOMYT00000099449	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042004	ENSOMYT00000099456,ENSOMYT00000145247	9.50	5.29	7.14	7.14	9.28	4.36	10.73	7.64	10.00	10.21	11.26	6.27
ENSOMYG00000042005	ENSOMYT00000099458	0.90	2.38	0.97	0.97	1.69	1.27	2.68	1.61	1.98	1.50	2.60	2.03
ENSOMYG00000042006	ENSOMYT00000099459	0.13	0.40	0.26	0.16	0.66	0.00	0.00	0.11	0.66	0.00	0.25	0.38
ENSOMYG00000042007	ENSOMYT00000099461	0.00	0.21	0.07	0.33	0.14	0.19	0.11	0.50	0.09	0.45	0.06	0.26
ENSOMYG00000042008	ENSOMYT00000099463	407.89	417.73	316.89	326.81	301.95	266.29	221.34	229.53	234.55	334.03	408.97	208.96
ENSOMYG00000042009	ENSOMYT00000099494	27.26	27.41	32.84	44.31	42.23	34.06	20.84	23.40	23.39	24.46	32.84	17.38
ENSOMYG00000042010	ENSOMYT00000099497	2.30	3.30	2.27	0.70	1.71	3.57	3.88	1.50	0.09	2.46	2.05	1.88
ENSOMYG00000042011	ENSOMYT00000099474	97.96	93.07	38.61	66.03	65.52	126.44	36.27	53.30	50.70	30.75	73.45	105.16
ENSOMYG00000042012	ENSOMYT00000099477,ENSOMYT00000139910	54.66	43.85	66.19	31.63	25.09	27.92	22.29	19.90	21.69	18.94	17.63	14.08
ENSOMYG00000042013	ENSOMYT00000102153,ENSOMYT00000102280,ENSOMYT00000102374,ENSOMYT00000102388,ENSOMYT00000102425,ENSOMYT00000102436,ENSOMYT00000102474	1.26	2.09	2.77	2.38	1.43	2.65	2.11	2.59	2.87	3.66	1.07	2.23
ENSOMYG00000042015	ENSOMYT00000099483	3.66	5.25	2.30	6.21	4.78	3.76	3.71	4.22	3.44	5.59	4.57	5.32
ENSOMYG00000042016	ENSOMYT00000099489,ENSOMYT00000125453	2.17	1.58	11.32	3.61	2.55	4.19	8.34	3.34	19.83	7.37	3.02	13.53
ENSOMYG00000042017	ENSOMYT00000099509,ENSOMYT00000138011	20.25	22.15	23.34	18.99	24.51	19.63	21.51	19.28	22.46	29.53	21.09	19.30
ENSOMYG00000042020	ENSOMYT00000099501	29.04	10.47	35.57	27.06	8.39	19.28	16.02	24.89	27.39	10.09	9.70	31.56
ENSOMYG00000042021	ENSOMYT00000103748,ENSOMYT00000103765,ENSOMYT00000103770,ENSOMYT00000103776,ENSOMYT00000103785,ENSOMYT00000103797,ENSOMYT00000103817,ENSOMYT00000103830,ENSOMYT00000103851,ENSOMYT00000103855	27.85	29.11	22.67	25.72	27.51	29.11	78.84	88.94	82.02	22.04	64.73	61.05
ENSOMYG00000042022	ENSOMYT00000099537,ENSOMYT00000099559	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.16	0.16
ENSOMYG00000042023	ENSOMYT00000099517	0.93	2.47	1.06	2.25	2.45	1.42	0.61	2.60	1.92	2.26	3.22	2.88
ENSOMYG00000042024	ENSOMYT00000099560,ENSOMYT00000119015,ENSOMYT00000126810	19.82	40.95	51.66	44.48	54.32	45.78	32.15	30.80	28.10	21.32	22.54	33.52
ENSOMYG00000042025	ENSOMYT00000099561,ENSOMYT00000099567	1.19	1.55	1.12	1.67	1.04	2.42	1.74	2.78	1.88	1.10	0.66	1.83
ENSOMYG00000042026	ENSOMYT00000099526,ENSOMYT00000099629,ENSOMYT00000099639	3.08	4.63	2.64	3.17	2.56	0.24	0.41	1.04	0.97	1.46	0.50	0.73
ENSOMYG00000042027	ENSOMYT00000099595,ENSOMYT00000099617,ENSOMYT00000099635	18.71	14.46	15.53	14.27	16.89	19.12	15.12	15.45	14.69	17.94	20.56	12.31
ENSOMYG00000042028	ENSOMYT00000099523	3.38	2.98	2.36	1.22	1.78	1.10	1.75	1.60	1.49	1.29	0.76	1.12
ENSOMYG00000042029	ENSOMYT00000099535,ENSOMYT00000099543	65.91	64.40	100.83	78.78	76.20	77.38	104.23	100.48	73.75	78.56	117.60	85.12
ENSOMYG00000042030	ENSOMYT00000099534,ENSOMYT00000099547	1.66	0.40	0.81	0.33	0.64	1.18	1.16	0.40	1.81	0.90	1.47	0.68
ENSOMYG00000042031	ENSOMYT00000099540	51.98	50.58	58.79	36.37	63.39	49.89	39.64	26.70	40.57	59.39	49.35	38.89
ENSOMYG00000042032	ENSOMYT00000099545	0.22	1.08	1.17	0.52	1.29	0.40	1.37	0.43	1.14	0.26	0.10	0.91
ENSOMYG00000042033	ENSOMYT00000045892,ENSOMYT00000100043,ENSOMYT00000100110,ENSOMYT00000100119,ENSOMYT00000100183,ENSOMYT00000100211,ENSOMYT00000100226,ENSOMYT00000100249	5.89	2.50	2.98	1.19	3.56	2.00	3.15	3.05	2.02	3.23	3.02	2.11
ENSOMYG00000042034	ENSOMYT00000099576	0.00	0.09	0.04	0.00	0.09	0.04	0.35	0.00	0.00	0.26	0.04	0.08
ENSOMYG00000042036	ENSOMYT00000099607,ENSOMYT00000099621,ENSOMYT00000099646,ENSOMYT00000099655	14.34	8.46	7.92	11.43	14.12	12.89	10.32	14.58	11.11	22.30	12.19	8.55
ENSOMYG00000042037	ENSOMYT00000099630,ENSOMYT00000099645,ENSOMYT00000099657,ENSOMYT00000099666,ENSOMYT00000099681,ENSOMYT00000099693,ENSOMYT00000099709,ENSOMYT00000099731,ENSOMYT00000099740,ENSOMYT00000099755	1.46	2.63	2.02	2.25	1.60	4.24	1.21	1.11	1.10	0.57	0.48	2.33
ENSOMYG00000042038	ENSOMYT00000099667,ENSOMYT00000099695,ENSOMYT00000099705,ENSOMYT00000099716,ENSOMYT00000099726,ENSOMYT00000108434	0.00	0.14	0.14	0.22	0.15	0.48	0.00	0.26	0.54	0.38	0.11	0.26
ENSOMYG00000042039	ENSOMYT00000099602	0.06	0.24	0.06	0.07	0.06	0.05	0.00	0.05	0.00	0.24	0.00	0.05
ENSOMYG00000042040	ENSOMYT00000099572	27.27	26.49	31.53	20.80	23.18	22.31	30.52	27.21	22.88	24.14	29.74	19.50
ENSOMYG00000042041	ENSOMYT00000099580	0.66	2.37	1.30	0.96	1.70	2.67	0.10	0.21	2.61	0.97	0.00	0.74
ENSOMYG00000042042	ENSOMYT00000099574	3.73	8.57	5.33	7.91	5.59	4.72	3.01	6.29	4.73	2.82	1.81	3.05
ENSOMYG00000042043	ENSOMYT00000099596,ENSOMYT00000099606,ENSOMYT00000099620,ENSOMYT00000099638	47.37	44.63	35.28	45.99	41.79	40.32	40.39	47.71	47.44	34.72	55.21	31.44
ENSOMYG00000042044	ENSOMYT00000099584	23.66	19.16	21.52	21.95	22.82	16.84	20.09	17.09	18.42	21.78	24.71	16.20
ENSOMYG00000042045	ENSOMYT00000099601	1.14	1.32	1.39	1.95	2.62	3.82	0.66	2.08	1.72	2.73	1.93	1.22
ENSOMYG00000042046	ENSOMYT00000099578	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042047	ENSOMYT00000099642,ENSOMYT00000099678	6.57	8.38	4.04	5.69	8.16	6.17	1.23	1.03	2.58	0.79	0.34	5.79
ENSOMYG00000042048	ENSOMYT00000099599,ENSOMYT00000099627	23.12	27.65	17.74	26.47	30.40	24.99	8.89	19.86	12.27	8.54	10.94	26.51
ENSOMYG00000042049	ENSOMYT00000099582	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042050	ENSOMYT00000100876,ENSOMYT00000100890,ENSOMYT00000100903,ENSOMYT00000100946,ENSOMYT00000101001	0.51	1.04	1.42	0.87	0.38	0.53	1.55	0.83	0.84	0.76	0.26	1.92
