gene_id	transcript_id(s)	RainbowTrout_RNA_Gill_Immature_Female_R1	RainbowTrout_RNA_Gill_Immature_Female_R2	RainbowTrout_RNA_Gill_Immature_Female_R3	RainbowTrout_RNA_Gill_Immature_Male_R1	RainbowTrout_RNA_Gill_Immature_Male_R2	RainbowTrout_RNA_Gill_Immature_Male_R3	RainbowTrout_RNA_Gill_Mature_Female_R1	RainbowTrout_RNA_Gill_Mature_Female_R2	RainbowTrout_RNA_Gill_Mature_Female_R3	RainbowTrout_RNA_Gill_Mature_Male_R1	RainbowTrout_RNA_Gill_Mature_Male_R2	RainbowTrout_RNA_Gill_Mature_Male_R3
ENSOMYG00000062976	ENSOMYT00000133980,ENSOMYT00000165264	18.24	32.67	11.58	17.04	14.10	26.34	8.10	4.38	41.00	25.62	13.73	23.11
ENSOMYG00000062977	ENSOMYT00000151797	0.00	0.10	0.08	0.00	0.33	0.18	0.51	0.00	0.07	0.00	0.18	0.09
ENSOMYG00000062978	ENSOMYT00000029371,ENSOMYT00000042635,ENSOMYT00000042645,ENSOMYT00000042682	78.12	87.89	74.12	82.69	85.61	64.00	61.31	121.19	78.70	93.76	62.54	95.90
ENSOMYG00000062979	ENSOMYT00000137796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062980	ENSOMYT00000136941	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062981	ENSOMYT00000125022,ENSOMYT00000130364,ENSOMYT00000143980,ENSOMYT00000149354	1.95	2.11	0.51	0.24	0.33	1.18	0.82	0.78	3.44	1.26	1.57	3.36
ENSOMYG00000062982	ENSOMYT00000153196	0.25	0.00	0.00	0.37	0.21	0.22	0.00	0.20	0.00	0.11	0.00	0.12
ENSOMYG00000062983	ENSOMYT00000130600	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062984	ENSOMYT00000128808	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062985	ENSOMYT00000137234	0.22	0.11	2.32	0.98	0.81	0.29	0.57	0.34	0.31	0.95	2.59	0.51
ENSOMYG00000062986	ENSOMYT00000148308	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062987	ENSOMYT00000122967,ENSOMYT00000153332,ENSOMYT00000154313	0.35	0.14	0.06	0.29	0.23	0.25	0.37	0.05	0.05	0.24	0.06	0.00
ENSOMYG00000062988	ENSOMYT00000072638	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.04	0.04	0.13	0.05	0.00
ENSOMYG00000062989	ENSOMYT00000116323,ENSOMYT00000119084,ENSOMYT00000120434,ENSOMYT00000136189	9.08	12.25	8.75	8.02	6.39	9.15	4.21	4.71	11.07	5.04	7.10	14.64
ENSOMYG00000062990	ENSOMYT00000164242	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062991	ENSOMYT00000132799	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062992	ENSOMYT00000148464	0.00	0.06	0.00	0.03	0.12	0.08	2.85	0.07	0.15	0.00	0.57	1.00
ENSOMYG00000062993	ENSOMYT00000117234	0.00	0.00	0.00	0.00	0.00	0.00	2.92	0.00	0.00	0.00	2.27	0.00
ENSOMYG00000062994	ENSOMYT00000163408	0.11	0.16	0.00	0.00	0.09	0.05	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062995	ENSOMYT00000120461	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062996	ENSOMYT00000109937,ENSOMYT00000109939,ENSOMYT00000109962,ENSOMYT00000109967	1.41	1.22	0.40	1.97	1.26	1.02	3.96	2.20	2.55	1.36	0.85	1.41
ENSOMYG00000062997	ENSOMYT00000156712	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000062998	ENSOMYT00000139305	64.58	64.35	69.80	69.50	55.24	54.11	54.58	41.37	41.61	60.48	80.55	57.63
ENSOMYG00000062999	ENSOMYT00000154458	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063000	ENSOMYT00000133018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063001	ENSOMYT00000150629	0.00	0.08	0.00	0.00	0.06	0.13	0.00	0.00	0.00	0.00	0.17	0.13
ENSOMYG00000063002	ENSOMYT00000133571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063003	ENSOMYT00000164912	1.11	0.00	0.30	0.00	0.25	0.00	0.00	0.00	0.19	0.67	0.09	0.12
ENSOMYG00000063004	ENSOMYT00000158260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063005	ENSOMYT00000159339	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063006	ENSOMYT00000125532	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063007	ENSOMYT00000152715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063008	ENSOMYT00000129193,ENSOMYT00000148864	1.24	1.19	0.46	1.03	0.06	0.23	0.72	0.50	0.49	0.35	0.20	0.53
ENSOMYG00000063009	ENSOMYT00000134927	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063010	ENSOMYT00000129927	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063011	ENSOMYT00000119772	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063012	ENSOMYT00000132399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063013	ENSOMYT00000141388	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063014	ENSOMYT00000166402	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063015	ENSOMYT00000152280	1.06	1.59	3.24	3.06	2.29	1.77	0.34	0.57	1.28	0.74	1.14	0.93
ENSOMYG00000063016	ENSOMYT00000117294,ENSOMYT00000135700,ENSOMYT00000151145	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
ENSOMYG00000063017	ENSOMYT00000132763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063018	ENSOMYT00000124570	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063019	ENSOMYT00000123600	15.03	13.72	14.06	15.46	5.36	10.55	3.82	15.82	13.09	11.53	14.81	11.53
ENSOMYG00000063020	ENSOMYT00000126067	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063021	ENSOMYT00000065019	9.21	9.49	11.12	7.56	7.46	14.62	11.21	6.11	4.91	11.06	7.13	8.85
ENSOMYG00000063022	ENSOMYT00000167312	19.01	22.00	20.10	17.23	21.53	21.17	9.63	10.99	3.77	6.18	25.92	12.46
ENSOMYG00000063023	ENSOMYT00000155422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063024	ENSOMYT00000125439	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063025	ENSOMYT00000147332	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063026	ENSOMYT00000093781	0.07	0.12	0.00	0.11	0.00	0.06	0.00	0.05	0.05	0.00	0.06	0.12
ENSOMYG00000063027	ENSOMYT00000051901	0.00	0.24	0.12	0.92	0.38	0.31	0.00	0.90	0.48	0.47	0.40	2.54
ENSOMYG00000063028	ENSOMYT00000138467	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063029	ENSOMYT00000160742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063030	ENSOMYT00000126711	0.00	0.13	0.20	0.31	0.00	0.11	0.00	0.10	0.09	0.22	0.23	0.29
ENSOMYG00000063031	ENSOMYT00000124864	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01
ENSOMYG00000063032	ENSOMYT00000116824	0.19	0.00	0.00	0.00	0.06	0.34	0.00	0.00	0.60	0.00	0.00	0.00
ENSOMYG00000063033	ENSOMYT00000141210	0.43	0.00	0.12	0.13	0.00	0.66	0.00	0.62	0.59	0.00	0.14	0.44
ENSOMYG00000063034	ENSOMYT00000137132	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063035	ENSOMYT00000134527	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063036	ENSOMYT00000130145	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063037	ENSOMYT00000127750	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063038	ENSOMYT00000151049	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00
ENSOMYG00000063039	ENSOMYT00000160620	0.00	0.19	0.16	0.04	0.07	0.16	0.00	0.07	0.05	0.08	0.14	0.53
ENSOMYG00000063040	ENSOMYT00000122743	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063041	ENSOMYT00000155195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063042	ENSOMYT00000122807	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.09	0.00	0.00
ENSOMYG00000063043	ENSOMYT00000133792	0.07	0.10	0.03	0.03	0.07	0.06	0.00	0.00	0.03	0.00	0.03	0.03
ENSOMYG00000063044	ENSOMYT00000141428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063045	ENSOMYT00000151486	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063046	ENSOMYT00000129981	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063047	ENSOMYT00000145922	0.00	0.09	0.07	0.00	0.00	0.08	0.48	0.00	0.27	0.16	0.34	0.52
ENSOMYG00000063048	ENSOMYT00000154287	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063049	ENSOMYT00000164373	0.61	1.43	0.81	1.65	0.49	0.43	0.56	0.67	0.31	0.72	0.54	0.77
ENSOMYG00000063050	ENSOMYT00000159620	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063051	ENSOMYT00000135414	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063052	ENSOMYT00000145634,ENSOMYT00000159007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063053	ENSOMYT00000142256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
ENSOMYG00000063054	ENSOMYT00000152335	0.16	0.06	0.02	0.05	0.10	0.23	0.00	0.00	0.06	0.00	0.04	0.02
ENSOMYG00000063055	ENSOMYT00000144893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063056	ENSOMYT00000131188	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.12	0.06	0.07	0.00	0.00
ENSOMYG00000063057	ENSOMYT00000128753	1.78	3.50	2.36	1.72	1.63	1.86	2.63	4.06	2.35	2.90	4.65	6.83
ENSOMYG00000063058	ENSOMYT00000002369	3.17	1.81	1.80	1.11	1.29	0.00	0.00	3.37	5.42	0.00	1.83	5.59
ENSOMYG00000063059	ENSOMYT00000127281	0.13	5.91	0.10	0.00	5.85	5.99	7.44	10.21	8.83	0.06	9.88	0.18
ENSOMYG00000063060	ENSOMYT00000149115	0.55	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.63	0.33	0.00	0.00
ENSOMYG00000063061	ENSOMYT00000132943	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063062	ENSOMYT00000161001	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063063	ENSOMYT00000149514	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063064	ENSOMYT00000147491	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063065	ENSOMYT00000026116,ENSOMYT00000026149,ENSOMYT00000026306,ENSOMYT00000026320,ENSOMYT00000130962,ENSOMYT00000138683,ENSOMYT00000144125,ENSOMYT00000146904	0.44	0.70	0.00	2.23	0.92	0.00	0.65	2.61	0.74	1.56	1.07	1.05
ENSOMYG00000063066	ENSOMYT00000144598	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063067	ENSOMYT00000140875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063068	ENSOMYT00000140005	6.32	10.18	6.77	4.47	6.01	5.65	20.99	5.40	5.18	6.62	4.93	6.09
ENSOMYG00000063069	ENSOMYT00000167531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063070	ENSOMYT00000133910	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063071	ENSOMYT00000161836	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.04	0.00
ENSOMYG00000063072	ENSOMYT00000162173	0.26	1.52	4.37	3.63	0.64	0.26	2.89	1.93	6.93	4.44	3.76	5.53
ENSOMYG00000063073	ENSOMYT00000130188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063074	ENSOMYT00000145827	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063075	ENSOMYT00000131156	0.00	0.00	95.89	51.64	0.00	0.00	0.00	0.00	0.00	0.00	95.38	0.00
ENSOMYG00000063076	ENSOMYT00000146135	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063077	ENSOMYT00000166234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063078	ENSOMYT00000149676	0.50	0.49	0.35	0.68	0.69	0.60	0.29	0.22	0.04	0.44	0.36	0.68
ENSOMYG00000063079	ENSOMYT00000136956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063080	ENSOMYT00000155372	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063081	ENSOMYT00000132243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063082	ENSOMYT00000132830	0.13	0.00	0.51	0.42	0.11	0.00	0.00	0.00	0.00	0.45	0.18	0.84
ENSOMYG00000063083	ENSOMYT00000120157	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063084	ENSOMYT00000035247,ENSOMYT00000035285,ENSOMYT00000123423,ENSOMYT00000130372,ENSOMYT00000138976	36.38	20.57	16.42	18.05	14.49	21.25	30.25	30.04	30.23	18.21	24.94	26.51
ENSOMYG00000063085	ENSOMYT00000145674	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00
ENSOMYG00000063086	ENSOMYT00000142633	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063087	ENSOMYT00000149715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063088	ENSOMYT00000141523	4.17	3.65	3.22	5.21	5.36	2.56	3.24	2.91	4.01	4.86	2.63	3.08
ENSOMYG00000063089	ENSOMYT00000160400	0.01	0.03	0.06	0.03	0.04	0.06	0.22	0.07	0.06	0.05	0.03	0.05
ENSOMYG00000063090	ENSOMYT00000140799	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063091	ENSOMYT00000139362	53.69	70.13	42.37	43.30	41.68	38.39	41.98	44.94	36.08	40.44	44.89	47.67
ENSOMYG00000063092	ENSOMYT00000151212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063093	ENSOMYT00000140569	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063094	ENSOMYT00000163399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063095	ENSOMYT00000128575,ENSOMYT00000138688	1.44	1.47	0.62	0.71	0.81	0.39	0.38	1.25	1.99	1.15	1.08	6.55
ENSOMYG00000063096	ENSOMYT00000133487	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063097	ENSOMYT00000133807	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063098	ENSOMYT00000125220	0.13	1.22	0.30	0.42	0.21	0.00	0.66	0.00	0.00	0.11	0.39	0.47
ENSOMYG00000063099	ENSOMYT00000123544	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063100	ENSOMYT00000120450	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063101	ENSOMYT00000163658	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063102	ENSOMYT00000118375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00
ENSOMYG00000063103	ENSOMYT00000158084	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063104	ENSOMYT00000117875,ENSOMYT00000149205	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063105	ENSOMYT00000141693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063106	ENSOMYT00000121784	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063107	ENSOMYT00000119586,ENSOMYT00000120291	0.00	0.18	0.04	0.02	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.03
ENSOMYG00000063108	ENSOMYT00000125306	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063109	ENSOMYT00000139433	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063110	ENSOMYT00000163449	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063111	ENSOMYT00000126412	5.14	4.28	7.72	6.66	6.63	9.04	6.36	6.76	6.88	11.12	8.01	8.26
ENSOMYG00000063112	ENSOMYT00000143486	3.33	4.52	2.86	2.89	4.12	2.57	2.75	2.48	4.89	3.99	3.02	4.88
ENSOMYG00000063113	ENSOMYT00000152819	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063114	ENSOMYT00000133005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063115	ENSOMYT00000139519,ENSOMYT00000143564	0.46	1.59	1.19	1.28	0.50	0.95	1.29	1.68	0.43	0.44	0.18	0.39
ENSOMYG00000063116	ENSOMYT00000118003	3.25	2.85	2.55	2.15	2.65	2.42	52.36	3.63	4.36	2.78	2.33	0.92
ENSOMYG00000063117	ENSOMYT00000148800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063118	ENSOMYT00000147857	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063119	ENSOMYT00000120659,ENSOMYT00000126713,ENSOMYT00000132503,ENSOMYT00000135329,ENSOMYT00000146194,ENSOMYT00000147823,ENSOMYT00000152549,ENSOMYT00000164223	0.41	0.24	0.28	0.12	0.18	0.05	0.09	0.14	0.31	0.14	0.26	0.69
ENSOMYG00000063120	ENSOMYT00000121696	0.25	0.00	0.33	0.41	0.00	0.53	0.00	0.07	0.18	0.29	0.08	0.08
ENSOMYG00000063121	ENSOMYT00000121869	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000063122	ENSOMYT00000141322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063123	ENSOMYT00000151401	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063124	ENSOMYT00000117045	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063125	ENSOMYT00000069582,ENSOMYT00000072751,ENSOMYT00000103599,ENSOMYT00000103615,ENSOMYT00000119196,ENSOMYT00000128636,ENSOMYT00000131167,ENSOMYT00000141306,ENSOMYT00000157424,ENSOMYT00000157645	0.31	0.32	0.11	0.29	0.34	0.14	1.85	0.78	0.15	0.66	0.30	0.50
ENSOMYG00000063126	ENSOMYT00000151549	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063127	ENSOMYT00000118723	0.00	0.00	0.00	0.03	0.03	0.14	0.00	0.03	0.00	0.03	0.00	0.00
ENSOMYG00000063128	ENSOMYT00000156547	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063129	ENSOMYT00000144791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063130	ENSOMYT00000129735	5.46	1.71	3.11	4.43	3.10	2.04	2.86	1.58	1.52	0.80	0.22	0.59
ENSOMYG00000063131	ENSOMYT00000149951	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
ENSOMYG00000063132	ENSOMYT00000120115,ENSOMYT00000127425,ENSOMYT00000142808,ENSOMYT00000143071,ENSOMYT00000146753,ENSOMYT00000147256,ENSOMYT00000150184,ENSOMYT00000152237,ENSOMYT00000154108,ENSOMYT00000166220	0.08	0.00	0.00	0.04	0.12	0.00	0.00	0.00	0.07	0.00	0.00	0.07
ENSOMYG00000063133	ENSOMYT00000167841	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063134	ENSOMYT00000118456	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063135	ENSOMYT00000134302	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063136	ENSOMYT00000148839	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063137	ENSOMYT00000133553	0.00	0.00	0.00	0.00	6.54	0.00	0.00	0.00	1.56	0.00	0.00	0.00
ENSOMYG00000063138	ENSOMYT00000127925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063139	ENSOMYT00000059272	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.15	0.00	0.00	0.00
ENSOMYG00000063140	ENSOMYT00000140916	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063141	ENSOMYT00000116641	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063142	ENSOMYT00000113799	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063143	ENSOMYT00000153591	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063144	ENSOMYT00000119941,ENSOMYT00000137866	0.57	0.46	0.37	0.37	0.13	0.40	0.19	0.27	0.06	0.55	0.82	0.67
ENSOMYG00000063145	ENSOMYT00000126111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063146	ENSOMYT00000118760	3.84	1.96	2.63	2.56	1.46	2.25	0.96	1.81	1.86	1.12	1.77	2.25
ENSOMYG00000063147	ENSOMYT00000141288	0.72	0.22	0.18	0.58	1.17	1.66	0.00	0.37	0.17	0.82	0.43	0.64
ENSOMYG00000063148	ENSOMYT00000157693,ENSOMYT00000166174	0.92	0.00	0.00	0.00	0.00	0.00	0.00	1.04	0.32	0.00	0.00	0.00
ENSOMYG00000063149	ENSOMYT00000127313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063150	ENSOMYT00000141890	0.59	0.47	0.65	0.31	0.33	0.33	4.44	0.23	0.28	0.17	0.45	0.50
ENSOMYG00000063151	ENSOMYT00000138928,ENSOMYT00000165963	0.00	0.30	0.52	1.42	0.00	0.00	0.00	0.00	0.60	0.15	0.31	0.15
ENSOMYG00000063152	ENSOMYT00000142688	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063153	ENSOMYT00000162853	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000063154	ENSOMYT00000124156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
