gene_id	transcript_id(s)	RainbowTrout_RNA_Gill_Immature_Female_R1	RainbowTrout_RNA_Gill_Immature_Female_R2	RainbowTrout_RNA_Gill_Immature_Female_R3	RainbowTrout_RNA_Gill_Immature_Male_R1	RainbowTrout_RNA_Gill_Immature_Male_R2	RainbowTrout_RNA_Gill_Immature_Male_R3	RainbowTrout_RNA_Gill_Mature_Female_R1	RainbowTrout_RNA_Gill_Mature_Female_R2	RainbowTrout_RNA_Gill_Mature_Female_R3	RainbowTrout_RNA_Gill_Mature_Male_R1	RainbowTrout_RNA_Gill_Mature_Male_R2	RainbowTrout_RNA_Gill_Mature_Male_R3
ENSOMYG00000017764	ENSOMYT00000041811,ENSOMYT00000041828,ENSOMYT00000041842	1.49	2.88	2.08	0.87	1.80	1.05	7.20	1.29	2.76	2.67	2.08	6.76
ENSOMYG00000017766	ENSOMYT00000041764	15.05	9.46	10.63	13.07	13.79	10.70	8.54	8.43	10.15	6.40	5.00	6.22
ENSOMYG00000017767	ENSOMYT00000041859,ENSOMYT00000041890,ENSOMYT00000041901	7.18	10.06	7.60	6.87	7.17	8.27	10.92	8.46	9.44	7.44	5.37	6.35
ENSOMYG00000017768	ENSOMYT00000041834,ENSOMYT00000041876	0.42	3.93	3.87	4.53	2.61	3.64	4.32	2.15	3.41	1.66	1.21	3.11
ENSOMYG00000017770	ENSOMYT00000038233,ENSOMYT00000041857,ENSOMYT00000161442,ENSOMYT00000163599	0.12	0.16	0.21	0.27	0.03	0.32	0.00	0.13	0.06	0.06	0.07	0.25
ENSOMYG00000017772	ENSOMYT00000041858,ENSOMYT00000041893,ENSOMYT00000041903,ENSOMYT00000041925,ENSOMYT00000063494,ENSOMYT00000116305,ENSOMYT00000139816	27.06	31.08	26.24	22.07	19.47	26.28	23.46	25.46	18.83	29.96	34.07	29.30
ENSOMYG00000017773	ENSOMYT00000041845,ENSOMYT00000041853	9.27	11.23	11.50	12.36	12.46	11.29	10.65	7.01	7.59	15.25	17.32	14.39
ENSOMYG00000017774	ENSOMYT00000041767	0.35	0.00	0.09	0.09	0.19	0.21	0.00	0.55	0.25	0.10	0.11	0.32
ENSOMYG00000017775	ENSOMYT00000042431,ENSOMYT00000042508,ENSOMYT00000042620	10.09	11.37	10.06	12.00	8.32	9.60	5.86	11.73	9.73	12.59	8.97	13.29
ENSOMYG00000017776	ENSOMYT00000041797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017779	ENSOMYT00000042407,ENSOMYT00000042591,ENSOMYT00000042611,ENSOMYT00000042708,ENSOMYT00000042726,ENSOMYT00000134692,ENSOMYT00000149541	1.38	1.79	1.42	0.83	1.21	1.55	1.85	1.60	0.73	0.70	1.32	2.37
ENSOMYG00000017780	ENSOMYT00000041810	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.03	0.00	0.00	0.04	0.00
ENSOMYG00000017781	ENSOMYT00000041799,ENSOMYT00000161352,ENSOMYT00000162803	47.87	47.80	32.49	34.62	29.55	27.81	36.50	31.01	31.39	31.48	29.10	26.81
ENSOMYG00000017782	ENSOMYT00000041789	2.67	1.68	3.69	5.23	2.35	2.13	1.43	1.36	1.25	1.83	1.75	2.49
ENSOMYG00000017783	ENSOMYT00000041790,ENSOMYT00000041798	0.18	0.00	0.56	1.03	0.00	0.11	0.00	0.00	0.09	0.00	0.17	0.00
ENSOMYG00000017784	ENSOMYT00000041786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017785	ENSOMYT00000041801	13.37	17.22	13.45	14.40	10.56	14.41	27.42	15.29	16.70	13.93	10.38	15.02
ENSOMYG00000017786	ENSOMYT00000042291	0.00	0.00	0.00	0.19	0.10	0.00	0.60	0.18	0.08	0.20	0.00	0.32
ENSOMYG00000017787	ENSOMYT00000041805	32.62	33.67	38.64	26.61	45.08	46.98	7.80	34.24	62.41	25.56	34.80	56.23
ENSOMYG00000017788	ENSOMYT00000041807	0.62	0.75	0.74	0.40	0.41	0.50	0.00	0.44	0.82	0.80	0.93	0.82
ENSOMYG00000017789	ENSOMYT00000041822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017790	ENSOMYT00000021079,ENSOMYT00000021129,ENSOMYT00000041883,ENSOMYT00000041897,ENSOMYT00000041912,ENSOMYT00000148381	2.66	6.12	3.95	2.63	3.08	3.15	4.57	2.24	3.95	3.09	2.95	8.97
