gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000057896	ENSOMYT00000116427	0.00	0.09	0.00	0.00	0.07	0.28	0.00	0.00	0.14	0.06	0.00	0.09
ENSOMYG00000057897	ENSOMYT00000162843	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057898	ENSOMYT00000146494,ENSOMYT00000163287	0.58	0.00	0.23	0.40	0.13	0.20	0.61	0.45	0.73	0.84	0.56	0.40
ENSOMYG00000057899	ENSOMYT00000125379	0.49	0.31	0.29	0.34	0.16	0.00	0.09	0.00	0.08	0.00	0.00	0.00
ENSOMYG00000057900	ENSOMYT00000145735	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057901	ENSOMYT00000126533	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.08	0.00	0.26	0.00
ENSOMYG00000057902	ENSOMYT00000033034	12.03	8.51	48.98	49.27	0.00	0.00	0.00	6.77	0.00	0.00	0.69	47.43
ENSOMYG00000057903	ENSOMYT00000121161,ENSOMYT00000134652,ENSOMYT00000145744	9.91	13.66	5.89	10.49	9.09	10.60	5.68	4.22	6.43	5.31	5.87	7.45
ENSOMYG00000057904	ENSOMYT00000093759	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057905	ENSOMYT00000157541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057906	ENSOMYT00000163517	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057907	ENSOMYT00000132663	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057908	ENSOMYT00000167007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057909	ENSOMYT00000150211	0.13	0.11	0.00	0.03	0.00	0.03	0.04	0.00	0.06	0.00	0.00	0.00
ENSOMYG00000057910	ENSOMYT00000155402	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057911	ENSOMYT00000120440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057912	ENSOMYT00000089358	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057913	ENSOMYT00000135144	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057914	ENSOMYT00000152240	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057915	ENSOMYT00000163451	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057916	ENSOMYT00000127370	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057917	ENSOMYT00000024307	0.00	0.00	0.00	0.00	19.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057918	ENSOMYT00000131024	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.06	0.00
ENSOMYG00000057919	ENSOMYT00000167220	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057920	ENSOMYT00000156637	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057921	ENSOMYT00000131888	0.00	0.06	0.00	0.00	0.05	0.16	0.00	0.00	0.00	0.00	0.06	0.06
ENSOMYG00000057922	ENSOMYT00000044439,ENSOMYT00000044444,ENSOMYT00000044450,ENSOMYT00000044701,ENSOMYT00000151498	17.01	9.46	6.28	6.77	5.39	9.44	5.54	6.74	9.58	5.13	6.49	9.04
ENSOMYG00000057923	ENSOMYT00000147189	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057924	ENSOMYT00000166774	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057925	ENSOMYT00000146216	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057926	ENSOMYT00000120887,ENSOMYT00000126707,ENSOMYT00000136755,ENSOMYT00000138021,ENSOMYT00000143284,ENSOMYT00000145840,ENSOMYT00000156635,ENSOMYT00000156697,ENSOMYT00000162183,ENSOMYT00000166090	12.38	13.61	10.18	7.91	13.33	17.03	8.62	25.31	34.71	9.17	10.77	31.49
ENSOMYG00000057927	ENSOMYT00000159594	84.41	92.07	124.14	148.07	93.34	150.61	161.05	154.52	160.77	115.80	133.58	124.96
ENSOMYG00000057928	ENSOMYT00000126501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057929	ENSOMYT00000125579	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057930	ENSOMYT00000125554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057931	ENSOMYT00000127251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057932	ENSOMYT00000143377	2.62	1.48	3.31	0.75	3.38	3.05	0.51	1.63	1.05	0.59	0.95	1.70
ENSOMYG00000057933	ENSOMYT00000126023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057934	ENSOMYT00000157833	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057935	ENSOMYT00000122482,ENSOMYT00000161294,ENSOMYT00000167644	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
ENSOMYG00000057936	ENSOMYT00000121919	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057937	ENSOMYT00000152255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057938	ENSOMYT00000144922	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057939	ENSOMYT00000131769	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057940	ENSOMYT00000133030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057941	ENSOMYT00000161818,ENSOMYT00000167476	0.00	0.04	0.00	0.03	0.00	0.06	0.03	0.07	0.03	0.00	0.00	0.00
ENSOMYG00000057942	ENSOMYT00000133454	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057943	ENSOMYT00000158800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057944	ENSOMYT00000145132	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057945	ENSOMYT00000109707	0.00	0.02	0.00	0.10	0.00	0.00	0.08	0.09	0.00	0.00	0.00	0.00
ENSOMYG00000057946	ENSOMYT00000125625	0.17	0.00	0.14	0.00	0.08	0.00	0.04	0.00	0.00	0.07	0.00	0.05
ENSOMYG00000057947	ENSOMYT00000162241	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057948	ENSOMYT00000140405	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057949	ENSOMYT00000037800	4.04	2.83	4.39	2.66	2.99	3.33	3.97	2.89	1.74	1.16	2.13	4.91
ENSOMYG00000057950	ENSOMYT00000117874	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057951	ENSOMYT00000139757	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057952	ENSOMYT00000136865	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057953	ENSOMYT00000152779	0.00	0.06	0.02	0.02	0.07	0.00	0.03	0.02	0.00	0.04	0.02	0.02
ENSOMYG00000057954	ENSOMYT00000145640	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057955	ENSOMYT00000140870	2.04	2.18	1.12	0.66	1.03	1.01	1.83	0.47	1.00	0.89	2.44	1.80
ENSOMYG00000057956	ENSOMYT00000119784	0.00	0.00	0.29	0.00	0.71	0.25	0.11	0.00	0.16	0.00	0.00	0.00
ENSOMYG00000057957	ENSOMYT00000132537,ENSOMYT00000149570	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	4.01	5.26	0.00	0.00
