gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000000266	ENSOMYT00000000460,ENSOMYT00000000464,ENSOMYT00000000467,ENSOMYT00000039649	14.93	16.18	19.17	18.32	12.98	26.20	37.25	31.60	47.64	32.44	32.81	28.25
ENSOMYG00000000267	ENSOMYT00000000444,ENSOMYT00000000448,ENSOMYT00000000453,ENSOMYT00000000466,ENSOMYT00000000473,ENSOMYT00000000476	17.61	19.54	12.78	10.01	10.90	13.38	5.34	2.83	7.06	1.73	1.37	10.66
ENSOMYG00000000268	ENSOMYT00000000431	0.11	0.05	0.22	0.00	0.19	0.08	0.08	0.11	0.11	0.03	0.00	0.18
ENSOMYG00000000269	ENSOMYT00000000433	23.69	19.00	12.07	12.88	11.24	14.07	19.23	17.32	13.94	11.78	14.42	14.23
ENSOMYG00000000270	ENSOMYT00000000449,ENSOMYT00000000454,ENSOMYT00000000462,ENSOMYT00000000472,ENSOMYT00000000478	10.41	7.03	6.18	4.53	3.32	5.45	3.22	6.71	3.14	3.11	2.99	1.91
ENSOMYG00000000271	ENSOMYT00000000436	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00
ENSOMYG00000000272	ENSOMYT00000000435	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000273	ENSOMYT00000000437,ENSOMYT00000135696	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000274	ENSOMYT00000000440	0.30	0.03	0.44	0.18	0.14	0.32	0.02	0.07	0.05	0.04	0.14	0.47
ENSOMYG00000000275	ENSOMYT00000000438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000276	ENSOMYT00000000441	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00
ENSOMYG00000000277	ENSOMYT00000000439	1.03	0.48	0.63	0.48	0.43	0.86	0.41	0.38	0.47	0.27	0.58	0.10
ENSOMYG00000000278	ENSOMYT00000000479	1.64	1.00	1.21	0.79	0.80	0.92	0.71	0.87	1.39	0.41	0.66	0.63
ENSOMYG00000000279	ENSOMYT00000000443	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000280	ENSOMYT00000000513,ENSOMYT00000000536,ENSOMYT00000000541,ENSOMYT00000164911	0.48	0.30	0.31	0.17	0.28	0.32	0.15	0.15	0.11	0.11	0.15	0.53
ENSOMYG00000000281	ENSOMYT00000000483,ENSOMYT00000000487,ENSOMYT00000000492,ENSOMYT00000000496,ENSOMYT00000014253,ENSOMYT00000014309,ENSOMYT00000131062	18.76	20.63	18.16	20.58	18.84	20.42	27.10	23.82	28.62	16.79	16.01	20.42
ENSOMYG00000000282	ENSOMYT00000000447	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000283	ENSOMYT00000000510,ENSOMYT00000000558,ENSOMYT00000000569,ENSOMYT00000000573,ENSOMYT00000000577,ENSOMYT00000000580,ENSOMYT00000119741	23.47	21.12	28.65	26.59	21.56	20.56	33.03	39.26	47.73	25.57	26.13	23.66
ENSOMYG00000000284	ENSOMYT00000000481,ENSOMYT00000000484,ENSOMYT00000000494,ENSOMYT00000000502,ENSOMYT00000000508,ENSOMYT00000000511,ENSOMYT00000000521,ENSOMYT00000000529	116.77	135.22	114.22	97.64	80.34	114.94	81.45	89.91	81.60	78.46	67.50	72.52
ENSOMYG00000000285	ENSOMYT00000000475,ENSOMYT00000000486,ENSOMYT00000000489,ENSOMYT00000000499,ENSOMYT00000032131,ENSOMYT00000033432,ENSOMYT00000163426	0.59	1.41	0.60	1.04	0.71	1.03	0.17	0.22	0.30	0.28	0.26	1.05
ENSOMYG00000000286	ENSOMYT00000000455,ENSOMYT00000000458	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000287	ENSOMYT00000000469	0.28	0.03	0.08	0.15	0.22	0.05	0.02	0.00	0.02	0.00	0.00	0.00
ENSOMYG00000000288	ENSOMYT00000000470,ENSOMYT00000152064,ENSOMYT00000166905	0.34	1.11	1.67	0.51	1.07	2.27	0.07	0.46	1.47	1.51	1.21	0.77
ENSOMYG00000000290	ENSOMYT00000000459	3.97	4.33	3.11	2.42	3.66	4.44	1.29	0.44	1.26	0.58	0.11	1.86
ENSOMYG00000000293	ENSOMYT00000000480	0.49	0.18	0.13	0.30	0.04	0.04	0.31	0.25	0.26	0.03	0.35	0.18
ENSOMYG00000000296	ENSOMYT00000000498	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000297	ENSOMYT00000000488	10.97	7.96	12.09	13.00	9.27	12.35	14.20	13.39	11.28	6.73	9.95	8.92
ENSOMYG00000000299	ENSOMYT00000000503,ENSOMYT00000000516,ENSOMYT00000000523	2.22	1.91	3.24	2.02	2.51	4.62	3.44	0.69	1.34	4.44	6.08	8.87
ENSOMYG00000000300	ENSOMYT00000000501	5.52	2.21	2.44	3.57	4.25	4.84	2.04	2.55	2.54	3.85	4.91	6.63
ENSOMYG00000000301	ENSOMYT00000000504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000303	ENSOMYT00000000512,ENSOMYT00000000519	14.38	17.97	17.25	12.69	12.19	14.95	11.66	18.01	14.73	15.91	15.04	13.11
ENSOMYG00000000305	ENSOMYT00000000538,ENSOMYT00000119607,ENSOMYT00000130531,ENSOMYT00000134518,ENSOMYT00000135657,ENSOMYT00000144180,ENSOMYT00000146726	51.42	6.60	14.00	0.15	3.13	0.26	0.17	21.47	3.14	4.42	4.28	7.65
ENSOMYG00000000306	ENSOMYT00000000522,ENSOMYT00000000528,ENSOMYT00000000537,ENSOMYT00000000539,ENSOMYT00000000546,ENSOMYT00000000554	0.07	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000308	ENSOMYT00000000520	12.64	20.21	15.35	8.86	11.46	13.60	13.82	16.75	7.12	13.11	11.69	13.78
ENSOMYG00000000310	ENSOMYT00000000531,ENSOMYT00000000532,ENSOMYT00000000756,ENSOMYT00000145968	17.75	15.29	15.33	11.24	10.29	9.46	15.20	14.35	14.13	11.58	11.05	12.49
ENSOMYG00000000311	ENSOMYT00000000601,ENSOMYT00000000617,ENSOMYT00000000625,ENSOMYT00000000630,ENSOMYT00000000633,ENSOMYT00000123155,ENSOMYT00000132625,ENSOMYT00000135213,ENSOMYT00000142023,ENSOMYT00000164659	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.01
ENSOMYG00000000312	ENSOMYT00000000526,ENSOMYT00000000533	0.16	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000313	ENSOMYT00000000524	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000315	ENSOMYT00000000545	12.87	9.62	10.82	7.84	6.99	8.25	10.11	10.80	7.14	5.76	8.50	6.89
ENSOMYG00000000316	ENSOMYT00000000535	0.09	0.00	0.00	0.13	0.00	0.00	0.13	0.00	0.00	0.00	0.34	0.08
ENSOMYG00000000318	ENSOMYT00000000540	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000319	ENSOMYT00000000542	2.19	1.15	1.06	1.02	0.83	0.81	1.18	1.31	1.14	1.13	0.74	0.55
ENSOMYG00000000320	ENSOMYT00000000549,ENSOMYT00000133107,ENSOMYT00000136930	1.37	0.77	0.91	1.46	0.96	1.18	0.63	0.05	0.37	0.16	0.11	1.24
ENSOMYG00000000321	ENSOMYT00000000548	27.14	23.98	24.26	10.89	13.07	28.19	30.68	48.60	32.70	24.01	43.57	29.25
ENSOMYG00000000322	ENSOMYT00000000544	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000323	ENSOMYT00000000543,ENSOMYT00000126266,ENSOMYT00000129145,ENSOMYT00000157722	0.32	0.00	0.07	0.00	0.06	0.06	0.23	0.00	0.08	0.00	0.00	0.21
ENSOMYG00000000326	ENSOMYT00000000555,ENSOMYT00000000581,ENSOMYT00000000609,ENSOMYT00000000627	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
ENSOMYG00000000327	ENSOMYT00000000557	4.84	5.65	5.85	6.20	6.33	4.92	3.74	4.45	4.24	2.61	2.44	4.40
ENSOMYG00000000329	ENSOMYT00000000553	10.39	8.13	8.32	7.58	5.34	6.90	6.80	7.34	9.11	6.75	6.90	4.96
ENSOMYG00000000331	ENSOMYT00000000457,ENSOMYT00000000568,ENSOMYT00000000649,ENSOMYT00000000701,ENSOMYT00000127696,ENSOMYT00000133288	0.04	0.00	0.00	0.52	0.15	0.01	0.03	0.00	0.00	0.02	0.00	0.00
ENSOMYG00000000332	ENSOMYT00000000560	0.33	0.00	0.05	0.23	0.00	0.13	0.05	0.17	0.00	0.00	0.00	0.00
ENSOMYG00000000334	ENSOMYT00000000563	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000337	ENSOMYT00000000567	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000338	ENSOMYT00000000572,ENSOMYT00000144687	0.10	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000339	ENSOMYT00000000593	35.12	30.40	34.30	40.03	26.33	40.49	49.29	58.95	52.99	35.44	42.22	33.08
ENSOMYG00000000340	ENSOMYT00000000571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.26
ENSOMYG00000000342	ENSOMYT00000000574,ENSOMYT00000000582,ENSOMYT00000127596	42.38	20.50	26.42	15.21	16.13	14.21	17.85	17.48	16.48	16.74	21.16	20.83
ENSOMYG00000000343	ENSOMYT00000000655,ENSOMYT00000000658,ENSOMYT00000000672,ENSOMYT00000000685,ENSOMYT00000000694,ENSOMYT00000000704	12.67	8.38	8.48	7.65	5.48	6.21	5.19	3.43	5.23	3.88	18.82	9.05
ENSOMYG00000000344	ENSOMYT00000000723,ENSOMYT00000000729,ENSOMYT00000000736	18.63	17.15	13.16	9.15	6.72	9.99	8.23	6.15	10.32	5.16	6.90	13.51
ENSOMYG00000000349	ENSOMYT00000000585	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000350	ENSOMYT00000000597,ENSOMYT00000000599	0.59	1.28	0.25	0.56	0.26	0.28	0.26	0.23	0.60	0.07	0.11	0.05
ENSOMYG00000000352	ENSOMYT00000000587,ENSOMYT00000124987	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000353	ENSOMYT00000000588	0.00	0.00	0.00	0.00	0.00	0.00	1.82	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000356	ENSOMYT00000000591,ENSOMYT00000135263	3.45	3.09	3.63	2.50	2.71	2.53	2.08	1.85	3.73	2.42	3.16	3.14
ENSOMYG00000000357	ENSOMYT00000000595,ENSOMYT00000000611,ENSOMYT00000000614,ENSOMYT00000000619,ENSOMYT00000150112	13.20	17.07	13.13	11.79	23.34	14.99	15.40	5.71	10.25	18.82	18.60	29.17
ENSOMYG00000000358	ENSOMYT00000000592	0.27	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.06
ENSOMYG00000000360	ENSOMYT00000000610	4.58	2.53	5.08	4.05	2.60	2.99	8.04	7.61	6.95	4.86	2.80	0.57
ENSOMYG00000000361	ENSOMYT00000000605	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000362	ENSOMYT00000000634	220.78	239.74	125.15	116.35	90.23	140.93	83.21	89.60	84.81	145.16	138.02	169.53
ENSOMYG00000000366	ENSOMYT00000000618	0.00	0.00	0.00	0.00	0.03	0.03	0.00	0.00	0.07	0.00	0.00	0.00
ENSOMYG00000000367	ENSOMYT00000000621,ENSOMYT00000000626,ENSOMYT00000121068,ENSOMYT00000131952	0.59	0.40	1.86	0.28	0.52	1.45	0.59	1.20	1.28	0.09	1.68	0.61
ENSOMYG00000000368	ENSOMYT00000000624	0.00	0.00	0.00	0.00	0.06	0.06	0.00	0.11	0.00	0.05	0.00	0.00
ENSOMYG00000000369	ENSOMYT00000000628	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000370	ENSOMYT00000000676	4.66	4.81	9.07	5.67	9.61	11.36	4.97	7.41	2.22	3.05	4.48	6.93
ENSOMYG00000000372	ENSOMYT00000000631	3.14	1.56	2.17	5.01	2.26	4.43	3.97	4.80	4.50	2.60	3.33	2.97
ENSOMYG00000000375	ENSOMYT00000000656,ENSOMYT00000127971,ENSOMYT00000137076,ENSOMYT00000150212	0.00	0.08	0.00	1.45	0.02	0.16	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000376	ENSOMYT00000000640,ENSOMYT00000000683,ENSOMYT00000073597	0.00	0.47	0.00	0.00	0.00	0.25	0.00	0.00	0.09	0.00	0.00	0.00
ENSOMYG00000000377	ENSOMYT00000000644	0.47	0.33	1.04	0.73	0.00	0.59	0.03	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000000378	ENSOMYT00000000641,ENSOMYT00000146741,ENSOMYT00000152844	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000379	ENSOMYT00000000733,ENSOMYT00000000750,ENSOMYT00000000789,ENSOMYT00000000818,ENSOMYT00000000826,ENSOMYT00000000828,ENSOMYT00000000833,ENSOMYT00000122074	18.24	15.57	13.10	9.57	9.99	11.24	7.68	7.88	9.88	7.37	8.34	12.19
ENSOMYG00000000381	ENSOMYT00000000659,ENSOMYT00000000664,ENSOMYT00000000668,ENSOMYT00000000673,ENSOMYT00000024457,ENSOMYT00000024466,ENSOMYT00000024506,ENSOMYT00000024564,ENSOMYT00000024581,ENSOMYT00000024633	0.00	0.00	0.15	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.05	0.02
ENSOMYG00000000382	ENSOMYT00000000646	3.86	4.29	3.23	3.22	2.50	2.98	2.25	3.30	1.93	3.08	4.01	1.65
ENSOMYG00000000383	ENSOMYT00000000651,ENSOMYT00000000654	4.84	5.31	7.53	4.51	4.87	6.09	2.93	3.10	3.90	2.89	2.55	5.42
ENSOMYG00000000384	ENSOMYT00000000648	0.06	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000385	ENSOMYT00000000653,ENSOMYT00000000661	14.44	21.05	12.94	18.14	15.44	15.79	12.36	13.86	13.45	11.08	14.50	25.67
ENSOMYG00000000386	ENSOMYT00000000671,ENSOMYT00000000675,ENSOMYT00000000681,ENSOMYT00000137199	1.58	1.02	0.94	0.64	0.39	0.79	0.41	0.28	0.68	0.41	0.69	0.62
ENSOMYG00000000387	ENSOMYT00000000660,ENSOMYT00000166958	21.64	20.81	15.14	15.18	13.38	14.15	15.43	14.93	13.79	11.63	16.23	13.60
ENSOMYG00000000388	ENSOMYT00000000670,ENSOMYT00000000674	75.88	79.06	43.64	64.05	29.39	73.58	66.96	105.90	83.53	34.33	52.79	46.12
ENSOMYG00000000389	ENSOMYT00000000703,ENSOMYT00000000706,ENSOMYT00000000710,ENSOMYT00000000712,ENSOMYT00000000717,ENSOMYT00000019692	4.04	6.72	3.31	3.55	3.23	2.85	4.07	0.70	3.14	0.97	0.52	3.69
ENSOMYG00000000390	ENSOMYT00000000688,ENSOMYT00000000731,ENSOMYT00000000735,ENSOMYT00000000739,ENSOMYT00000041633,ENSOMYT00000125191,ENSOMYT00000128962,ENSOMYT00000129757	34.47	31.55	43.26	35.20	24.20	28.46	51.96	63.71	58.55	27.82	35.92	22.63
ENSOMYG00000000391	ENSOMYT00000000515,ENSOMYT00000000689,ENSOMYT00000000690,ENSOMYT00000000698,ENSOMYT00000135621,ENSOMYT00000141605	3.91	3.29	3.94	3.23	1.58	2.78	3.62	4.27	2.75	1.31	3.77	2.11
ENSOMYG00000000392	ENSOMYT00000000682	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000394	ENSOMYT00000000686,ENSOMYT00000000691	15.90	11.09	8.72	7.24	7.72	6.75	7.94	6.65	7.11	6.66	6.37	10.52
ENSOMYG00000000395	ENSOMYT00000000693	23.04	17.78	17.45	16.71	17.95	17.04	17.60	18.51	18.83	17.87	16.75	20.91
ENSOMYG00000000398	ENSOMYT00000000697	9.65	11.04	7.06	5.52	6.76	7.83	3.56	4.10	6.57	1.83	3.05	7.57
ENSOMYG00000000399	ENSOMYT00000000700	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000400	ENSOMYT00000000708	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000401	ENSOMYT00000116927,ENSOMYT00000121261,ENSOMYT00000130423,ENSOMYT00000137287,ENSOMYT00000142505,ENSOMYT00000160849,ENSOMYT00000161295,ENSOMYT00000163160,ENSOMYT00000163518,ENSOMYT00000164364	9.36	0.60	0.81	0.05	0.13	0.24	0.14	1.26	0.35	0.09	0.25	0.07
ENSOMYG00000000403	ENSOMYT00000000713,ENSOMYT00000000714,ENSOMYT00000000716	0.78	0.53	0.54	0.34	0.03	0.57	0.31	0.52	0.34	0.47	0.64	0.79
ENSOMYG00000000404	ENSOMYT00000000758,ENSOMYT00000000801,ENSOMYT00000000805,ENSOMYT00000000812,ENSOMYT00000000816,ENSOMYT00000000821,ENSOMYT00000000825,ENSOMYT00000108601	2.39	1.15	0.90	1.09	0.68	1.41	0.54	0.46	0.64	0.28	0.31	0.65
ENSOMYG00000000405	ENSOMYT00000000715,ENSOMYT00000125351,ENSOMYT00000130363,ENSOMYT00000134519	34.89	31.32	28.87	26.95	24.05	21.12	21.80	27.58	27.00	20.55	25.09	24.30
ENSOMYG00000000406	ENSOMYT00000000711	4.56	2.99	4.58	2.72	4.29	3.70	4.05	4.74	4.37	4.40	4.10	4.59
ENSOMYG00000000407	ENSOMYT00000000728,ENSOMYT00000000732,ENSOMYT00000000734,ENSOMYT00000119934	12.98	11.02	12.85	13.08	10.27	12.18	12.06	8.80	11.96	9.32	12.94	22.08
ENSOMYG00000000408	ENSOMYT00000000720	41.47	48.15	56.19	48.22	54.48	47.06	37.28	27.75	33.83	0.00	0.00	48.17
ENSOMYG00000000410	ENSOMYT00000000719	4.05	2.03	1.99	1.57	1.89	1.70	1.65	1.63	0.86	1.09	1.94	1.64
ENSOMYG00000000411	ENSOMYT00000000724	12.20	12.39	14.83	9.59	9.47	9.24	9.02	11.98	12.02	6.98	12.36	9.16
ENSOMYG00000000412	ENSOMYT00000000722	4.74	0.00	7.69	2.58	3.40	0.69	2.57	2.41	3.73	2.58	8.96	2.41
ENSOMYG00000000413	ENSOMYT00000000725,ENSOMYT00000070152,ENSOMYT00000117604,ENSOMYT00000142559	33.50	36.39	42.66	43.34	29.86	38.88	42.61	62.71	50.85	29.06	33.34	25.43
ENSOMYG00000000414	ENSOMYT00000000737,ENSOMYT00000000738	5.84	7.40	4.23	4.24	5.76	5.54	4.05	4.19	5.00	2.95	4.14	6.40
ENSOMYG00000000417	ENSOMYT00000000740	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000419	ENSOMYT00000000744	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000420	ENSOMYT00000000747,ENSOMYT00000127802,ENSOMYT00000151379	151.03	141.75	105.18	110.03	120.07	99.62	94.74	108.19	112.97	119.44	101.90	118.65
ENSOMYG00000000422	ENSOMYT00000000746	0.70	1.31	0.14	0.73	0.12	0.47	0.25	0.00	0.12	0.00	0.00	0.57
ENSOMYG00000000423	ENSOMYT00000000748	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000424	ENSOMYT00000000752	0.00	0.00	0.00	0.10	0.00	0.08	0.05	0.00	0.00	0.00	0.15	0.00
ENSOMYG00000000425	ENSOMYT00000000751	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000426	ENSOMYT00000000527,ENSOMYT00000000754,ENSOMYT00000061823,ENSOMYT00000150626	15.78	14.98	12.40	9.92	10.56	11.77	9.32	9.05	9.35	7.55	11.22	7.80
ENSOMYG00000000427	ENSOMYT00000000757,ENSOMYT00000000759,ENSOMYT00000000760,ENSOMYT00000138579,ENSOMYT00000157351	5.83	7.22	7.31	6.11	4.96	6.09	9.36	7.93	10.78	4.61	8.34	3.97
ENSOMYG00000000428	ENSOMYT00000000910,ENSOMYT00000000927,ENSOMYT00000000930,ENSOMYT00000000934,ENSOMYT00000000940,ENSOMYT00000000951,ENSOMYT00000000965,ENSOMYT00000000968,ENSOMYT00000107532,ENSOMYT00000129746	8.76	7.07	7.72	6.57	3.70	4.72	3.58	5.75	3.07	4.66	1.98	2.41
ENSOMYG00000000429	ENSOMYT00000000755	0.02	0.05	0.00	0.04	0.00	0.03	0.03	0.03	0.00	0.01	0.00	0.00
ENSOMYG00000000430	ENSOMYT00000000881,ENSOMYT00000000889,ENSOMYT00000000911,ENSOMYT00000000926,ENSOMYT00000000932,ENSOMYT00000000936,ENSOMYT00000000938,ENSOMYT00000000943,ENSOMYT00000118452,ENSOMYT00000126086	1.47	2.63	0.66	0.62	0.93	0.17	0.00	0.06	0.56	0.06	0.37	0.28
ENSOMYG00000000431	ENSOMYT00000000762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000432	ENSOMYT00000000765,ENSOMYT00000000768	4.25	5.02	4.40	6.37	3.45	4.66	6.15	4.17	4.91	1.74	4.34	2.92
ENSOMYG00000000433	ENSOMYT00000000769,ENSOMYT00000000792	9.26	10.98	9.37	8.67	9.45	11.38	7.44	8.97	11.72	6.66	11.12	11.74
ENSOMYG00000000435	ENSOMYT00000000770,ENSOMYT00000000774,ENSOMYT00000000780,ENSOMYT00000000781	4.02	3.96	3.07	1.94	1.77	2.92	0.53	0.52	1.25	0.40	0.31	1.80
ENSOMYG00000000436	ENSOMYT00000000776,ENSOMYT00000000811,ENSOMYT00000000834,ENSOMYT00000000844,ENSOMYT00000000849,ENSOMYT00000000852,ENSOMYT00000000859	9.42	8.95	3.09	6.28	3.28	8.92	1.35	5.72	2.03	1.08	3.42	1.09
ENSOMYG00000000439	ENSOMYT00000000775,ENSOMYT00000000782,ENSOMYT00000000784,ENSOMYT00000000788	0.00	0.06	0.12	0.08	0.10	0.05	0.00	0.00	0.00	0.00	0.05	0.12
ENSOMYG00000000440	ENSOMYT00000000819,ENSOMYT00000000832,ENSOMYT00000000836	9.16	9.60	9.45	5.11	4.71	6.15	4.63	2.50	3.80	3.39	3.42	5.95
ENSOMYG00000000441	ENSOMYT00000000877,ENSOMYT00000000890,ENSOMYT00000000894,ENSOMYT00000000929,ENSOMYT00000000937,ENSOMYT00000000952,ENSOMYT00000000966,ENSOMYT00000000976,ENSOMYT00000000979,ENSOMYT00000080111	2.91	2.58	2.25	2.00	1.17	1.58	4.57	6.08	4.43	4.82	3.31	3.47
ENSOMYG00000000442	ENSOMYT00000000829	1.26	0.51	0.60	0.88	0.44	0.39	0.13	0.26	0.41	0.05	0.74	2.58
ENSOMYG00000000443	ENSOMYT00000000773	9.50	7.51	8.82	6.95	6.90	7.50	10.08	9.72	10.38	7.70	7.83	5.87
ENSOMYG00000000444	ENSOMYT00000000772	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.12
ENSOMYG00000000445	ENSOMYT00000000778	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000447	ENSOMYT00000000779	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000450	ENSOMYT00000000785	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000451	ENSOMYT00000000793,ENSOMYT00000000809,ENSOMYT00000149210,ENSOMYT00000159175	3.35	3.80	4.44	1.44	1.81	3.06	4.53	2.07	2.18	1.22	0.51	0.61
ENSOMYG00000000453	ENSOMYT00000000850,ENSOMYT00000000873,ENSOMYT00000000885,ENSOMYT00000000891,ENSOMYT00000000895	18.85	22.44	16.03	13.48	11.43	15.03	6.31	5.59	10.83	3.71	3.43	12.73
ENSOMYG00000000454	ENSOMYT00000000790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000456	ENSOMYT00000000830,ENSOMYT00000000839,ENSOMYT00000000846,ENSOMYT00000000856,ENSOMYT00000000862	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000457	ENSOMYT00000000798	0.18	0.77	1.15	0.19	0.50	1.12	0.13	0.00	0.25	0.22	0.27	0.61
ENSOMYG00000000459	ENSOMYT00000000808,ENSOMYT00000134922,ENSOMYT00000142263,ENSOMYT00000154177,ENSOMYT00000156076,ENSOMYT00000158254,ENSOMYT00000167265	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.09
ENSOMYG00000000460	ENSOMYT00000000823	87.32	85.47	76.11	62.43	40.91	51.59	80.35	113.05	78.99	65.88	85.61	49.15
ENSOMYG00000000462	ENSOMYT00000000806	0.00	0.05	0.00	0.24	0.00	0.00	0.00	0.04	0.08	0.00	0.00	0.00
ENSOMYG00000000463	ENSOMYT00000000913,ENSOMYT00000000935,ENSOMYT00000000944,ENSOMYT00000000953,ENSOMYT00000000960,ENSOMYT00000110753	54.19	61.66	54.44	60.29	64.30	63.53	42.61	43.05	46.92	44.14	37.53	50.52
ENSOMYG00000000464	ENSOMYT00000000817,ENSOMYT00000000822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000465	ENSOMYT00000000810,ENSOMYT00000061886,ENSOMYT00000155103	5.34	4.65	5.16	4.37	4.20	4.50	1.31	1.08	1.51	0.57	0.90	6.84
