gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000043795	ENSOMYT00000104498	1.40	0.00	0.40	0.39	0.00	2.07	0.38	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043796	ENSOMYT00000104496	0.19	0.00	0.13	0.00	0.21	0.02	0.12	0.02	0.29	0.05	0.09	0.00
ENSOMYG00000043797	ENSOMYT00000104497	5.67	2.11	2.19	0.19	5.62	1.50	2.35	1.23	2.03	1.38	0.06	1.36
ENSOMYG00000043798	ENSOMYT00000104495,ENSOMYT00000104502,ENSOMYT00000104508,ENSOMYT00000104515	5.46	1.93	1.48	1.14	2.26	2.99	4.13	3.27	4.02	3.29	3.80	6.72
ENSOMYG00000043799	ENSOMYT00000104646,ENSOMYT00000104657,ENSOMYT00000104666,ENSOMYT00000104676,ENSOMYT00000104681,ENSOMYT00000104688,ENSOMYT00000104692,ENSOMYT00000161354	0.00	0.12	0.02	0.00	0.10	0.02	0.10	0.38	0.09	0.00	0.00	0.10
ENSOMYG00000043800	ENSOMYT00000166482	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043801	ENSOMYT00000104509	6.38	6.68	6.19	5.37	6.88	6.55	8.27	6.61	7.49	6.64	7.96	4.34
ENSOMYG00000043802	ENSOMYT00000104505	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
ENSOMYG00000043803	ENSOMYT00000104506	1.04	0.58	0.46	0.36	1.48	0.35	1.88	2.02	1.40	0.50	0.26	0.39
ENSOMYG00000043804	ENSOMYT00000104514,ENSOMYT00000130035,ENSOMYT00000134650,ENSOMYT00000137225	54.98	49.78	56.77	77.49	53.21	52.70	57.07	50.90	59.24	54.46	47.58	64.79
ENSOMYG00000043805	ENSOMYT00000104516	0.52	0.35	0.32	0.30	0.84	0.52	1.26	0.55	0.75	0.69	0.39	1.26
ENSOMYG00000043806	ENSOMYT00000104524,ENSOMYT00000104528,ENSOMYT00000125055	0.28	0.10	0.04	0.00	0.54	0.17	0.97	0.23	0.59	0.10	0.00	0.06
ENSOMYG00000043807	ENSOMYT00000104523	42.52	19.72	18.48	10.12	61.99	10.63	44.93	20.97	54.79	12.58	6.25	19.00
ENSOMYG00000043808	ENSOMYT00000104519	0.23	0.00	0.00	0.00	0.00	0.00	0.12	0.05	0.06	0.13	0.00	0.53
ENSOMYG00000043810	ENSOMYT00000104543,ENSOMYT00000104549,ENSOMYT00000104570,ENSOMYT00000104608,ENSOMYT00000104617	25.36	9.35	8.35	4.83	15.89	8.14	15.05	12.25	11.88	11.61	9.77	17.28
ENSOMYG00000043811	ENSOMYT00000104592,ENSOMYT00000104604,ENSOMYT00000104620	44.17	63.88	61.21	81.22	44.05	80.17	42.29	29.71	40.96	43.37	37.15	45.90
ENSOMYG00000043812	ENSOMYT00000104522	8.61	3.59	4.35	4.35	4.19	2.50	5.24	3.57	4.54	3.52	2.87	5.81
ENSOMYG00000043813	ENSOMYT00000062464	0.00	0.00	0.00	0.00	0.00	3.56	0.00	0.00	0.66	0.00	0.00	0.00
ENSOMYG00000043814	ENSOMYT00000059564	25.04	26.82	15.59	16.23	23.34	11.15	23.16	23.08	27.07	26.02	21.64	20.96
ENSOMYG00000043815	ENSOMYT00000104581,ENSOMYT00000104591,ENSOMYT00000104596,ENSOMYT00000104600	9.35	3.68	1.89	1.31	4.78	2.56	4.18	4.26	6.67	4.05	2.72	6.57
ENSOMYG00000043816	ENSOMYT00000110039,ENSOMYT00000110328,ENSOMYT00000110359,ENSOMYT00000110368,ENSOMYT00000110379,ENSOMYT00000110392,ENSOMYT00000110402,ENSOMYT00000110417,ENSOMYT00000110428,ENSOMYT00000110451	15.85	12.41	7.80	9.56	15.62	9.16	7.14	6.15	8.12	8.11	3.67	7.66
ENSOMYG00000043817	ENSOMYT00000104538,ENSOMYT00000104546	4.77	4.87	4.14	7.82	6.91	5.56	5.77	3.93	6.71	5.42	4.12	3.19
ENSOMYG00000043818	ENSOMYT00000104542	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043819	ENSOMYT00000104548	22.42	13.27	11.61	8.81	16.95	8.53	12.52	11.33	13.66	13.11	13.74	22.63
ENSOMYG00000043820	ENSOMYT00000104578,ENSOMYT00000104588,ENSOMYT00000126273,ENSOMYT00000163063	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043822	ENSOMYT00000104554,ENSOMYT00000104558	13.57	13.23	14.13	13.01	11.24	15.04	11.29	10.73	14.05	11.26	11.01	13.18
ENSOMYG00000043824	ENSOMYT00000104563,ENSOMYT00000104577,ENSOMYT00000104594,ENSOMYT00000104663,ENSOMYT00000104670,ENSOMYT00000104687,ENSOMYT00000104695,ENSOMYT00000104718	0.00	0.10	0.10	0.05	0.00	0.04	0.00	0.10	0.22	0.06	0.00	0.00
ENSOMYG00000043826	ENSOMYT00000104632,ENSOMYT00000104647,ENSOMYT00000104655,ENSOMYT00000104672,ENSOMYT00000104689	18.67	17.46	8.84	5.16	8.74	6.88	8.15	8.45	9.00	11.01	10.48	29.08
ENSOMYG00000043827	ENSOMYT00000104579	0.09	0.12	0.00	0.13	1.17	0.58	0.27	0.03	0.00	0.06	0.52	0.46
ENSOMYG00000043828	ENSOMYT00000104566	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00
ENSOMYG00000043829	ENSOMYT00000104568	0.35	1.23	0.50	0.20	0.00	0.60	0.54	0.79	0.00	0.76	0.68	0.92
ENSOMYG00000043830	ENSOMYT00000104583,ENSOMYT00000150934	9.60	4.37	4.56	1.83	9.65	3.66	7.83	7.65	10.28	6.18	4.66	5.36
ENSOMYG00000043833	ENSOMYT00000104573	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000043834	ENSOMYT00000104575	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043835	ENSOMYT00000104586	0.00	0.00	0.00	0.00	0.07	0.11	0.00	0.29	0.00	0.18	0.00	0.00
ENSOMYG00000043836	ENSOMYT00000104584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043837	ENSOMYT00000109586,ENSOMYT00000110664,ENSOMYT00000110684,ENSOMYT00000110754,ENSOMYT00000110760,ENSOMYT00000110763,ENSOMYT00000110767,ENSOMYT00000110772,ENSOMYT00000110800,ENSOMYT00000110806	11.21	4.61	5.56	3.40	13.94	2.11	6.18	5.00	9.85	2.69	0.97	1.76
ENSOMYG00000043838	ENSOMYT00000104601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043839	ENSOMYT00000104595	0.00	0.00	0.00	0.00	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043840	ENSOMYT00000104606,ENSOMYT00000104613	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043842	ENSOMYT00000104616,ENSOMYT00000133534,ENSOMYT00000137302	20.21	4.45	5.05	1.75	10.18	4.93	25.16	18.04	20.66	17.02	13.06	17.67
ENSOMYG00000043844	ENSOMYT00000104612	0.27	0.00	0.11	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
ENSOMYG00000043845	ENSOMYT00000104760	14.10	7.72	8.89	9.68	9.21	6.49	8.98	8.35	11.18	7.21	5.02	7.73
ENSOMYG00000043850	ENSOMYT00000104660	0.43	0.40	0.25	1.07	0.26	0.32	0.35	0.24	0.00	0.40	0.52	1.11
ENSOMYG00000043852	ENSOMYT00000104644	8.07	1.82	3.52	1.79	10.83	1.58	8.50	6.65	9.37	2.96	2.28	3.67
ENSOMYG00000043853	ENSOMYT00000104635,ENSOMYT00000104649	1.03	0.13	0.00	0.00	0.44	0.22	0.45	0.00	0.86	0.75	0.00	1.10
ENSOMYG00000043857	ENSOMYT00000104645	37.19	31.93	23.39	12.46	78.86	10.68	79.15	59.12	92.89	20.16	9.76	15.20
ENSOMYG00000043858	ENSOMYT00000104651	15.46	5.77	6.02	2.28	24.60	4.56	11.44	9.97	10.90	4.97	4.10	5.18
ENSOMYG00000043859	ENSOMYT00000104659	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043861	ENSOMYT00000104814,ENSOMYT00000104827,ENSOMYT00000104832,ENSOMYT00000104842,ENSOMYT00000104851,ENSOMYT00000104857,ENSOMYT00000104868	1.38	0.09	0.21	0.00	0.31	0.26	0.26	0.42	0.26	0.26	0.17	0.99
ENSOMYG00000043863	ENSOMYT00000104709,ENSOMYT00000104733,ENSOMYT00000104738,ENSOMYT00000133058,ENSOMYT00000139030	9.42	6.26	11.59	8.29	8.50	7.94	10.34	6.47	9.71	7.41	4.84	9.36
ENSOMYG00000043864	ENSOMYT00000104686	7.91	11.96	17.52	7.92	6.05	11.83	9.24	11.04	7.39	16.73	9.83	22.59
ENSOMYG00000043865	ENSOMYT00000104690,ENSOMYT00000104696,ENSOMYT00000104700	3.27	2.02	1.03	0.64	2.32	1.67	2.06	1.61	1.56	2.37	3.35	4.62
ENSOMYG00000043866	ENSOMYT00000104714,ENSOMYT00000104720,ENSOMYT00000104726	4.79	4.05	3.78	2.50	4.84	3.32	4.59	3.63	5.91	3.53	2.95	6.40
ENSOMYG00000043867	ENSOMYT00000104697	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043868	ENSOMYT00000105031,ENSOMYT00000105116,ENSOMYT00000105120,ENSOMYT00000105132,ENSOMYT00000105196,ENSOMYT00000105228,ENSOMYT00000105232,ENSOMYT00000105234,ENSOMYT00000105276	0.77	0.21	0.20	0.08	0.53	0.45	1.03	0.45	0.28	0.13	0.05	0.06
ENSOMYG00000043870	ENSOMYT00000104707	18.25	9.50	15.33	3.38	12.37	8.92	35.25	25.65	26.31	23.36	8.08	25.83
ENSOMYG00000043872	ENSOMYT00000104728	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043873	ENSOMYT00000106695,ENSOMYT00000106708,ENSOMYT00000106719,ENSOMYT00000106729,ENSOMYT00000106753,ENSOMYT00000106771,ENSOMYT00000106777,ENSOMYT00000106781,ENSOMYT00000106791,ENSOMYT00000106800	28.61	38.70	29.83	31.38	28.25	32.83	30.12	24.50	28.90	29.44	24.09	30.14
ENSOMYG00000043874	ENSOMYT00000106802,ENSOMYT00000107008,ENSOMYT00000107063,ENSOMYT00000107097,ENSOMYT00000107101,ENSOMYT00000107106,ENSOMYT00000107119,ENSOMYT00000107221,ENSOMYT00000107251,ENSOMYT00000129181	5.15	4.17	2.31	1.63	3.17	3.73	5.38	4.23	5.56	6.65	8.56	7.55
ENSOMYG00000043875	ENSOMYT00000104713	15.32	11.30	14.24	12.40	18.66	13.88	15.38	16.95	17.73	9.12	9.13	12.15
ENSOMYG00000043876	ENSOMYT00000104784,ENSOMYT00000104802,ENSOMYT00000104810,ENSOMYT00000104822	7.93	9.41	5.39	6.63	6.55	9.02	12.86	5.99	6.67	9.05	10.79	16.78
ENSOMYG00000043877	ENSOMYT00000075263,ENSOMYT00000075610,ENSOMYT00000104716,ENSOMYT00000129257	1.53	0.80	0.50	0.18	0.98	0.66	1.38	1.82	3.13	2.68	0.63	2.00
ENSOMYG00000043878	ENSOMYT00000104722	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043879	ENSOMYT00000104795,ENSOMYT00000104815	1057.38	1364.48	1367.17	1400.08	911.46	1397.98	1035.69	943.66	988.84	899.18	621.32	758.25
ENSOMYG00000043880	ENSOMYT00000104721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043881	ENSOMYT00000104785	1.08	0.75	0.23	0.16	0.07	0.70	0.76	0.59	0.18	0.73	2.54	1.15
ENSOMYG00000043882	ENSOMYT00000104727	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043884	ENSOMYT00000108479,ENSOMYT00000108553,ENSOMYT00000108735,ENSOMYT00000108822,ENSOMYT00000108909,ENSOMYT00000108929,ENSOMYT00000108956,ENSOMYT00000108977,ENSOMYT00000108994,ENSOMYT00000109109	38.06	20.18	13.01	12.33	41.30	9.45	26.27	27.90	38.43	19.10	5.18	18.06
ENSOMYG00000043885	ENSOMYT00000100783	1.16	1.16	0.75	0.00	0.00	0.00	0.00	1.82	0.00	0.00	0.06	0.00
ENSOMYG00000043887	ENSOMYT00000104740	10.18	12.13	11.34	8.50	4.79	12.02	14.49	8.45	7.70	13.63	15.57	19.06
ENSOMYG00000043888	ENSOMYT00000104745	4.74	2.59	1.97	1.27	1.79	2.21	1.99	1.94	1.12	4.45	7.13	7.94
ENSOMYG00000043889	ENSOMYT00000104752,ENSOMYT00000138492	1.45	0.13	0.20	0.05	0.35	0.16	0.41	0.62	0.62	0.15	0.38	0.58
ENSOMYG00000043890	ENSOMYT00000104747	0.97	0.00	0.16	0.60	0.78	2.17	0.30	0.41	1.94	4.13	0.56	0.45
ENSOMYG00000043891	ENSOMYT00000104935,ENSOMYT00000104940,ENSOMYT00000104943,ENSOMYT00000104949,ENSOMYT00000141638	18.34	22.71	21.49	24.11	23.88	23.96	18.69	17.85	14.56	19.72	22.20	27.05
ENSOMYG00000043893	ENSOMYT00000104778,ENSOMYT00000104793	3.12	2.02	1.20	1.25	5.87	1.05	3.89	3.80	4.90	2.80	1.02	0.97
ENSOMYG00000043894	ENSOMYT00000104753	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.10	0.00	0.00	0.00	0.00
ENSOMYG00000043895	ENSOMYT00000104751,ENSOMYT00000104756,ENSOMYT00000104761,ENSOMYT00000167834	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
ENSOMYG00000043896	ENSOMYT00000104763,ENSOMYT00000104781	2.27	9.40	2.35	7.56	0.83	8.82	1.83	2.10	1.53	4.59	7.51	6.97
ENSOMYG00000043897	ENSOMYT00000104914	14.97	27.05	24.46	22.29	7.53	17.93	15.77	12.61	9.78	25.90	14.65	41.26
ENSOMYG00000043898	ENSOMYT00000104767	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043899	ENSOMYT00000104762	1.44	0.00	0.00	0.00	0.43	0.00	0.00	3.40	0.95	0.00	0.00	0.00
ENSOMYG00000043901	ENSOMYT00000104780,ENSOMYT00000104787,ENSOMYT00000135912	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043903	ENSOMYT00000104765	0.06	0.19	0.16	0.02	0.11	0.02	0.08	0.04	0.16	0.81	0.00	0.35
ENSOMYG00000043904	ENSOMYT00000104788	35.12	3.62	2.80	0.99	17.73	2.47	20.71	17.16	17.41	8.93	4.00	6.22
ENSOMYG00000043906	ENSOMYT00000108970,ENSOMYT00000108978,ENSOMYT00000109155,ENSOMYT00000109336,ENSOMYT00000109346,ENSOMYT00000109353,ENSOMYT00000109359,ENSOMYT00000109392,ENSOMYT00000109479,ENSOMYT00000109485	6.52	2.38	1.76	1.32	1.58	1.17	1.13	0.80	3.11	1.73	1.27	2.96
ENSOMYG00000043907	ENSOMYT00000104792,ENSOMYT00000150365	10.73	2.07	1.87	0.51	6.96	1.28	7.09	6.79	8.15	3.83	1.53	3.51
ENSOMYG00000043909	ENSOMYT00000104786,ENSOMYT00000104800	4.56	1.78	2.39	0.71	1.90	2.53	2.35	2.43	1.67	4.56	8.90	10.39
ENSOMYG00000043911	ENSOMYT00000109194,ENSOMYT00000109211,ENSOMYT00000109226,ENSOMYT00000109240,ENSOMYT00000109247,ENSOMYT00000109382,ENSOMYT00000109389,ENSOMYT00000109433,ENSOMYT00000109438,ENSOMYT00000109446	8.53	10.53	8.05	8.54	2.12	12.26	3.41	3.82	2.36	13.49	9.24	19.71
ENSOMYG00000043912	ENSOMYT00000104807	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043913	ENSOMYT00000104805	11.04	22.70	12.88	24.36	4.96	22.74	16.88	17.14	31.38	29.42	24.66	26.44
ENSOMYG00000043914	ENSOMYT00000105338,ENSOMYT00000105351,ENSOMYT00000105357,ENSOMYT00000105366	0.63	0.04	0.11	0.00	0.13	0.00	0.21	0.28	0.50	0.15	0.10	0.16
ENSOMYG00000043915	ENSOMYT00000104833	0.26	0.03	0.09	0.11	0.54	0.20	0.06	0.10	0.18	0.16	0.04	0.17
ENSOMYG00000043916	ENSOMYT00000104811	3.48	4.79	1.43	1.56	1.78	2.41	2.32	3.00	1.05	1.69	2.65	2.29
ENSOMYG00000043917	ENSOMYT00000047638,ENSOMYT00000104826	1.79	3.49	0.46	1.86	4.58	2.89	1.09	4.25	1.25	3.62	5.16	3.66
ENSOMYG00000043918	ENSOMYT00000104813	0.66	0.14	0.20	0.00	0.16	0.25	0.25	0.34	0.34	0.42	0.24	0.86
ENSOMYG00000043919	ENSOMYT00000104858,ENSOMYT00000104879,ENSOMYT00000104903,ENSOMYT00000104912	3.85	4.02	1.51	0.77	1.74	3.20	2.71	2.51	1.45	5.05	7.66	10.63
ENSOMYG00000043921	ENSOMYT00000104829	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043922	ENSOMYT00000104837,ENSOMYT00000104845	1.99	0.34	0.24	0.61	0.29	0.32	0.30	0.69	0.12	0.18	0.29	1.20
ENSOMYG00000043923	ENSOMYT00000104820	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043924	ENSOMYT00000104825	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043925	ENSOMYT00000104828,ENSOMYT00000104835,ENSOMYT00000164219	34.06	7.45	12.06	4.92	53.44	6.86	27.53	18.67	29.53	7.74	5.03	7.58
ENSOMYG00000043926	ENSOMYT00000104841,ENSOMYT00000104847	40.39	42.36	38.59	33.79	42.74	42.12	50.49	51.42	52.37	37.22	32.63	40.28
ENSOMYG00000043927	ENSOMYT00000089572,ENSOMYT00000104836,ENSOMYT00000117431,ENSOMYT00000164780	0.06	0.00	0.00	0.09	0.33	0.04	0.00	0.08	0.15	0.00	0.00	0.00
ENSOMYG00000043928	ENSOMYT00000104848	6.07	5.18	5.52	5.53	6.97	8.85	6.58	3.10	5.37	5.94	4.11	4.78
ENSOMYG00000043929	ENSOMYT00000104855,ENSOMYT00000104924,ENSOMYT00000104951	12.33	9.94	6.20	9.75	19.94	8.23	13.73	9.13	12.48	7.35	3.80	7.82
ENSOMYG00000043930	ENSOMYT00000104854	74.45	66.82	41.09	60.74	120.33	29.90	20.86	15.28	13.38	22.26	18.77	38.10
ENSOMYG00000043931	ENSOMYT00000104856	0.16	0.00	0.00	0.06	0.23	0.06	0.36	0.49	0.79	0.27	0.15	0.28
ENSOMYG00000043935	ENSOMYT00000104974,ENSOMYT00000104980,ENSOMYT00000104994,ENSOMYT00000105001,ENSOMYT00000105011,ENSOMYT00000105019	6.96	17.28	16.58	12.40	4.62	11.52	5.56	4.88	0.46	9.63	28.40	31.02
ENSOMYG00000043936	ENSOMYT00000104920,ENSOMYT00000104925	10.69	12.39	11.77	10.66	7.16	15.65	11.15	6.40	10.19	10.27	9.27	11.72
ENSOMYG00000043937	ENSOMYT00000047795,ENSOMYT00000104882	10.31	4.77	5.86	4.28	16.55	4.62	12.88	7.67	19.78	9.28	2.89	5.84
ENSOMYG00000043940	ENSOMYT00000104881	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.04	0.00
ENSOMYG00000043941	ENSOMYT00000104886	0.78	0.58	0.36	0.25	0.22	0.50	0.42	0.54	0.82	0.66	0.96	2.17
ENSOMYG00000043942	ENSOMYT00000084413,ENSOMYT00000084917,ENSOMYT00000104918,ENSOMYT00000104929,ENSOMYT00000104941,ENSOMYT00000104947,ENSOMYT00000135844,ENSOMYT00000158531	50.57	62.80	80.49	67.42	34.71	88.51	47.31	33.65	47.91	55.64	33.77	36.47
ENSOMYG00000043943	ENSOMYT00000104892,ENSOMYT00000104900,ENSOMYT00000104906,ENSOMYT00000104910	4.08	4.44	2.87	2.09	3.42	2.96	3.37	3.75	3.74	4.05	3.83	10.15
ENSOMYG00000043944	ENSOMYT00000104895,ENSOMYT00000160963	30.21	25.26	39.93	39.90	13.19	29.33	12.00	12.24	16.65	12.74	8.50	19.31
ENSOMYG00000043945	ENSOMYT00000104905	4.46	2.99	3.88	1.79	3.39	1.73	3.01	2.53	3.02	2.35	1.97	6.03
ENSOMYG00000043946	ENSOMYT00000104931,ENSOMYT00000104966,ENSOMYT00000104978,ENSOMYT00000104999,ENSOMYT00000105012,ENSOMYT00000105021,ENSOMYT00000105024,ENSOMYT00000105028	3.63	2.24	1.78	1.41	2.64	2.17	1.71	1.84	1.85	3.63	4.29	6.89
ENSOMYG00000043948	ENSOMYT00000104982,ENSOMYT00000105040,ENSOMYT00000105111,ENSOMYT00000105122,ENSOMYT00000105147,ENSOMYT00000105155,ENSOMYT00000105230,ENSOMYT00000105240,ENSOMYT00000105265,ENSOMYT00000105271	37.45	9.99	13.57	6.34	33.77	8.15	22.46	17.90	33.54	3.18	2.49	4.80
ENSOMYG00000043949	ENSOMYT00000104916	0.71	0.90	0.04	0.35	0.09	0.18	0.64	1.23	1.27	0.20	0.27	0.27
ENSOMYG00000043950	ENSOMYT00000104911	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043951	ENSOMYT00000104927	0.22	0.29	0.09	0.17	0.11	0.08	0.00	0.08	0.18	0.57	0.11	0.76
ENSOMYG00000043952	ENSOMYT00000105145,ENSOMYT00000105160,ENSOMYT00000105213,ENSOMYT00000105217,ENSOMYT00000105222	11.36	6.72	7.28	9.64	7.40	5.30	7.16	6.89	8.90	4.96	5.19	8.50
ENSOMYG00000043953	ENSOMYT00000104932	51.37	20.36	36.49	25.15	104.40	33.74	58.08	41.68	68.38	48.91	45.45	72.26
ENSOMYG00000043954	ENSOMYT00000104936	6.03	10.92	18.61	3.71	4.05	6.26	20.67	11.55	11.57	17.43	26.59	47.20
ENSOMYG00000043955	ENSOMYT00000104942,ENSOMYT00000125633	5.92	3.90	2.78	1.76	6.33	2.59	5.71	3.92	4.77	4.56	4.05	6.49
ENSOMYG00000043957	ENSOMYT00000106284,ENSOMYT00000106318,ENSOMYT00000106401,ENSOMYT00000106502,ENSOMYT00000106537,ENSOMYT00000106553,ENSOMYT00000106563,ENSOMYT00000121882,ENSOMYT00000125908,ENSOMYT00000157605	19.66	6.24	5.27	4.18	19.57	3.56	10.22	10.52	15.01	5.70	2.83	6.60
ENSOMYG00000043958	ENSOMYT00000104963,ENSOMYT00000104967	0.54	0.07	0.32	0.08	0.27	0.11	0.21	0.19	0.83	0.48	0.33	1.04
ENSOMYG00000043959	ENSOMYT00000105336,ENSOMYT00000105342,ENSOMYT00000105347,ENSOMYT00000105359,ENSOMYT00000105367	28.24	34.51	15.57	15.17	37.74	32.97	32.19	23.82	32.68	29.22	32.68	32.22
ENSOMYG00000043960	ENSOMYT00000104953,ENSOMYT00000104973	3.33	0.82	0.55	0.40	0.60	0.54	1.10	1.05	0.92	1.16	0.63	4.27
ENSOMYG00000043961	ENSOMYT00000104954	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043962	ENSOMYT00000104971	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000043964	ENSOMYT00000104964	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.14	0.00	0.19
ENSOMYG00000043965	ENSOMYT00000104970,ENSOMYT00000104976	56.90	62.48	66.59	66.62	64.40	68.35	43.26	34.70	45.71	55.14	44.25	36.83
ENSOMYG00000043966	ENSOMYT00000105045,ENSOMYT00000105085,ENSOMYT00000105092,ENSOMYT00000105103	6.30	4.11	3.26	4.52	3.43	3.91	6.09	8.06	3.86	4.43	5.41	5.25
ENSOMYG00000043967	ENSOMYT00000105054,ENSOMYT00000105078,ENSOMYT00000105089,ENSOMYT00000139018	0.47	0.87	0.13	0.19	0.27	1.47	0.45	0.53	0.26	1.47	0.87	2.13
ENSOMYG00000043968	ENSOMYT00000104968	74.75	51.62	173.92	205.40	139.91	104.59	66.85	39.56	65.62	48.14	69.28	44.94
ENSOMYG00000043970	ENSOMYT00000104969,ENSOMYT00000104975	28.20	45.47	59.33	47.06	8.95	79.29	20.89	8.14	7.72	53.29	76.99	59.80
ENSOMYG00000043971	ENSOMYT00000105142,ENSOMYT00000105158,ENSOMYT00000105174,ENSOMYT00000105200,ENSOMYT00000105207	8.20	6.78	6.57	5.31	7.94	7.62	8.20	5.92	8.23	6.08	4.99	7.51
ENSOMYG00000043972	ENSOMYT00000106066,ENSOMYT00000106074,ENSOMYT00000106085,ENSOMYT00000106089,ENSOMYT00000106136,ENSOMYT00000106155	1.16	0.39	0.16	0.25	0.15	0.62	0.21	0.51	0.14	1.77	1.25	2.24
ENSOMYG00000043973	ENSOMYT00000104972	0.00	0.20	0.00	0.00	0.00	0.35	0.00	0.00	0.39	0.00	0.22	0.46
ENSOMYG00000043974	ENSOMYT00000104977	0.00	0.00	0.44	0.10	0.00	0.31	0.00	0.00	0.00	0.23	0.13	0.00
ENSOMYG00000043975	ENSOMYT00000104875,ENSOMYT00000104998,ENSOMYT00000105020,ENSOMYT00000105026,ENSOMYT00000105044,ENSOMYT00000105048,ENSOMYT00000105059,ENSOMYT00000105067,ENSOMYT00000105071,ENSOMYT00000105076	1.29	0.51	0.00	0.40	0.97	0.15	0.14	2.90	0.38	1.79	0.30	0.30
ENSOMYG00000043976	ENSOMYT00000104992,ENSOMYT00000105000	107.01	74.26	60.33	55.38	123.66	50.78	81.27	85.27	127.03	46.65	31.92	51.85
ENSOMYG00000043977	ENSOMYT00000105042,ENSOMYT00000105063	557.35	467.62	570.42	877.40	704.81	538.70	645.58	1134.76	664.35	845.55	547.30	349.47
ENSOMYG00000043978	ENSOMYT00000109294,ENSOMYT00000109326,ENSOMYT00000109342,ENSOMYT00000109418,ENSOMYT00000109570,ENSOMYT00000109575,ENSOMYT00000109577,ENSOMYT00000109587,ENSOMYT00000109604,ENSOMYT00000109653	5.77	5.31	4.64	3.70	6.68	3.54	6.89	4.82	7.66	8.20	7.12	8.51
