gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000000117	ENSOMYT00000000169,ENSOMYT00000000174,ENSOMYT00000000180	10.85	19.70	10.24	18.63	5.87	18.83	9.62	10.30	8.14	20.60	32.49	25.11
ENSOMYG00000000118	ENSOMYT00000000166,ENSOMYT00000000168,ENSOMYT00000000176	7.77	7.61	5.23	6.18	7.70	5.38	7.65	5.59	6.90	5.30	4.86	7.85
ENSOMYG00000000119	ENSOMYT00000000173,ENSOMYT00000000177	0.00	0.00	0.00	0.00	0.09	0.00	0.05	0.00	0.00	0.11	0.00	0.00
ENSOMYG00000000121	ENSOMYT00000000171	120.31	101.92	83.99	84.01	94.75	105.79	94.02	84.06	93.51	108.55	148.40	126.26
ENSOMYG00000000122	ENSOMYT00000000183,ENSOMYT00000000186,ENSOMYT00000000191,ENSOMYT00000087803,ENSOMYT00000087901,ENSOMYT00000088067,ENSOMYT00000088128,ENSOMYT00000088339,ENSOMYT00000088432,ENSOMYT00000088437	7.56	0.83	0.57	0.29	1.08	0.89	1.57	1.73	0.91	3.28	3.75	9.26
ENSOMYG00000000125	ENSOMYT00000000198	0.00	0.06	0.17	0.00	0.21	0.00	0.00	0.05	0.00	0.00	0.00	0.00
ENSOMYG00000000126	ENSOMYT00000000178,ENSOMYT00000121546,ENSOMYT00000141230,ENSOMYT00000152460,ENSOMYT00000154641,ENSOMYT00000155581,ENSOMYT00000157706,ENSOMYT00000160411,ENSOMYT00000164586,ENSOMYT00000166551	7.11	8.53	5.55	4.08	6.80	4.35	7.37	5.76	5.93	4.81	6.46	10.33
ENSOMYG00000000127	ENSOMYT00000000192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000128	ENSOMYT00000000182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000132	ENSOMYT00000000195,ENSOMYT00000000199	0.00	0.04	0.00	0.10	0.00	0.00	0.03	0.04	0.00	0.00	0.00	0.00
ENSOMYG00000000133	ENSOMYT00000000194	69.08	103.96	83.28	119.95	55.95	132.04	67.19	68.59	46.06	73.32	88.18	61.43
ENSOMYG00000000134	ENSOMYT00000000197,ENSOMYT00000130809	3.43	1.12	2.38	1.77	8.16	0.46	3.05	2.82	1.81	2.60	0.66	0.44
ENSOMYG00000000135	ENSOMYT00000000233,ENSOMYT00000000235	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
ENSOMYG00000000136	ENSOMYT00000000201,ENSOMYT00000000205	0.05	0.05	0.08	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000137	ENSOMYT00000000203,ENSOMYT00000068986	19.07	3.87	4.53	1.64	9.41	6.55	19.61	16.23	12.34	5.00	5.53	7.59
ENSOMYG00000000138	ENSOMYT00000000204	41.33	17.14	12.51	11.76	17.41	11.62	19.81	17.88	20.92	27.90	30.96	26.65
ENSOMYG00000000139	ENSOMYT00000000202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000140	ENSOMYT00000000215,ENSOMYT00000000223,ENSOMYT00000000227,ENSOMYT00000000232,ENSOMYT00000000236	7.65	5.42	1.21	1.13	0.80	3.56	1.62	1.51	0.72	5.84	13.58	19.64
ENSOMYG00000000141	ENSOMYT00000000207	0.29	0.30	0.05	0.00	0.55	0.13	0.26	0.16	0.19	0.19	0.11	0.20
ENSOMYG00000000142	ENSOMYT00000000210	0.26	2.11	1.26	1.48	0.13	5.15	0.20	0.00	1.02	1.01	0.38	0.15
ENSOMYG00000000143	ENSOMYT00000000217	36.03	65.28	70.24	12.70	26.02	14.46	27.56	57.46	80.86	7.73	10.39	26.21
ENSOMYG00000000146	ENSOMYT00000000216	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000147	ENSOMYT00000000218,ENSOMYT00000000221,ENSOMYT00000000402	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000148	ENSOMYT00000000220,ENSOMYT00000118702,ENSOMYT00000132357,ENSOMYT00000136409,ENSOMYT00000151793,ENSOMYT00000153102	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.06	0.14
ENSOMYG00000000149	ENSOMYT00000000219	28.02	33.02	8.36	66.47	6.30	25.46	3.71	9.54	4.61	129.09	636.75	255.25
ENSOMYG00000000150	ENSOMYT00000000222,ENSOMYT00000000231	6.25	3.25	4.64	2.34	6.53	2.22	4.40	4.77	4.67	2.93	1.76	3.16
ENSOMYG00000000152	ENSOMYT00000000140,ENSOMYT00000000228,ENSOMYT00000000240	12.45	9.39	12.46	9.06	9.70	10.49	16.55	10.10	17.15	12.33	4.89	11.36
ENSOMYG00000000153	ENSOMYT00000000239,ENSOMYT00000000249	6.68	4.90	4.40	5.50	3.52	5.77	4.45	3.47	5.30	5.51	5.64	9.92
ENSOMYG00000000154	ENSOMYT00000000225	0.37	0.70	0.52	0.30	0.84	0.55	3.26	1.38	1.48	0.95	1.26	2.81
ENSOMYG00000000155	ENSOMYT00000000237,ENSOMYT00000000241,ENSOMYT00000122050	20.67	18.35	20.30	18.06	35.40	17.05	18.77	17.58	16.77	13.82	11.14	16.89
ENSOMYG00000000157	ENSOMYT00000000242	3.64	2.70	1.14	0.83	2.09	2.87	2.36	2.28	3.09	0.99	1.96	2.39
ENSOMYG00000000158	ENSOMYT00000000243,ENSOMYT00000134638,ENSOMYT00000148775	52.39	17.66	18.03	10.00	37.25	8.49	65.73	56.62	40.80	18.46	9.91	26.23
ENSOMYG00000000160	ENSOMYT00000000245,ENSOMYT00000000248	2.05	0.75	0.48	0.00	1.46	0.24	0.42	1.14	0.45	0.27	0.08	0.00
ENSOMYG00000000162	ENSOMYT00000000250	0.57	0.50	0.00	0.00	0.00	0.00	0.00	0.13	0.48	0.32	0.00	0.00
ENSOMYG00000000165	ENSOMYT00000000254	3.47	0.26	0.12	0.00	0.44	0.68	0.80	0.26	0.25	1.99	0.14	0.43
ENSOMYG00000000167	ENSOMYT00000000255	16.55	23.71	22.67	4.81	14.89	6.03	24.96	43.08	76.83	7.57	5.41	20.75
ENSOMYG00000000168	ENSOMYT00000000256	6.21	0.65	0.20	0.00	1.53	0.37	3.29	0.70	3.35	0.21	0.48	0.29
ENSOMYG00000000169	ENSOMYT00000000257	1.92	1.32	1.71	0.76	2.87	0.38	2.56	2.16	2.36	2.09	1.55	3.62
ENSOMYG00000000170	ENSOMYT00000000258,ENSOMYT00000129413,ENSOMYT00000132030,ENSOMYT00000136644,ENSOMYT00000140046,ENSOMYT00000141725,ENSOMYT00000148040,ENSOMYT00000152283,ENSOMYT00000155587,ENSOMYT00000165105	0.77	0.59	0.20	0.02	0.41	0.31	1.26	0.81	0.43	0.53	0.52	4.59
ENSOMYG00000000174	ENSOMYT00000000267	0.00	0.91	0.51	0.05	0.82	0.42	0.05	0.72	0.06	0.24	0.20	0.00
ENSOMYG00000000176	ENSOMYT00000000281,ENSOMYT00000116039,ENSOMYT00000118336,ENSOMYT00000125403,ENSOMYT00000138269,ENSOMYT00000143843,ENSOMYT00000144835,ENSOMYT00000151294,ENSOMYT00000154979,ENSOMYT00000163595	1.71	1.47	0.24	0.21	0.63	0.84	0.23	1.32	0.53	1.78	1.83	4.98
ENSOMYG00000000177	ENSOMYT00000000272,ENSOMYT00000147028	3.29	1.37	2.08	1.50	1.27	1.85	1.39	2.28	2.16	2.02	1.58	1.80
ENSOMYG00000000178	ENSOMYT00000000276	0.11	0.03	0.11	0.16	0.14	0.16	0.03	0.50	0.75	0.06	0.00	0.04
ENSOMYG00000000179	ENSOMYT00000000278	3.49	1.56	1.66	0.88	0.56	2.24	1.33	1.76	1.10	3.50	5.30	7.41
ENSOMYG00000000180	ENSOMYT00000000277	1.35	0.76	0.72	0.42	0.38	0.49	0.19	0.31	0.23	0.46	0.11	2.12
ENSOMYG00000000182	ENSOMYT00000000275	1.85	0.61	0.32	0.27	0.07	0.36	0.47	0.58	0.15	0.92	1.24	2.93
ENSOMYG00000000183	ENSOMYT00000000279	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000186	ENSOMYT00000000288	3.13	1.41	1.29	0.25	1.21	1.58	1.20	1.56	0.86	2.64	2.33	6.86
ENSOMYG00000000187	ENSOMYT00000000286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000188	ENSOMYT00000000287	0.41	0.35	0.05	0.40	0.09	0.24	0.54	0.39	0.18	0.30	0.03	0.22
ENSOMYG00000000189	ENSOMYT00000000289	0.46	0.00	0.00	0.00	0.34	0.00	1.66	0.40	0.09	0.20	0.11	0.00
ENSOMYG00000000190	ENSOMYT00000000291	0.99	0.72	0.15	0.07	0.39	0.42	0.70	0.67	0.68	0.42	0.18	0.78
ENSOMYG00000000191	ENSOMYT00000000290,ENSOMYT00000163851	2.00	0.98	0.93	0.86	1.02	1.23	0.95	0.95	0.82	0.63	0.68	1.83
ENSOMYG00000000193	ENSOMYT00000000293	0.08	0.00	0.09	0.00	0.00	0.00	0.15	0.17	0.14	0.00	0.00	0.09
ENSOMYG00000000195	ENSOMYT00000000295,ENSOMYT00000000298,ENSOMYT00000000303,ENSOMYT00000000305	5.25	6.40	4.82	4.32	4.03	4.09	3.96	4.43	5.14	3.37	2.58	6.46
ENSOMYG00000000196	ENSOMYT00000000296	18.40	11.02	15.26	13.35	22.70	18.22	18.87	16.66	10.64	12.82	9.65	10.09
ENSOMYG00000000197	ENSOMYT00000000312,ENSOMYT00000000321,ENSOMYT00000000327,ENSOMYT00000000332	22.30	24.68	29.04	37.91	25.86	40.59	27.77	31.54	19.99	35.46	47.33	30.11
ENSOMYG00000000198	ENSOMYT00000000297,ENSOMYT00000034182,ENSOMYT00000156680	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000200	ENSOMYT00000000302,ENSOMYT00000000307	5.34	2.14	1.79	0.40	1.04	0.24	2.73	3.30	8.33	1.03	1.50	3.60
ENSOMYG00000000201	ENSOMYT00000000304	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00
ENSOMYG00000000202	ENSOMYT00000000306	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000204	ENSOMYT00000000324,ENSOMYT00000000331,ENSOMYT00000000337,ENSOMYT00000000347,ENSOMYT00000000383,ENSOMYT00000121558,ENSOMYT00000127414,ENSOMYT00000149738,ENSOMYT00000159257,ENSOMYT00000161654	2.30	0.68	2.19	1.43	2.98	0.93	2.83	1.37	2.40	1.36	0.18	0.22
ENSOMYG00000000206	ENSOMYT00000000336,ENSOMYT00000000339,ENSOMYT00000000341,ENSOMYT00000000342,ENSOMYT00000000345,ENSOMYT00000013605	20.30	18.76	20.18	20.35	16.09	17.39	28.11	26.98	33.30	16.30	12.35	15.04
ENSOMYG00000000207	ENSOMYT00000000316	3.31	3.71	3.53	5.47	5.30	2.64	3.80	2.50	4.45	2.47	1.39	2.69
ENSOMYG00000000208	ENSOMYT00000000315,ENSOMYT00000000322,ENSOMYT00000000325	31.61	16.83	16.99	13.19	37.97	14.38	43.75	33.35	37.00	20.89	18.40	20.03
ENSOMYG00000000209	ENSOMYT00000000314	0.42	0.73	0.11	0.00	0.00	0.31	0.42	0.39	0.23	0.12	0.00	0.32
ENSOMYG00000000210	ENSOMYT00000000320	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000211	ENSOMYT00000000340,ENSOMYT00000000343	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000212	ENSOMYT00000000323,ENSOMYT00000131882	0.45	0.55	0.13	0.13	0.22	0.17	0.00	0.00	0.09	0.05	0.11	0.65
ENSOMYG00000000213	ENSOMYT00000070953	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000214	ENSOMYT00000000328	0.28	0.00	0.23	0.53	0.00	0.00	0.11	0.29	0.92	0.12	0.00	0.48
ENSOMYG00000000215	ENSOMYT00000000333	3.03	1.86	1.33	0.69	1.85	1.73	1.52	1.87	1.60	1.80	1.69	3.68
ENSOMYG00000000216	ENSOMYT00000000330	210.89	224.78	170.00	117.56	261.91	201.20	246.06	218.57	240.17	42.88	75.05	63.90
ENSOMYG00000000217	ENSOMYT00000000334,ENSOMYT00000000338,ENSOMYT00000142511,ENSOMYT00000160257	647.47	714.82	772.05	511.31	588.09	691.45	826.00	892.56	841.20	650.99	556.64	640.71
ENSOMYG00000000218	ENSOMYT00000000350,ENSOMYT00000000357,ENSOMYT00000000359,ENSOMYT00000163909	4.78	2.05	2.25	1.67	7.25	1.36	2.83	4.34	5.43	2.38	0.98	2.24
ENSOMYG00000000219	ENSOMYT00000000360,ENSOMYT00000000377,ENSOMYT00000000378,ENSOMYT00000000379,ENSOMYT00000134143	7.86	10.64	8.53	7.96	7.79	9.31	10.57	8.24	9.26	10.43	10.21	11.54
ENSOMYG00000000220	ENSOMYT00000000344	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000221	ENSOMYT00000000348,ENSOMYT00000000351,ENSOMYT00000000356	4.06	1.85	2.20	1.23	5.69	1.52	2.08	2.44	3.75	1.21	0.19	1.05
ENSOMYG00000000224	ENSOMYT00000000358,ENSOMYT00000000361	118.66	43.96	94.61	41.97	264.65	42.70	189.51	146.43	231.49	62.92	35.08	47.61
ENSOMYG00000000226	ENSOMYT00000000354,ENSOMYT00000124153,ENSOMYT00000134531,ENSOMYT00000138576,ENSOMYT00000149962,ENSOMYT00000166702	5.59	5.15	2.50	0.79	1.89	2.65	2.08	3.00	3.55	3.32	6.24	12.48
ENSOMYG00000000227	ENSOMYT00000000355,ENSOMYT00000115966,ENSOMYT00000118717	18.45	19.07	16.44	16.25	22.73	16.44	28.01	19.85	24.98	21.32	12.93	16.22
ENSOMYG00000000228	ENSOMYT00000000364	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000229	ENSOMYT00000000365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000230	ENSOMYT00000000363	1.27	0.37	0.35	0.00	0.64	0.32	1.31	1.19	1.60	0.72	0.41	0.00
ENSOMYG00000000231	ENSOMYT00000000373	18.73	16.21	11.59	10.78	14.22	8.38	10.59	12.34	13.64	11.75	9.57	10.33
ENSOMYG00000000232	ENSOMYT00000000367	6.28	4.51	4.38	4.76	4.27	4.19	6.08	5.37	6.93	5.20	5.11	7.81
ENSOMYG00000000233	ENSOMYT00000000370	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02	0.03	0.00	0.00	0.00
ENSOMYG00000000234	ENSOMYT00000000369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000235	ENSOMYT00000000374	1.37	0.87	1.92	3.84	0.50	3.25	1.78	0.60	0.85	1.97	0.37	3.77
ENSOMYG00000000236	ENSOMYT00000000380	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000237	ENSOMYT00000000382	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.09	0.00	0.00	0.20
ENSOMYG00000000239	ENSOMYT00000000384	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00
ENSOMYG00000000240	ENSOMYT00000000385,ENSOMYT00000000387	3.40	1.53	1.01	0.75	1.85	0.86	2.47	2.33	2.26	2.09	1.40	3.87
ENSOMYG00000000242	ENSOMYT00000000392	12.94	27.96	16.85	19.18	6.56	19.73	10.74	7.62	7.00	11.22	16.77	15.11
ENSOMYG00000000243	ENSOMYT00000000390,ENSOMYT00000000395	5.64	3.89	2.99	1.95	0.88	4.40	2.00	2.31	1.46	4.19	7.14	8.06
ENSOMYG00000000244	ENSOMYT00000000389	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000246	ENSOMYT00000000393	0.00	0.00	0.00	0.00	0.00	0.00	2.36	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000248	ENSOMYT00000000396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000250	ENSOMYT00000000408,ENSOMYT00000110606,ENSOMYT00000134083,ENSOMYT00000150861,ENSOMYT00000152156	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000251	ENSOMYT00000000406	0.99	0.30	0.08	0.23	0.20	0.06	0.11	0.33	0.08	0.54	0.98	4.58
ENSOMYG00000000252	ENSOMYT00000000398,ENSOMYT00000000416,ENSOMYT00000000424,ENSOMYT00000000427	0.32	0.23	0.04	0.47	0.63	0.21	0.46	0.27	0.75	0.00	0.05	0.06
ENSOMYG00000000253	ENSOMYT00000000400,ENSOMYT00000000403	85.02	73.61	72.72	57.85	89.78	66.33	92.33	89.37	95.17	74.06	68.55	71.80
